,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,SO,BB_MAVG_20
0,2019-01-28,213000.0,766,213766.0,0.0,BUY, ,2187.0
1,2019-02-18,253000.0,1163,213766.0,38071.0,SELL, ,2180.5
2,2019-03-08,235000.0,846,235846.0,0.0,BUY, ,2404.0
3,2019-03-13,262000.0,1205,235846.0,24949.0,SELL, ,2467.0
4,2019-04-05,264000.0,950,264950.0,0.0,BUY, ,2633.5
5,2019-04-12,281000.0,1292,264950.0,14758.0,SELL, ,2659.0
6,2019-05-02,278000.0,1000,279000.0,0.0,BUY, ,2781.0
7,2019-05-07,298000.0,1370,279000.0,17630.0,SELL, ,2825.5
8,2019-05-10,293000.0,1054,294054.0,0.0,BUY, ,2865.0
9,2019-05-27,281000.0,1292,294054.0,-14346.0,SELL, ,2783.0
10,2019-05-28,279000.0,1004,280004.0,0.0,BUY, ,2776.5
11,2019-05-29,290000.0,1334,280004.0,8662.0,SELL, ,2775.5
12,2019-06-13,286000.0,1029,287029.0,0.0,BUY, ,2811.5
13,2019-06-14,286000.0,1315,287029.0,-2344.0,SELL, ,2827.5
14,2019-06-17,285000.0,1026,286026.0,0.0,BUY, ,2837.5
15,2019-06-18,291000.0,1338,286026.0,3636.0,SELL, ,2849.5
16,2019-06-21,290000.0,1044,291044.0,0.0,BUY, ,2875.0
17,2019-06-27,292000.0,1343,291044.0,-387.0,SELL, ,2888.5
18,2019-07-03,286000.0,1029,287029.0,0.0,BUY, ,2904.0
19,2019-07-18,311000.0,1430,287029.0,22541.0,SELL, ,2920.0
20,2019-08-05,313000.0,1126,314126.0,0.0,BUY, ,3096.0
21,2019-08-07,330000.0,1518,314126.0,14356.0,SELL, ,3127.0
22,2019-08-16,325000.0,1170,326170.0,0.0,BUY, ,3250.0
23,2019-08-22,335000.0,1541,326170.0,7289.0,SELL, ,3274.5
24,2019-08-23,333000.0,1198,334198.0,0.0,BUY, ,3282.5
25,2019-08-29,339000.0,1559,334198.0,3243.0,SELL, ,3299.5
26,2019-09-06,327000.0,1177,328177.0,0.0,BUY, ,3369.5
27,2019-09-17,344000.0,1582,328177.0,14241.0,SELL, ,3385.5
28,2019-09-20,341000.0,1227,342227.0,0.0,BUY, ,3407.0
29,2019-09-27,350000.0,1610,342227.0,6163.0,SELL, ,3411.0
30,2019-09-30,344000.0,1238,345238.0,0.0,BUY, ,3402.0
31,2019-10-02,345000.0,1587,345238.0,-1825.0,SELL, ,3397.0
32,2019-10-03,338000.0,1216,339216.0,0.0,BUY, ,3390.0
33,2019-10-09,344000.0,1582,339216.0,3202.0,SELL, ,3414.5
34,2019-10-16,353000.0,1270,354270.0,0.0,BUY, ,3435.0
35,2019-10-17,353000.0,1623,354270.0,-2893.0,SELL, ,3438.0
36,2019-10-21,350000.0,1260,351260.0,0.0,BUY, ,3450.0
37,2019-10-22,352000.0,1619,351260.0,-879.0,SELL, ,3461.5
38,2019-10-23,348000.0,1252,349252.0,0.0,BUY, ,3470.5
39,2019-10-29,352000.0,1619,349252.0,1129.0,SELL, ,3467.0
40,2019-10-31,355000.0,1278,356278.0,0.0,BUY, ,3480.5
41,2019-11-04,355000.0,1633,356278.0,-2911.0,SELL, ,3499.0
42,2019-11-05,350000.0,1260,351260.0,0.0,BUY, ,3501.5
43,2019-11-19,353000.0,1623,351260.0,117.0,SELL, ,3480.5
44,2019-11-21,350000.0,1260,351260.0,0.0,BUY, ,3486.5
45,2019-11-22,354000.0,1628,351260.0,1112.0,SELL, ,3494.0
46,2019-11-26,349000.0,1256,350256.0,0.0,BUY, ,3497.0
