,Date,Close Price,Fee,Purchased Price,Capital Gain,CCI,CCI_20
0,2019-01-28,213000.0,766,213766.0,0.0,BUY,-27.233400110326997
1,2019-02-15,234000.0,1076,213766.0,19158.0,SELL,99.65310627562297
2,2019-03-08,235000.0,846,235846.0,0.0,BUY,-17.023234414538752
3,2019-03-12,246000.0,1131,235846.0,9023.0,SELL,7.318295739348278
4,2019-04-05,264000.0,950,264950.0,0.0,BUY,-3.7243947858469593
5,2019-04-11,267000.0,1228,264950.0,822.0,SELL,11.494252873562923
6,2019-05-03,278000.0,1000,279000.0,0.0,BUY,-30.91684434968016
7,2019-05-06,285000.0,1311,279000.0,4689.0,SELL,8.672541614211534
8,2019-05-13,276000.0,993,276993.0,0.0,BUY,-61.00698272693828
9,2019-05-24,279000.0,1283,276993.0,724.0,SELL,3.9761431411530843
10,2019-06-24,286000.0,1029,287029.0,0.0,BUY,-8.547008547008275
11,2019-06-26,292000.0,1343,287029.0,3628.0,SELL,30.303030303030322
12,2019-07-03,286000.0,1029,287029.0,0.0,BUY,-17.888132425577844
13,2019-07-09,293000.0,1347,287029.0,4624.0,SELL,4.711425206124581
14,2019-07-10,289000.0,1040,290040.0,0.0,BUY,-9.085213032581713
15,2019-07-16,294000.0,1352,290040.0,2608.0,SELL,50.76142131979696
16,2019-08-16,325000.0,1170,326170.0,0.0,BUY,-5.723204994797561
17,2019-08-22,335000.0,1541,326170.0,7289.0,SELL,80.93179634966421
18,2019-09-06,327000.0,1177,328177.0,0.0,BUY,-25.820105820106157
19,2019-09-10,328000.0,1508,328177.0,-1685.0,SELL,11.80669961559596
20,2019-09-11,327000.0,1177,328177.0,0.0,BUY,-72.951963324696
21,2019-09-13,345000.0,1587,328177.0,15236.0,SELL,41.75084175084201
22,2019-09-23,339000.0,1220,340220.0,0.0,BUY,-17.431192660550447
23,2019-09-26,350000.0,1610,340220.0,8170.0,SELL,13.247004539703928
24,2019-10-03,338000.0,1216,339216.0,0.0,BUY,-47.957539569708835
25,2019-10-08,345000.0,1587,339216.0,4197.0,SELL,3.922783111386204
26,2019-10-24,345000.0,1242,346242.0,0.0,BUY,-0.49455984174040124
27,2019-10-28,346000.0,1591,346242.0,-1833.0,SELL,30.738221214411983
28,2019-11-07,350000.0,1260,351260.0,0.0,BUY,-11.914011914012413
29,2019-11-08,345000.0,1587,351260.0,-7847.0,SELL,84.11214953271187
30,2019-11-12,346000.0,1245,347245.0,0.0,BUY,-147.11729622266404
31,2019-11-19,353000.0,1623,347245.0,4132.0,SELL,65.72769953051639
32,2019-11-27,339000.0,1220,340220.0,0.0,BUY,-170.04504504504476
