,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,SO,MFII_14,CCI_20,SO_14
0,2019-01-28,213000.0,766,213766.0,0.0, ,BUY,BUY,54.793342728667135,-27.233400110326997,11.11111111111111
1,2019-02-15,234000.0,1076,213766.0,19158.0, ,SELL, ,71.23791845253737,99.65310627562297,77.52808988764045
2,2019-03-08,235000.0,846,235846.0,0.0, ,BUY,BUY,47.77634634380992,-17.023234414538752,10.81081081081081
3,2019-03-12,246000.0,1131,235846.0,9023.0, ,SELL, ,30.607400935523913,7.318295739348278,40.54054054054054
4,2019-04-05,264000.0,950,264950.0,0.0, ,BUY, ,61.82934501676481,-3.7243947858469593,42.857142857142854
5,2019-04-11,267000.0,1228,264950.0,822.0, ,SELL, ,50.73703566025912,11.494252873562923,66.66666666666667
6,2019-05-03,278000.0,1000,279000.0,0.0, ,BUY, ,48.35106949169723,-30.91684434968016,41.1764705882353
7,2019-05-06,285000.0,1311,279000.0,4689.0, ,SELL, ,59.343942891121266,8.672541614211534,61.76470588235294
8,2019-05-13,276000.0,993,276993.0,0.0, ,BUY, ,49.071371250695684,-61.00698272693828,27.906976744186046
9,2019-05-24,279000.0,1283,276993.0,724.0, ,SELL, ,43.646548858619674,3.9761431411530843,56.92307692307692
10,2019-06-24,286000.0,1029,287029.0,0.0, ,BUY, ,51.82926001494711,-8.547008547008275,20.833333333333332
11,2019-06-26,292000.0,1343,287029.0,3628.0, ,SELL, ,51.23947964664931,30.303030303030322,45.833333333333336
12,2019-07-03,286000.0,1029,287029.0,0.0, ,BUY, ,58.24586302347554,-17.888132425577844,20.833333333333332
13,2019-07-09,293000.0,1347,287029.0,4624.0, ,SELL, ,61.5475684608191,4.711425206124581,50.0
14,2019-07-10,289000.0,1040,290040.0,0.0, ,BUY, ,53.92253855198158,-9.085213032581713,34.78260869565217
15,2019-07-16,294000.0,1352,290040.0,2608.0, ,SELL, ,66.04077540012942,50.76142131979696,56.52173913043478
16,2019-08-16,325000.0,1170,326170.0,0.0, ,BUY, ,55.5629593005896,-5.723204994797561,50.0
17,2019-08-22,335000.0,1541,326170.0,7289.0, ,SELL, ,48.53533067890343,80.93179634966421,75.0
18,2019-09-06,327000.0,1177,328177.0,0.0, ,BUY, ,45.92612070244163,-25.820105820106157,23.529411764705884
19,2019-09-10,328000.0,1508,328177.0,-1685.0, ,SELL, ,47.54328493119204,11.80669961559596,25.49019607843137
20,2019-09-11,327000.0,1177,328177.0,0.0, ,BUY, ,41.30299853377489,-72.951963324696,23.529411764705884
21,2019-09-13,345000.0,1587,328177.0,15236.0, ,SELL, ,52.92808874957356,41.75084175084201,58.8235294117647
22,2019-09-23,339000.0,1220,340220.0,0.0, ,BUY, ,45.22021152198139,-17.431192660550447,53.333333333333336
23,2019-09-26,350000.0,1610,340220.0,8170.0, ,SELL, ,57.61187766486401,13.247004539703928,73.6842105263158
24,2019-10-03,338000.0,1216,339216.0,0.0, ,BUY, ,54.48969718886379,-47.957539569708835,48.484848484848484
25,2019-10-08,345000.0,1587,339216.0,4197.0, ,SELL, ,50.06148998954078,3.922783111386204,69.6969696969697
26,2019-10-24,345000.0,1242,346242.0,0.0, ,BUY, ,63.91567214437914,-0.49455984174040124,64.28571428571429
27,2019-10-28,346000.0,1591,346242.0,-1833.0, ,SELL, ,63.11728204562664,30.738221214411983,47.05882352941177
28,2019-11-07,350000.0,1260,351260.0,0.0, ,BUY, ,50.66233917906805,-11.914011914012413,52.17391304347826
29,2019-11-08,345000.0,1587,351260.0,-7847.0, ,SELL, ,67.52317650938727,84.11214953271187,20.0
30,2019-11-11,330000.0,1188,331188.0,0.0, , ,BUY,61.060242141185135,-325.89285714285785,8.51063829787234
31,2019-11-19,353000.0,1623,331188.0,20189.0, ,SELL, ,71.22804038436593,65.72769953051639,57.4468085106383
32,2019-11-27,339000.0,1220,340220.0,0.0, ,BUY, ,46.78719140336504,-170.04504504504476,27.659574468085108
