,Date,Close Price,Fee,Purchased Price,Capital Gain,SO,SO_14
0,2019-01-28,213000.0,766,213766.0,0.0,BUY,11.11111111111111
1,2019-02-18,253000.0,1163,213766.0,38071.0,SELL,91.45299145299145
2,2019-03-08,235000.0,846,235846.0,0.0,BUY,10.81081081081081
3,2019-03-13,262000.0,1205,235846.0,24949.0,SELL,86.11111111111111
4,2019-04-08,253000.0,910,253910.0,0.0,BUY,8.0
5,2019-04-18,285000.0,1311,253910.0,29779.0,SELL,89.47368421052632
6,2019-05-16,256000.0,921,256921.0,0.0,BUY,5.555555555555555
7,2019-05-29,290000.0,1334,256921.0,31745.0,SELL,82.75862068965517
8,2019-07-04,285000.0,1026,286026.0,0.0,BUY,13.043478260869565
9,2019-07-18,311000.0,1430,286026.0,23544.0,SELL,83.33333333333333
10,2019-11-11,330000.0,1188,331188.0,0.0,BUY,8.51063829787234
