,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,BB_MAVG_20,BB_atas_20,BB_bawah_20
0,2019-02-12,304000.0,1094,305094.0,0.0,BUY,3100.0,3367.5817632051912,2832.4182367948088
1,2019-02-27,311000.0,1430,305094.0,4476.0,SELL,3075.5,3170.6787791474508,2980.3212208525492
2,2019-03-05,306000.0,1101,307101.0,0.0,BUY,3076.0,3171.7914401186204,2980.2085598813796
3,2019-03-08,310000.0,1426,307101.0,1473.0,SELL,3069.0,3155.463865284865,2982.536134715135
4,2019-03-11,310000.0,1116,311116.0,0.0,BUY,3068.5,3154.121259042362,2982.878740957638
5,2019-04-03,309000.0,1421,311116.0,-3537.0,SELL,3062.5,3116.1190264738116,3008.8809735261884
6,2019-04-05,316000.0,1137,317137.0,0.0,BUY,3066.5,3134.109170975536,2998.890829024464
7,2019-04-09,319000.0,1467,317137.0,396.0,SELL,3073.5,3166.079695398069,2980.920304601931
8,2019-04-10,305000.0,1098,306098.0,0.0,BUY,3072.5,3165.639680050982,2979.360319949018
9,2019-04-15,309000.0,1421,306098.0,1481.0,SELL,3076.5,3165.7804569880736,2987.2195430119264
10,2019-04-16,310000.0,1116,311116.0,0.0,BUY,3078.5,3168.004189846058,2988.995810153942
11,2019-04-17,310000.0,1426,311116.0,-2542.0,SELL,3079.5,3169.494444272962,2989.505555727038
12,2019-04-18,310000.0,1116,311116.0,0.0,BUY,3081.0,3171.3105752390006,2990.6894247609994
13,2019-04-19,310000.0,1426,311116.0,-2542.0,SELL,3082.5,3173.026239290049,2991.973760709951
14,2019-04-29,313000.0,1126,314126.0,0.0,BUY,3111.5,3189.544858895376,3033.455141104624
15,2019-05-24,305000.0,1403,314126.0,-10529.0,SELL,3034.5,3119.699765257889,2949.300234742111
16,2019-05-28,304000.0,1094,305094.0,0.0,BUY,3028.0,3095.4091981854067,2960.5908018145933
17,2019-05-29,310000.0,1426,305094.0,3480.0,SELL,3028.0,3095.4091981854067,2960.5908018145933
18,2019-06-13,306000.0,1101,307101.0,0.0,BUY,3050.5,3103.594255809827,2997.405744190173
19,2019-06-24,307000.0,1412,307101.0,-1513.0,SELL,3060.5,3091.788975694313,3029.211024305687
20,2019-06-26,308000.0,1108,309108.0,0.0,BUY,3063.0,3094.048349392509,3031.951650607491
21,2019-07-02,312000.0,1435,309108.0,1457.0,SELL,3063.0,3094.685959035499,3031.314040964501
22,2019-07-26,326000.0,1173,327173.0,0.0,BUY,3288.5,3466.182300750521,3110.817699249479
23,2019-08-01,336000.0,1545,327173.0,7282.0,SELL,3323.0,3409.740993768796,3236.259006231204
24,2019-08-05,331000.0,1191,332191.0,0.0,BUY,3319.5,3393.3850458482525,3245.6149541517475
25,2019-09-13,322000.0,1481,332191.0,-11672.0,SELL,3211.0,3236.219040425813,3185.780959574187
26,2019-09-16,315000.0,1134,316134.0,0.0,BUY,3207.5,3243.762928728921,3171.237071271079
27,2019-09-18,323000.0,1485,316134.0,5381.0,SELL,3208.0,3245.7359245282105,3170.2640754717895
28,2019-09-20,322000.0,1159,323159.0,0.0,BUY,3208.0,3245.2021504754607,3170.7978495245393
29,2019-09-25,327000.0,1504,323159.0,2337.0,SELL,3210.5,3254.985952839057,3166.014047160943
30,2019-10-08,287000.0,1033,288033.0,0.0,BUY,3283.0,3575.7866117157655,2990.2133882842345
31,2019-10-30,305000.0,1403,288033.0,15564.0,SELL,3023.0,3382.4495792180032,2663.5504207819968
32,2019-11-29,359000.0,1292,360292.0,0.0,BUY,3544.0,3747.2141727340827,3340.7858272659173
33,2019-12-02,373000.0,1715,360292.0,10993.0,SELL,3555.0,3772.944947177028,3337.055052822972
34,2019-12-03,352000.0,1267,353267.0,0.0,BUY,3556.0,3773.1082679217848,3338.8917320782152
