,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,BB_MAVG_20
0,2019-02-12,304000.0,1094,305094.0,0.0,BUY, ,3100.0
1,2019-02-22,311000.0,1430,305094.0,4476.0, ,SELL,3077.0
2,2019-02-25,311000.0,1119,312119.0,0.0,BUY, ,3075.5
3,2019-02-27,311000.0,1430,312119.0,-2549.0,SELL, ,3075.5
4,2019-03-05,306000.0,1101,307101.0,0.0,BUY, ,3076.0
5,2019-03-06,307000.0,1412,307101.0,-1513.0, ,SELL,3073.0
6,2019-03-07,307000.0,1105,308105.0,0.0,BUY, ,3071.0
7,2019-03-08,310000.0,1426,308105.0,469.0,SELL, ,3069.0
8,2019-03-11,310000.0,1116,311116.0,0.0,BUY, ,3068.5
9,2019-03-12,311000.0,1430,311116.0,-1546.0, ,SELL,3072.0
10,2019-03-13,307000.0,1105,308105.0,0.0,BUY, ,3073.0
11,2019-04-02,309000.0,1421,308105.0,-526.0, ,SELL,3061.5
12,2019-04-05,316000.0,1137,317137.0,0.0,BUY, ,3066.5
13,2019-04-08,316000.0,1453,317137.0,-2590.0, ,SELL,3069.5
14,2019-04-10,305000.0,1098,306098.0,0.0,BUY, ,3072.5
15,2019-04-15,309000.0,1421,306098.0,1481.0,SELL, ,3076.5
16,2019-04-16,310000.0,1116,311116.0,0.0,BUY, ,3078.5
17,2019-04-17,310000.0,1426,311116.0,-2542.0,SELL, ,3079.5
18,2019-04-18,310000.0,1116,311116.0,0.0,BUY, ,3081.0
19,2019-04-19,310000.0,1426,311116.0,-2542.0,SELL, ,3082.5
20,2019-04-29,313000.0,1126,314126.0,0.0,BUY, ,3111.5
21,2019-05-02,310000.0,1426,314126.0,-5552.0, ,SELL,3113.0
22,2019-05-03,304000.0,1094,305094.0,0.0,BUY, ,3107.0
23,2019-05-23,305000.0,1403,305094.0,-1497.0, ,SELL,3038.5
24,2019-05-28,304000.0,1094,305094.0,0.0,BUY, ,3028.0
25,2019-05-29,310000.0,1426,305094.0,3480.0,SELL, ,3028.0
26,2019-06-13,306000.0,1101,307101.0,0.0,BUY, ,3050.5
27,2019-06-14,306000.0,1407,307101.0,-2508.0, ,SELL,3054.5
28,2019-06-17,306000.0,1101,307101.0,0.0,BUY, ,3055.0
29,2019-06-21,305000.0,1403,307101.0,-3504.0, ,SELL,3059.5
30,2019-06-26,308000.0,1108,309108.0,0.0,BUY, ,3063.0
31,2019-06-28,306000.0,1407,309108.0,-4515.0, ,SELL,3059.0
32,2019-07-01,306000.0,1101,307101.0,0.0,BUY, ,3059.5
33,2019-07-02,312000.0,1435,307101.0,3464.0,SELL, ,3063.0
34,2019-07-26,326000.0,1173,327173.0,0.0,BUY, ,3288.5
35,2019-07-31,336000.0,1545,327173.0,7282.0, ,SELL,3315.0
36,2019-08-05,331000.0,1191,332191.0,0.0,BUY, ,3319.5
37,2019-09-09,323000.0,1485,332191.0,-10676.0, ,SELL,3216.0
38,2019-09-10,320000.0,1152,321152.0,0.0,BUY, ,3214.5
39,2019-09-13,322000.0,1481,321152.0,-633.0,SELL, ,3211.0
40,2019-09-16,315000.0,1134,316134.0,0.0,BUY, ,3207.5
41,2019-09-18,323000.0,1485,316134.0,5381.0,SELL, ,3208.0
42,2019-09-20,322000.0,1159,323159.0,0.0,BUY, ,3208.0
43,2019-09-23,321000.0,1476,323159.0,-3635.0, ,SELL,3207.5
44,2019-09-24,323000.0,1162,324162.0,0.0,BUY, ,3207.0
45,2019-09-25,327000.0,1504,324162.0,1334.0,SELL, ,3210.5
46,2019-10-08,287000.0,1033,288033.0,0.0,BUY, ,3283.0
47,2019-10-30,305000.0,1403,288033.0,15564.0,SELL, ,3023.0
48,2019-11-29,359000.0,1292,360292.0,0.0,BUY, ,3544.0
49,2019-12-02,373000.0,1715,360292.0,10993.0,SELL, ,3555.0
50,2019-12-03,352000.0,1267,353267.0,0.0,BUY, ,3556.0
