,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-02-12,304000.0,1094,305094.0,0.0,BUY,BUY,BUY,3100.0,3367.5817632051912,2832.4182367948088,-47.44397759103624,7.142857142857143
1,2019-02-27,311000.0,1430,305094.0,4476.0,SELL,SELL, ,3075.5,3170.6787791474508,2980.3212208525492,53.60580482748465,68.75
2,2019-03-05,306000.0,1101,307101.0,0.0,BUY,BUY, ,3076.0,3171.7914401186204,2980.2085598813796,-4.761904761905301,37.5
3,2019-03-08,310000.0,1426,307101.0,1473.0,SELL,SELL, ,3069.0,3155.463865284865,2982.536134715135,71.57894736842104,62.5
4,2019-03-11,310000.0,1116,311116.0,0.0,BUY, , ,3068.5,3154.121259042362,2982.878740957638,14.393939393938698,62.5
5,2019-04-02,309000.0,1421,311116.0,-3537.0, ,SELL,SELL,3061.5,3113.758970521809,3009.241029478191,45.01424501424605,90.0
6,2019-04-05,316000.0,1137,317137.0,0.0,BUY, , ,3066.5,3134.109170975536,2998.890829024464,254.5454545454546,72.72727272727273
7,2019-04-09,319000.0,1467,317137.0,396.0,SELL, ,SELL,3073.5,3166.079695398069,2980.920304601931,211.64635325981914,86.36363636363636
8,2019-04-10,305000.0,1098,306098.0,0.0,BUY, , ,3072.5,3165.639680050982,2979.360319949018,17.191977077362875,22.727272727272727
9,2019-04-15,309000.0,1421,306098.0,1481.0,SELL,SELL, ,3076.5,3165.7804569880736,2987.2195430119264,47.179487179486706,40.90909090909091
10,2019-04-16,310000.0,1116,311116.0,0.0,BUY, , ,3078.5,3168.004189846058,2988.995810153942,34.313725490196106,45.45454545454545
11,2019-04-17,310000.0,1426,311116.0,-2542.0,SELL,SELL, ,3079.5,3169.494444272962,2989.505555727038,52.652414885193565,45.45454545454545
12,2019-04-18,310000.0,1116,311116.0,0.0,BUY, , ,3081.0,3171.3105752390006,2990.6894247609994,68.21179574147315,36.8421052631579
13,2019-04-19,310000.0,1426,311116.0,-2542.0,SELL,SELL, ,3082.5,3173.026239290049,2991.973760709951,41.62062615101221,36.8421052631579
14,2019-04-29,313000.0,1126,314126.0,0.0,BUY, , ,3111.5,3189.544858895376,3033.455141104624,26.160337552742984,66.66666666666667
15,2019-05-24,305000.0,1403,314126.0,-10529.0,SELL,SELL,SELL,3034.5,3119.699765257889,2949.300234742111,32.3289391085998,81.81818181818181
16,2019-05-28,304000.0,1094,305094.0,0.0,BUY, , ,3028.0,3095.4091981854067,2960.5908018145933,1.216545012165451,72.72727272727273
17,2019-05-29,310000.0,1426,305094.0,3480.0,SELL,SELL,SELL,3028.0,3095.4091981854067,2960.5908018145933,138.04713804713745,100.0
18,2019-06-13,306000.0,1101,307101.0,0.0,BUY,BUY, ,3050.5,3103.594255809827,2997.405744190173,-6.349206349205738,60.0
19,2019-06-24,307000.0,1412,307101.0,-1513.0,SELL,SELL, ,3060.5,3091.788975694313,3029.211024305687,103.36652441915386,70.0
20,2019-06-26,308000.0,1108,309108.0,0.0,BUY, , ,3063.0,3094.048349392509,3031.951650607491,60.606060606059316,80.0
21,2019-07-02,312000.0,1435,309108.0,1457.0,SELL, ,SELL,3063.0,3094.685959035499,3031.314040964501,264.3979057591615,85.71428571428571
22,2019-07-26,326000.0,1173,327173.0,0.0,BUY,BUY,BUY,3288.5,3466.182300750521,3110.817699249479,-19.844198441984272,0.0
23,2019-07-31,336000.0,1545,327173.0,7282.0, ,SELL,SELL,3315.0,3415.0999500499297,3214.9000499500703,28.72474747474803,80.0
24,2019-08-05,331000.0,1191,332191.0,0.0,BUY,BUY, ,3319.5,3393.3850458482525,3245.6149541517475,-2.026342451873631,55.0
25,2019-09-13,322000.0,1481,332191.0,-11672.0,SELL,SELL, ,3211.0,3236.219040425813,3185.780959574187,30.384271671134037,36.36363636363637
26,2019-09-16,315000.0,1134,316134.0,0.0,BUY, ,BUY,3207.5,3243.762928728921,3171.237071271079,-245.19230769230975,18.75
27,2019-09-18,323000.0,1485,316134.0,5381.0,SELL,SELL, ,3208.0,3245.7359245282105,3170.2640754717895,67.54772393538964,78.57142857142857
28,2019-09-20,322000.0,1159,323159.0,0.0,BUY, , ,3208.0,3245.2021504754607,3170.7978495245393,34.912718204491085,76.92307692307692
29,2019-09-24,323000.0,1485,323159.0,-1644.0, ,SELL,SELL,3207.0,3242.27038417708,3171.72961582292,76.96151924038051,84.61538461538461
30,2019-10-08,287000.0,1033,288033.0,0.0,BUY, ,BUY,3283.0,3575.7866117157655,2990.2133882842345,-213.904277087388,9.45945945945946
31,2019-10-30,305000.0,1403,288033.0,15564.0,SELL,SELL,SELL,3023.0,3382.4495792180032,2663.5504207819968,18.373367045933474,85.0
32,2019-11-29,359000.0,1292,360292.0,0.0,BUY, , ,3544.0,3747.2141727340827,3340.7858272659173,20.743919885550447,44.73684210526316
33,2019-12-02,373000.0,1715,360292.0,10993.0,SELL,SELL,SELL,3555.0,3772.944947177028,3337.055052822972,97.72946039295633,81.57894736842105
34,2019-12-03,352000.0,1267,353267.0,0.0,BUY,BUY, ,3556.0,3773.1082679217848,3338.8917320782152,-3.7088548910524928,30.0
