,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,SO,BB_MAVG_20
0,2019-02-12,304000.0,1094,305094.0,0.0,BUY, ,3100.0
1,2019-02-27,311000.0,1430,305094.0,4476.0,SELL, ,3075.5
2,2019-03-05,306000.0,1101,307101.0,0.0,BUY, ,3076.0
3,2019-03-08,310000.0,1426,307101.0,1473.0,SELL, ,3069.0
4,2019-03-11,310000.0,1116,311116.0,0.0,BUY, ,3068.5
5,2019-04-02,309000.0,1421,311116.0,-3537.0, ,SELL,3061.5
6,2019-04-05,316000.0,1137,317137.0,0.0,BUY, ,3066.5
7,2019-04-09,319000.0,1467,317137.0,396.0,SELL, ,3073.5
8,2019-04-10,305000.0,1098,306098.0,0.0,BUY, ,3072.5
9,2019-04-15,309000.0,1421,306098.0,1481.0,SELL, ,3076.5
10,2019-04-16,310000.0,1116,311116.0,0.0,BUY, ,3078.5
11,2019-04-17,310000.0,1426,311116.0,-2542.0,SELL, ,3079.5
12,2019-04-18,310000.0,1116,311116.0,0.0,BUY, ,3081.0
13,2019-04-19,310000.0,1426,311116.0,-2542.0,SELL, ,3082.5
14,2019-04-29,313000.0,1126,314126.0,0.0,BUY, ,3111.5
15,2019-05-24,305000.0,1403,314126.0,-10529.0,SELL, ,3034.5
16,2019-05-28,304000.0,1094,305094.0,0.0,BUY, ,3028.0
17,2019-05-29,310000.0,1426,305094.0,3480.0,SELL, ,3028.0
18,2019-06-13,306000.0,1101,307101.0,0.0,BUY, ,3050.5
19,2019-06-24,307000.0,1412,307101.0,-1513.0,SELL, ,3060.5
20,2019-06-26,308000.0,1108,309108.0,0.0,BUY, ,3063.0
21,2019-07-02,312000.0,1435,309108.0,1457.0,SELL, ,3063.0
22,2019-07-26,326000.0,1173,327173.0,0.0,BUY, ,3288.5
23,2019-07-31,336000.0,1545,327173.0,7282.0, ,SELL,3315.0
24,2019-08-05,331000.0,1191,332191.0,0.0,BUY, ,3319.5
25,2019-09-13,322000.0,1481,332191.0,-11672.0,SELL, ,3211.0
26,2019-09-16,315000.0,1134,316134.0,0.0,BUY, ,3207.5
27,2019-09-18,323000.0,1485,316134.0,5381.0,SELL, ,3208.0
28,2019-09-20,322000.0,1159,323159.0,0.0,BUY, ,3208.0
29,2019-09-24,323000.0,1485,323159.0,-1644.0, ,SELL,3207.0
30,2019-10-08,287000.0,1033,288033.0,0.0,BUY, ,3283.0
31,2019-10-28,304000.0,1398,288033.0,14569.0, ,SELL,3067.5
32,2019-10-29,304000.0,1094,305094.0,0.0,BUY, ,3046.0
33,2019-10-30,305000.0,1403,305094.0,-1497.0,SELL, ,3023.0
34,2019-11-29,359000.0,1292,360292.0,0.0,BUY, ,3544.0
35,2019-12-02,373000.0,1715,360292.0,10993.0,SELL, ,3555.0
36,2019-12-03,352000.0,1267,353267.0,0.0,BUY, ,3556.0
