,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,MFII_14
0,2019-02-12,304000.0,1094,305094.0,0.0, ,BUY,63.5380218027718
1,2019-02-27,311000.0,1430,305094.0,4476.0, ,SELL,32.91140539835091
2,2019-03-05,306000.0,1101,307101.0,0.0, ,BUY,30.213889628922473
3,2019-03-08,310000.0,1426,307101.0,1473.0, ,SELL,52.56795117966158
4,2019-03-11,310000.0,1116,311116.0,0.0, ,BUY,51.61002435992843
5,2019-04-03,309000.0,1421,311116.0,-3537.0, ,SELL,40.60968148368483
6,2019-04-05,316000.0,1137,317137.0,0.0, ,BUY,41.591310682062414
7,2019-04-09,319000.0,1467,317137.0,396.0, ,SELL,42.13315579580886
8,2019-04-10,305000.0,1098,306098.0,0.0, ,BUY,33.34403764181167
9,2019-04-15,309000.0,1421,306098.0,1481.0, ,SELL,40.58126513697655
10,2019-04-16,310000.0,1116,311116.0,0.0, ,BUY,37.999559576369364
11,2019-04-17,310000.0,1426,311116.0,-2542.0, ,SELL,39.16318251768064
12,2019-04-18,310000.0,1116,311116.0,0.0, ,BUY,51.23654239962516
13,2019-04-19,310000.0,1426,311116.0,-2542.0, ,SELL,50.55783946552072
14,2019-04-29,313000.0,1126,314126.0,0.0, ,BUY,50.54764308133208
15,2019-05-24,305000.0,1403,314126.0,-10529.0, ,SELL,7.367257162312853
16,2019-05-27,306000.0,1101,307101.0,0.0,BUY, ,8.646536898944618
17,2019-05-29,310000.0,1426,307101.0,1473.0, ,SELL,17.37076644561506
18,2019-05-30,310000.0,1116,311116.0,0.0,BUY, ,12.235152985316333
19,2019-05-31,305000.0,1403,311116.0,-7519.0, ,SELL,12.4722909757554
20,2019-06-13,306000.0,1101,307101.0,0.0, ,BUY,23.497430930467914
21,2019-06-24,307000.0,1412,307101.0,-1513.0, ,SELL,53.169429023340015
22,2019-06-26,308000.0,1108,309108.0,0.0, ,BUY,59.017882619159046
23,2019-07-02,312000.0,1435,309108.0,1457.0,SELL, ,91.85649786105802
24,2019-07-26,326000.0,1173,327173.0,0.0, ,BUY,34.472894566020344
25,2019-08-01,336000.0,1545,327173.0,7282.0, ,SELL,70.45531064826561
26,2019-08-05,331000.0,1191,332191.0,0.0, ,BUY,69.4542178410472
27,2019-09-13,322000.0,1481,332191.0,-11672.0, ,SELL,23.889245240459218
28,2019-09-16,315000.0,1134,316134.0,0.0,BUY, ,19.107559670522377
29,2019-09-18,323000.0,1485,316134.0,5381.0, ,SELL,24.24699710767213
30,2019-09-20,322000.0,1159,323159.0,0.0,BUY, ,17.367917298933037
31,2019-09-25,327000.0,1504,323159.0,2337.0, ,SELL,36.416114412003076
32,2019-10-08,287000.0,1033,288033.0,0.0, ,BUY,52.43078785874825
33,2019-10-30,305000.0,1403,288033.0,15564.0, ,SELL,79.97838590231507
34,2019-11-29,359000.0,1292,360292.0,0.0, ,BUY,63.15585577118662
35,2019-12-02,373000.0,1715,360292.0,10993.0, ,SELL,66.8106163961827
36,2019-12-03,352000.0,1267,353267.0,0.0, ,BUY,46.98195241043011
