,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20
0,2019-02-12,304000.0,1094,305094.0,0.0, ,BUY,BUY,63.5380218027718,3100.0,3367.5817632051912,2832.4182367948088,-47.44397759103624
1,2019-02-27,311000.0,1430,305094.0,4476.0, ,SELL,SELL,32.91140539835091,3075.5,3170.6787791474508,2980.3212208525492,53.60580482748465
2,2019-03-05,306000.0,1101,307101.0,0.0, ,BUY,BUY,30.213889628922473,3076.0,3171.7914401186204,2980.2085598813796,-4.761904761905301
3,2019-03-08,310000.0,1426,307101.0,1473.0, ,SELL,SELL,52.56795117966158,3069.0,3155.463865284865,2982.536134715135,71.57894736842104
4,2019-03-13,307000.0,1105,308105.0,0.0, ,BUY,BUY,72.15452631188153,3073.0,3158.8137518116955,2987.1862481883045,-15.195791934541202
5,2019-04-03,309000.0,1421,308105.0,-526.0, ,SELL,SELL,40.60968148368483,3062.5,3116.1190264738116,3008.8809735261884,101.99430199430252
6,2019-04-11,303000.0,1090,304090.0,0.0, ,BUY,BUY,28.40519970811195,3073.5,3164.3350152749435,2982.6649847250565,-25.579536370903963
7,2019-04-15,309000.0,1421,304090.0,3489.0, ,SELL,SELL,40.58126513697655,3076.5,3165.7804569880736,2987.2195430119264,47.179487179486706
8,2019-04-30,310000.0,1116,311116.0,0.0, ,BUY,BUY,55.28019406201108,3112.0,3189.6144316477234,3034.3855683522766,-20.930750389668592
9,2019-05-24,305000.0,1403,311116.0,-7519.0, ,SELL,SELL,7.367257162312853,3034.5,3119.699765257889,2949.300234742111,32.3289391085998
10,2019-05-27,306000.0,1101,307101.0,0.0,BUY, , ,8.646536898944618,3031.0,3105.2697785105047,2956.7302214894953,56.25436757512158
11,2019-05-29,310000.0,1426,307101.0,1473.0, ,SELL,SELL,17.37076644561506,3028.0,3095.4091981854067,2960.5908018145933,138.04713804713745
12,2019-05-30,310000.0,1116,311116.0,0.0,BUY, , ,12.235152985316333,3028.0,3095.4091981854067,2960.5908018145933,187.49999999999952
13,2019-05-31,305000.0,1403,311116.0,-7519.0, ,SELL,SELL,12.4722909757554,3028.5,3096.4043444854556,2960.5956555145444,75.67804024497005
14,2019-06-13,306000.0,1101,307101.0,0.0, ,BUY,BUY,23.497430930467914,3050.5,3103.594255809827,2997.405744190173,-6.349206349205738
15,2019-06-24,307000.0,1412,307101.0,-1513.0, ,SELL,SELL,53.169429023340015,3060.5,3091.788975694313,3029.211024305687,103.36652441915386
16,2019-06-27,306000.0,1101,307101.0,0.0, ,BUY,BUY,46.24369010838672,3061.0,3086.999999999987,3035.000000000013,-2.932551319648092
17,2019-07-02,312000.0,1435,307101.0,3464.0,SELL,SELL, ,91.85649786105802,3063.0,3094.685959035499,3031.314040964501,264.3979057591615
18,2019-07-26,326000.0,1173,327173.0,0.0, ,BUY,BUY,34.472894566020344,3288.5,3466.182300750521,3110.817699249479,-19.844198441984272
19,2019-08-01,336000.0,1545,327173.0,7282.0, ,SELL,SELL,70.45531064826561,3323.0,3409.740993768796,3236.259006231204,84.09436834094409
20,2019-08-05,331000.0,1191,332191.0,0.0, ,BUY,BUY,69.4542178410472,3319.5,3393.3850458482525,3245.6149541517475,-2.026342451873631
21,2019-09-13,322000.0,1481,332191.0,-11672.0, ,SELL,SELL,23.889245240459218,3211.0,3236.219040425813,3185.780959574187,30.384271671134037
22,2019-09-16,315000.0,1134,316134.0,0.0,BUY,BUY, ,19.107559670522377,3207.5,3243.762928728921,3171.237071271079,-245.19230769230975
23,2019-09-18,323000.0,1485,316134.0,5381.0, ,SELL,SELL,24.24699710767213,3208.0,3245.7359245282105,3170.2640754717895,67.54772393538964
24,2019-09-20,322000.0,1159,323159.0,0.0,BUY,BUY, ,17.367917298933037,3208.0,3245.2021504754607,3170.7978495245393,34.912718204491085
25,2019-10-02,351000.0,1614,323159.0,26227.0,SELL,SELL, ,80.51077018664607,3265.5,3467.3390447856873,3063.6609552143127,217.17639789928865
26,2019-10-09,297000.0,1069,298069.0,0.0, ,BUY,BUY,53.46936497088907,3271.0,3592.9875774001202,2949.0124225998798,-187.02990277013373
27,2019-10-30,305000.0,1403,298069.0,5528.0, ,SELL,SELL,79.97838590231507,3023.0,3382.4495792180032,2663.5504207819968,18.373367045933474
28,2019-12-03,352000.0,1267,353267.0,0.0, ,BUY,BUY,46.98195241043011,3556.0,3773.1082679217848,3338.8917320782152,-3.7088548910524928
