,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-02-12,304000.0,1094,305094.0,0.0, ,BUY,BUY,BUY,63.5380218027718,3100.0,3367.5817632051912,2832.4182367948088,-47.44397759103624,7.142857142857143
1,2019-03-01,313000.0,1439,305094.0,6467.0, ,SELL,SELL,SELL,23.076748443891276,3079.5,3177.78021163998,2981.21978836002,78.34696513129572,86.66666666666667
2,2019-03-14,301000.0,1083,302083.0,0.0, ,BUY,BUY,BUY,60.576800517100054,3073.0,3158.8137518116955,2987.1862481883045,-109.80392156862828,11.764705882352942
3,2019-04-03,309000.0,1421,302083.0,5496.0, ,SELL,SELL,SELL,40.60968148368483,3062.5,3116.1190264738116,3008.8809735261884,101.99430199430252,90.0
4,2019-04-11,303000.0,1090,304090.0,0.0, ,BUY,BUY,BUY,28.40519970811195,3073.5,3164.3350152749435,2982.6649847250565,-25.579536370903963,13.636363636363637
5,2019-05-24,305000.0,1403,304090.0,-493.0, ,SELL,SELL,SELL,7.367257162312853,3034.5,3119.699765257889,2949.300234742111,32.3289391085998,81.81818181818181
6,2019-05-27,306000.0,1101,307101.0,0.0,BUY, , , ,8.646536898944618,3031.0,3105.2697785105047,2956.7302214894953,56.25436757512158,90.9090909090909
7,2019-05-29,310000.0,1426,307101.0,1473.0, ,SELL,SELL,SELL,17.37076644561506,3028.0,3095.4091981854067,2960.5908018145933,138.04713804713745,100.0
8,2019-05-30,310000.0,1116,311116.0,0.0,BUY, , , ,12.235152985316333,3028.0,3095.4091981854067,2960.5908018145933,187.49999999999952,100.0
9,2019-06-10,308000.0,1416,311116.0,-4532.0, ,SELL,SELL,SELL,61.80385984869144,3041.0,3107.6033032213822,2974.3966967786178,110.15561015561056,80.0
10,2019-07-26,326000.0,1173,327173.0,0.0, ,BUY,BUY,BUY,34.472894566020344,3288.5,3466.182300750521,3110.817699249479,-19.844198441984272,0.0
11,2019-08-01,336000.0,1545,327173.0,7282.0, ,SELL,SELL,SELL,70.45531064826561,3323.0,3409.740993768796,3236.259006231204,84.09436834094409,80.0
12,2019-08-13,323000.0,1162,324162.0,0.0, ,BUY,BUY,BUY,66.14054176128398,3294.5,3377.8006602614796,3211.1993397385204,-116.91086691086697,19.047619047619047
13,2019-10-02,351000.0,1614,324162.0,25224.0,SELL,SELL, ,SELL,80.51077018664607,3265.5,3467.3390447856873,3063.6609552143127,217.17639789928865,95.1219512195122
14,2019-10-10,289000.0,1040,290040.0,0.0, ,BUY,BUY,BUY,52.97050863815147,3255.0,3616.856325079442,2893.143674920558,-169.9216320437867,12.162162162162161
15,2019-10-30,305000.0,1403,290040.0,13557.0, ,SELL,SELL,SELL,79.97838590231507,3023.0,3382.4495792180032,2663.5504207819968,18.373367045933474,85.0
16,2019-12-10,352000.0,1267,353267.0,0.0,BUY,BUY,BUY, ,16.997083026325896,3573.5,3763.0547414337016,3383.9452585662984,-51.20812740252628,30.0
