,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,SO_14
0,2019-02-12,304000.0,1094,305094.0,0.0, ,BUY,BUY,63.5380218027718,3100.0,3367.5817632051912,2832.4182367948088,7.142857142857143
1,2019-03-01,313000.0,1439,305094.0,6467.0, ,SELL,SELL,23.076748443891276,3079.5,3177.78021163998,2981.21978836002,86.66666666666667
2,2019-03-14,301000.0,1083,302083.0,0.0, ,BUY,BUY,60.576800517100054,3073.0,3158.8137518116955,2987.1862481883045,11.764705882352942
3,2019-04-03,309000.0,1421,302083.0,5496.0, ,SELL,SELL,40.60968148368483,3062.5,3116.1190264738116,3008.8809735261884,90.0
4,2019-04-11,303000.0,1090,304090.0,0.0, ,BUY,BUY,28.40519970811195,3073.5,3164.3350152749435,2982.6649847250565,13.636363636363637
5,2019-05-24,305000.0,1403,304090.0,-493.0, ,SELL,SELL,7.367257162312853,3034.5,3119.699765257889,2949.300234742111,81.81818181818181
6,2019-05-27,306000.0,1101,307101.0,0.0,BUY, , ,8.646536898944618,3031.0,3105.2697785105047,2956.7302214894953,90.9090909090909
7,2019-05-29,310000.0,1426,307101.0,1473.0, ,SELL,SELL,17.37076644561506,3028.0,3095.4091981854067,2960.5908018145933,100.0
8,2019-05-30,310000.0,1116,311116.0,0.0,BUY, , ,12.235152985316333,3028.0,3095.4091981854067,2960.5908018145933,100.0
9,2019-06-10,308000.0,1416,311116.0,-4532.0, ,SELL,SELL,61.80385984869144,3041.0,3107.6033032213822,2974.3966967786178,80.0
10,2019-07-26,326000.0,1173,327173.0,0.0, ,BUY,BUY,34.472894566020344,3288.5,3466.182300750521,3110.817699249479,0.0
11,2019-08-01,336000.0,1545,327173.0,7282.0, ,SELL,SELL,70.45531064826561,3323.0,3409.740993768796,3236.259006231204,80.0
12,2019-08-13,323000.0,1162,324162.0,0.0, ,BUY,BUY,66.14054176128398,3294.5,3377.8006602614796,3211.1993397385204,19.047619047619047
13,2019-09-27,340000.0,1564,324162.0,14274.0, ,SELL,SELL,56.353459490182416,3223.5,3320.7162537850472,3126.2837462149528,84.84848484848484
14,2019-10-08,287000.0,1033,288033.0,0.0, ,BUY,BUY,52.43078785874825,3283.0,3575.7866117157655,2990.2133882842345,9.45945945945946
15,2019-10-30,305000.0,1403,288033.0,15564.0, ,SELL,SELL,79.97838590231507,3023.0,3382.4495792180032,2663.5504207819968,85.0
16,2019-12-10,352000.0,1267,353267.0,0.0,BUY,BUY, ,16.997083026325896,3573.5,3763.0547414337016,3383.9452585662984,30.0
