,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-02-12,304000.0,1094,305094.0,0.0, ,BUY,BUY,BUY,63.5380218027718,3100.0,3367.5817632051912,2832.4182367948088,-47.44397759103624,7.142857142857143
1,2019-02-27,311000.0,1430,305094.0,4476.0, ,SELL,SELL, ,32.91140539835091,3075.5,3170.6787791474508,2980.3212208525492,53.60580482748465,68.75
2,2019-03-05,306000.0,1101,307101.0,0.0, ,BUY,BUY, ,30.213889628922473,3076.0,3171.7914401186204,2980.2085598813796,-4.761904761905301,37.5
3,2019-03-08,310000.0,1426,307101.0,1473.0, ,SELL,SELL, ,52.56795117966158,3069.0,3155.463865284865,2982.536134715135,71.57894736842104,62.5
4,2019-03-11,310000.0,1116,311116.0,0.0, ,BUY, , ,51.61002435992843,3068.5,3154.121259042362,2982.878740957638,14.393939393938698,62.5
5,2019-04-02,309000.0,1421,311116.0,-3537.0, , ,SELL,SELL,26.366163171403883,3061.5,3113.758970521809,3009.241029478191,45.01424501424605,90.0
6,2019-04-05,316000.0,1137,317137.0,0.0, ,BUY, , ,41.591310682062414,3066.5,3134.109170975536,2998.890829024464,254.5454545454546,72.72727272727273
7,2019-04-09,319000.0,1467,317137.0,396.0, ,SELL, ,SELL,42.13315579580886,3073.5,3166.079695398069,2980.920304601931,211.64635325981914,86.36363636363636
8,2019-04-10,305000.0,1098,306098.0,0.0, ,BUY, , ,33.34403764181167,3072.5,3165.639680050982,2979.360319949018,17.191977077362875,22.727272727272727
9,2019-04-15,309000.0,1421,306098.0,1481.0, ,SELL,SELL, ,40.58126513697655,3076.5,3165.7804569880736,2987.2195430119264,47.179487179486706,40.90909090909091
10,2019-04-16,310000.0,1116,311116.0,0.0, ,BUY, , ,37.999559576369364,3078.5,3168.004189846058,2988.995810153942,34.313725490196106,45.45454545454545
11,2019-04-17,310000.0,1426,311116.0,-2542.0, ,SELL,SELL, ,39.16318251768064,3079.5,3169.494444272962,2989.505555727038,52.652414885193565,45.45454545454545
12,2019-04-18,310000.0,1116,311116.0,0.0, ,BUY, , ,51.23654239962516,3081.0,3171.3105752390006,2990.6894247609994,68.21179574147315,36.8421052631579
13,2019-04-19,310000.0,1426,311116.0,-2542.0, ,SELL,SELL, ,50.55783946552072,3082.5,3173.026239290049,2991.973760709951,41.62062615101221,36.8421052631579
14,2019-04-29,313000.0,1126,314126.0,0.0, ,BUY, , ,50.54764308133208,3111.5,3189.544858895376,3033.455141104624,26.160337552742984,66.66666666666667
15,2019-05-24,305000.0,1403,314126.0,-10529.0, ,SELL,SELL,SELL,7.367257162312853,3034.5,3119.699765257889,2949.300234742111,32.3289391085998,81.81818181818181
16,2019-05-27,306000.0,1101,307101.0,0.0,BUY, , , ,8.646536898944618,3031.0,3105.2697785105047,2956.7302214894953,56.25436757512158,90.9090909090909
17,2019-05-29,310000.0,1426,307101.0,1473.0, ,SELL,SELL,SELL,17.37076644561506,3028.0,3095.4091981854067,2960.5908018145933,138.04713804713745,100.0
18,2019-05-30,310000.0,1116,311116.0,0.0,BUY, , , ,12.235152985316333,3028.0,3095.4091981854067,2960.5908018145933,187.49999999999952,100.0
19,2019-05-31,305000.0,1403,311116.0,-7519.0, ,SELL,SELL, ,12.4722909757554,3028.5,3096.4043444854556,2960.5956555145444,75.67804024497005,64.28571428571429
20,2019-06-13,306000.0,1101,307101.0,0.0, ,BUY,BUY, ,23.497430930467914,3050.5,3103.594255809827,2997.405744190173,-6.349206349205738,60.0
21,2019-06-24,307000.0,1412,307101.0,-1513.0, ,SELL,SELL, ,53.169429023340015,3060.5,3091.788975694313,3029.211024305687,103.36652441915386,70.0
22,2019-06-26,308000.0,1108,309108.0,0.0, ,BUY, , ,59.017882619159046,3063.0,3094.048349392509,3031.951650607491,60.606060606059316,80.0
23,2019-07-02,312000.0,1435,309108.0,1457.0,SELL,SELL, ,SELL,91.85649786105802,3063.0,3094.685959035499,3031.314040964501,264.3979057591615,85.71428571428571
24,2019-07-26,326000.0,1173,327173.0,0.0, ,BUY,BUY,BUY,34.472894566020344,3288.5,3466.182300750521,3110.817699249479,-19.844198441984272,0.0
25,2019-07-31,336000.0,1545,327173.0,7282.0, , ,SELL,SELL,54.791477205619294,3315.0,3415.0999500499297,3214.9000499500703,28.72474747474803,80.0
26,2019-08-05,331000.0,1191,332191.0,0.0, ,BUY,BUY, ,69.4542178410472,3319.5,3393.3850458482525,3245.6149541517475,-2.026342451873631,55.0
27,2019-09-13,322000.0,1481,332191.0,-11672.0, ,SELL,SELL, ,23.889245240459218,3211.0,3236.219040425813,3185.780959574187,30.384271671134037,36.36363636363637
