,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,MFII_14
0,2019-02-12,304000.0,1094,305094.0,0.0, ,BUY,63.5380218027718
1,2019-02-22,311000.0,1430,305094.0,4476.0, ,SELL,28.849497967534816
2,2019-02-26,304000.0,1094,305094.0,0.0, ,BUY,27.773391329053737
3,2019-02-27,311000.0,1430,305094.0,4476.0, ,SELL,32.91140539835091
4,2019-03-05,306000.0,1101,307101.0,0.0, ,BUY,30.213889628922473
5,2019-03-06,307000.0,1412,307101.0,-1513.0, ,SELL,32.12203861895283
6,2019-03-07,307000.0,1105,308105.0,0.0, ,BUY,31.456222513526427
7,2019-03-08,310000.0,1426,308105.0,469.0, ,SELL,52.56795117966158
8,2019-03-13,307000.0,1105,308105.0,0.0, ,BUY,72.15452631188153
9,2019-04-02,309000.0,1421,308105.0,-526.0, ,SELL,26.366163171403883
10,2019-04-11,303000.0,1090,304090.0,0.0, ,BUY,28.40519970811195
11,2019-04-15,309000.0,1421,304090.0,3489.0, ,SELL,40.58126513697655
12,2019-04-30,310000.0,1116,311116.0,0.0, ,BUY,55.28019406201108
13,2019-05-02,310000.0,1426,311116.0,-2542.0, ,SELL,64.79922760275642
14,2019-05-03,304000.0,1094,305094.0,0.0, ,BUY,52.12551879916769
15,2019-05-23,305000.0,1403,305094.0,-1497.0, ,SELL,6.49135139931883
16,2019-05-24,305000.0,1098,306098.0,0.0,BUY, ,7.367257162312853
17,2019-05-27,306000.0,1407,306098.0,-1505.0, ,SELL,8.646536898944618
18,2019-05-28,304000.0,1094,305094.0,0.0,BUY, ,14.69916309228293
19,2019-05-29,310000.0,1426,305094.0,3480.0, ,SELL,17.37076644561506
20,2019-05-30,310000.0,1116,311116.0,0.0,BUY, ,12.235152985316333
21,2019-05-31,305000.0,1403,311116.0,-7519.0, ,SELL,12.4722909757554
22,2019-06-13,306000.0,1101,307101.0,0.0, ,BUY,23.497430930467914
23,2019-06-14,306000.0,1407,307101.0,-2508.0, ,SELL,40.346850271699104
24,2019-06-18,306000.0,1101,307101.0,0.0, ,BUY,31.90341832039219
25,2019-06-21,305000.0,1403,307101.0,-3504.0, ,SELL,50.02806606186774
26,2019-06-27,306000.0,1101,307101.0,0.0, ,BUY,46.24369010838672
27,2019-06-28,306000.0,1407,307101.0,-2508.0, ,SELL,56.36560465555076
28,2019-07-26,326000.0,1173,327173.0,0.0, ,BUY,34.472894566020344
29,2019-07-31,336000.0,1545,327173.0,7282.0, ,SELL,54.791477205619294
30,2019-08-05,331000.0,1191,332191.0,0.0, ,BUY,69.4542178410472
31,2019-09-09,323000.0,1485,332191.0,-10676.0, ,SELL,41.83100771522416
32,2019-09-10,320000.0,1152,321152.0,0.0, ,BUY,27.412386740907195
33,2019-09-13,322000.0,1481,321152.0,-633.0, ,SELL,23.889245240459218
34,2019-09-16,315000.0,1134,316134.0,0.0,BUY, ,19.107559670522377
35,2019-09-18,323000.0,1485,316134.0,5381.0, ,SELL,24.24699710767213
36,2019-09-20,322000.0,1159,323159.0,0.0,BUY, ,17.367917298933037
37,2019-09-23,321000.0,1476,323159.0,-3635.0, ,SELL,18.809436781139908
38,2019-10-09,297000.0,1069,298069.0,0.0, ,BUY,53.46936497088907
39,2019-10-30,305000.0,1403,298069.0,5528.0, ,SELL,79.97838590231507
40,2019-12-03,352000.0,1267,353267.0,0.0, ,BUY,46.98195241043011
