,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,SO,MFII_14,CCI_20,SO_14
0,2019-02-12,304000.0,1094,305094.0,0.0, ,BUY,BUY,63.5380218027718,-47.44397759103624,7.142857142857143
1,2019-03-01,313000.0,1439,305094.0,6467.0, ,SELL,SELL,23.076748443891276,78.34696513129572,86.66666666666667
2,2019-03-14,301000.0,1083,302083.0,0.0, ,BUY,BUY,60.576800517100054,-109.80392156862828,11.764705882352942
3,2019-04-02,309000.0,1421,302083.0,5496.0, ,SELL,SELL,26.366163171403883,45.01424501424605,90.0
4,2019-04-11,303000.0,1090,304090.0,0.0, ,BUY,BUY,28.40519970811195,-25.579536370903963,13.636363636363637
5,2019-05-24,305000.0,1403,304090.0,-493.0, ,SELL,SELL,7.367257162312853,32.3289391085998,81.81818181818181
6,2019-05-27,306000.0,1101,307101.0,0.0,BUY, , ,8.646536898944618,56.25436757512158,90.9090909090909
7,2019-05-29,310000.0,1426,307101.0,1473.0, ,SELL,SELL,17.37076644561506,138.04713804713745,100.0
8,2019-05-30,310000.0,1116,311116.0,0.0,BUY, , ,12.235152985316333,187.49999999999952,100.0
9,2019-06-10,308000.0,1416,311116.0,-4532.0, ,SELL,SELL,61.80385984869144,110.15561015561056,80.0
10,2019-07-26,326000.0,1173,327173.0,0.0, ,BUY,BUY,34.472894566020344,-19.844198441984272,0.0
11,2019-07-31,336000.0,1545,327173.0,7282.0, ,SELL,SELL,54.791477205619294,28.72474747474803,80.0
12,2019-08-13,323000.0,1162,324162.0,0.0, ,BUY,BUY,66.14054176128398,-116.91086691086697,19.047619047619047
13,2019-09-24,323000.0,1485,324162.0,-2647.0, ,SELL,SELL,30.14322569907273,76.96151924038051,84.61538461538461
14,2019-10-10,289000.0,1040,290040.0,0.0, ,BUY,BUY,52.97050863815147,-169.9216320437867,12.162162162162161
15,2019-10-30,305000.0,1403,290040.0,13557.0, ,SELL,SELL,79.97838590231507,18.373367045933474,85.0
16,2019-12-10,352000.0,1267,353267.0,0.0,BUY,BUY, ,16.997083026325896,-51.20812740252628,30.0
