,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,BB_MAVG_20,BB_atas_20,BB_bawah_20
0,2019-02-07,1052500.0,3789,1056289.0,0.0,BUY,10467.5,11062.5,9872.5
1,2019-03-15,1042500.0,4795,1056289.0,-18584.0,SELL,10352.5,10548.650452459331,10156.349547540669
2,2019-03-18,1037500.0,3735,1041235.0,0.0,BUY,10343.75,10518.303000547112,10169.196999452888
3,2019-04-24,920000.0,4232,1041235.0,-125467.0,SELL,9123.75,9332.601023459309,8914.898976540691
4,2019-04-25,907500.0,3267,910767.0,0.0,BUY,9113.75,9311.534605063185,8915.965394936815
5,2019-04-29,930000.0,4278,910767.0,14955.0,SELL,9108.75,9293.327219612824,8924.172780387176
6,2019-05-14,965000.0,3474,968474.0,0.0,BUY,9440.0,10002.449997777581,8877.550002222419
7,2019-05-15,952500.0,4381,968474.0,-20355.0,SELL,9462.5,10000.203449868048,8924.796550131952
8,2019-05-16,950000.0,3420,953420.0,0.0,BUY,9482.5,9993.895150544078,8971.104849455922
9,2019-05-27,977500.0,4496,953420.0,19584.0,SELL,9628.75,9884.813956854534,9372.686043145466
10,2019-05-28,972500.0,3501,976001.0,0.0,BUY,9628.75,9884.813956854534,9372.686043145466
11,2019-05-30,972500.0,4473,976001.0,-7974.0,SELL,9630.0,9887.681974534504,9372.318025465496
12,2019-06-25,1000000.0,3600,1003600.0,0.0,BUY,9912.5,10210.199512932084,9614.800487067916
13,2019-06-27,1015000.0,4669,1003600.0,6731.0,SELL,9950.0,10239.827534923788,9660.172465076212
14,2019-07-02,1012500.0,3645,1016145.0,0.0,BUY,10003.75,10274.985598696041,9732.514401303959
15,2019-07-04,1010000.0,4646,1016145.0,-10791.0,SELL,10035.0,10275.520269416114,9794.479730583886
16,2019-07-05,1010000.0,3636,1013636.0,0.0,BUY,10050.0,10266.217483104398,9833.782516895602
17,2019-07-12,1027500.0,4726,1013636.0,9138.0,SELL,10093.75,10265.41464400103,9922.08535599897
18,2019-07-26,1057500.0,3807,1061307.0,0.0,BUY,10378.75,10911.965481770738,9845.534518229262
19,2019-07-31,1070000.0,4922,1061307.0,3771.0,SELL,10453.75,10965.432274463363,9942.067725536637
20,2019-08-16,1162500.0,4185,1166685.0,0.0,BUY,10950.0,11625.832819564128,10274.167180435872
21,2019-08-19,1152500.0,5301,1166685.0,-19486.0,SELL,10993.75,11698.887397958724,10288.612602041276
22,2019-08-26,1175000.0,4230,1179230.0,0.0,BUY,11290.0,12110.883670199377,10469.116329800623
23,2019-08-27,1175000.0,5405,1179230.0,-9635.0,SELL,11346.25,12130.51318924198,10561.98681075802
24,2019-09-05,1200000.0,4320,1204320.0,0.0,BUY,11723.75,12249.220027689496,11198.279972310504
25,2019-09-06,1190000.0,5474,1204320.0,-19794.0,SELL,11753.75,12246.516425398484,11260.983574601516
26,2019-09-11,1195000.0,4302,1199302.0,0.0,BUY,11851.25,12167.2701734067,11535.2298265933
27,2019-10-02,1220000.0,5612,1199302.0,15086.0,SELL,11916.25,12147.15853167434,11685.34146832566
28,2019-10-03,1220000.0,4392,1224392.0,0.0,BUY,11926.25,12186.286055192351,11666.213944807649
29,2019-10-04,1222500.0,5623,1224392.0,-7515.0,SELL,11942.5,12232.801567339895,11652.198432660105
30,2019-10-09,1200000.0,4320,1204320.0,0.0,BUY,11985.0,12357.290209379726,11612.709790620274
31,2019-12-02,1140000.0,5244,1204320.0,-69564.0,SELL,11342.5,11625.386903196313,11059.613096803687
32,2019-12-04,1110000.0,3996,1113996.0,0.0,BUY,11346.25,11638.77136674096,11053.72863325904
33,2019-12-11,1145000.0,5267,1113996.0,25737.0,SELL,11372.5,11524.897506541281,11220.102493458719
34,2019-12-12,1137500.0,4095,1141595.0,0.0,BUY,11371.25,11523.13400179084,11219.36599820916
