,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20
0,2019-02-12,1045000.0,3762,1048762.0,0.0, ,BUY,BUY,48.44762102084947,10532.5,11032.524999375031,10032.475000624969,-11.695906432748108
1,2019-03-14,1037500.0,4772,1048762.0,-16034.0, , ,SELL,46.61277179669567,10352.5,10548.650452459331,10156.349547540669,27.85515320334261
2,2019-03-29,932500.0,3357,935857.0,0.0, ,BUY,BUY,24.95238303895428,10076.25,10938.29335737827,9214.20664262173,-150.5685218432074
3,2019-04-23,920000.0,4232,935857.0,-20089.0, , ,SELL,71.22868365288294,9121.25,9327.571957144653,8914.928042855347,18.364518364518844
4,2019-05-17,930000.0,3348,933348.0,0.0, ,BUY,BUY,46.82695838909021,9492.5,9980.89021284215,9004.10978715785,-38.42536611581327
5,2019-05-21,962500.0,4427,933348.0,24725.0, , ,SELL,31.391294335113017,9531.25,9953.113425767155,9109.386574232845,12.578616352201527
6,2019-05-22,950000.0,3420,953420.0,0.0, ,BUY,BUY,34.6912449649237,9546.25,9940.354998699586,9152.145001300414,-14.34087148372863
7,2019-05-23,972500.0,4473,953420.0,14607.0, , ,SELL,42.2327412411763,9578.75,9915.00697018798,9242.49302981202,51.885764115979725
8,2019-07-08,1002500.0,3609,1006109.0,0.0, ,BUY,BUY,69.77779817180479,10061.25,10245.284643477798,9877.215356522202,-2.9239766081871252
9,2019-07-10,1012500.0,4657,1006109.0,1734.0, , ,SELL,64.32330019216408,10075.0,10212.840487520903,9937.159512479097,50.193050193050055
10,2019-09-13,1160000.0,4176,1164176.0,0.0, ,BUY,BUY,65.87399958404863,11871.25,12148.86258977215,11593.63741022785,-151.9519519519508
11,2019-09-17,1195000.0,5497,1164176.0,25327.0, , ,SELL,60.78550513798997,11888.75,12119.766774282734,11657.733225717266,47.42486029300668
12,2019-09-23,1187500.0,4275,1191775.0,0.0, ,BUY,BUY,41.70694207426951,11911.25,12119.501650653723,11702.998349346277,-2.1030494216601725
13,2019-09-26,1200000.0,5520,1191775.0,2705.0, , ,SELL,40.96390842946954,11912.5,12116.522057631031,11708.477942368969,71.57217531162125
14,2019-10-10,1145000.0,4122,1149122.0,0.0, ,BUY,BUY,39.86537731640542,11961.25,12400.418247941492,11522.081752058508,-167.53022452504212
15,2019-10-30,1167500.0,5370,1149122.0,13008.0, , ,SELL,68.24020055178998,11681.25,12353.350252938504,11009.149747061496,4.665629860031109
16,2019-10-31,1162500.0,4185,1166685.0,0.0, ,BUY,BUY,59.1929002498725,11652.5,12281.169229404462,11023.830770595538,-6.9930069930074765
17,2019-11-01,1162500.0,5347,1166685.0,-9532.0, , ,SELL,57.531903793846176,11622.5,12193.661098115059,11051.338901884941,4.27350427350427
18,2019-11-04,1135000.0,4086,1139086.0,0.0, ,BUY,BUY,57.41573514058624,11576.25,12073.61178984719,11078.88821015281,-65.19453207150346
19,2019-11-21,1140000.0,5244,1139086.0,-4330.0, , ,SELL,30.87739353131613,11411.25,11801.274037720754,11021.225962279246,4.474272930648118
20,2019-11-22,1142500.0,4113,1146613.0,0.0, ,BUY,BUY,31.599587425182648,11411.25,11801.274037720754,11021.225962279246,-11.924850939362589
21,2019-11-25,1140000.0,5244,1146613.0,-11857.0, , ,SELL,41.005756852771235,11396.25,11763.086135079411,11029.413864920589,2.450980392157575
22,2019-12-04,1110000.0,3996,1113996.0,0.0, ,BUY,BUY,33.453187721653094,11346.25,11638.77136674096,11053.72863325904,-124.62060346366694
23,2019-12-10,1137500.0,5232,1113996.0,18272.0, , ,SELL,54.301856412582694,11373.75,11529.052124904974,11218.447875095026,80.18867924528143
24,2019-12-16,1135000.0,4086,1139086.0,0.0, ,BUY,BUY,54.521019743379064,11371.25,11526.391064841002,11216.108935158998,-18.678160919538083
25,2019-12-17,1150000.0,5290,1139086.0,5624.0, , ,SELL,58.32626661741199,11375.0,11538.554272337962,11211.445727662038,75.33759772565628
26,2019-12-26,1127500.0,4059,1131559.0,0.0, ,BUY,BUY,61.67220369016092,11380.0,11568.812075884993,11191.187924115007,-105.51558752997572
