,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,SO_14
0,2019-02-12,1045000.0,3762,1048762.0,0.0, ,BUY,BUY,48.44762102084947,10532.5,11032.524999375031,10032.475000624969,13.043478260869565
1,2019-04-30,972500.0,4473,1048762.0,-80735.0, ,SELL,SELL,76.21256262361607,9145.0,9465.0,8825.0,91.17647058823529
2,2019-05-17,930000.0,3348,933348.0,0.0, ,BUY,BUY,46.82695838909021,9492.5,9980.89021284215,9004.10978715785,7.6923076923076925
3,2019-05-27,977500.0,4496,933348.0,39656.0, ,SELL,SELL,44.24619527622506,9628.75,9884.813956854534,9372.686043145466,84.84848484848484
4,2019-09-13,1160000.0,4176,1164176.0,0.0, ,BUY,BUY,65.87399958404863,11871.25,12148.86258977215,11593.63741022785,9.090909090909092
5,2019-09-26,1200000.0,5520,1164176.0,30304.0, , ,SELL,40.96390842946954,11912.5,12116.522057631031,11708.477942368969,91.30434782608695
6,2019-10-10,1145000.0,4122,1149122.0,0.0, ,BUY,BUY,39.86537731640542,11961.25,12400.418247941492,11522.081752058508,8.333333333333334
7,2019-11-22,1142500.0,5255,1149122.0,-11877.0, , ,SELL,31.599587425182648,11411.25,11801.274037720754,11021.225962279246,90.0
8,2019-12-04,1110000.0,3996,1113996.0,0.0, ,BUY,BUY,33.453187721653094,11346.25,11638.77136674096,11053.72863325904,0.0
9,2019-12-20,1152500.0,5301,1113996.0,33203.0, , ,SELL,64.10542847492871,11385.0,11567.619823677496,11202.380176322504,80.95238095238095
10,2019-12-27,1117500.0,4023,1121523.0,0.0, ,BUY,BUY,51.990292360335644,11370.0,11578.925824157763,11161.074175842237,16.666666666666668
