,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,SO,MFII_14,CCI_20,SO_14
0,2019-02-12,1045000.0,3762,1048762.0,0.0, ,BUY,BUY,48.44762102084947,-11.695906432748108,13.043478260869565
1,2019-04-30,972500.0,4473,1048762.0,-80735.0, , ,SELL,76.21256262361607,376.04540023894924,91.17647058823529
2,2019-05-17,930000.0,3348,933348.0,0.0, ,BUY,BUY,46.82695838909021,-38.42536611581327,7.6923076923076925
3,2019-05-27,977500.0,4496,933348.0,39656.0, ,SELL,SELL,44.24619527622506,96.37867122897003,84.84848484848484
4,2019-09-13,1160000.0,4176,1164176.0,0.0, ,BUY,BUY,65.87399958404863,-151.9519519519508,9.090909090909092
5,2019-09-26,1200000.0,5520,1164176.0,30304.0, ,SELL,SELL,40.96390842946954,71.57217531162125,91.30434782608695
6,2019-10-10,1145000.0,4122,1149122.0,0.0, ,BUY,BUY,39.86537731640542,-167.53022452504212,8.333333333333334
7,2019-11-22,1142500.0,5255,1149122.0,-11877.0, , ,SELL,31.599587425182648,-11.924850939362589,90.0
8,2019-12-04,1110000.0,3996,1113996.0,0.0, ,BUY,BUY,33.453187721653094,-124.62060346366694,0.0
9,2019-12-20,1152500.0,5301,1113996.0,33203.0, ,SELL,SELL,64.10542847492871,77.95698924730941,80.95238095238095
10,2019-12-27,1117500.0,4023,1121523.0,0.0, , ,BUY,51.990292360335644,-224.61685823754758,16.666666666666668
