,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,MFII_14
0,2019-02-07,1052500.0,3789,1056289.0,0.0, ,BUY,64.69401016085385
1,2019-03-15,1042500.0,4795,1056289.0,-18584.0, ,SELL,58.3060114319407
2,2019-03-18,1037500.0,3735,1041235.0,0.0, ,BUY,48.520003739773585
3,2019-04-24,920000.0,4232,1041235.0,-125467.0, ,SELL,69.48713425644877
4,2019-04-25,907500.0,3267,910767.0,0.0, ,BUY,60.6077843152675
5,2019-04-29,930000.0,4278,910767.0,14955.0, ,SELL,71.23746657153194
6,2019-05-14,965000.0,3474,968474.0,0.0, ,BUY,57.96983681017168
7,2019-05-15,952500.0,4381,968474.0,-20355.0, ,SELL,58.97353484188475
8,2019-05-16,950000.0,3420,953420.0,0.0, ,BUY,52.18670803340753
9,2019-05-27,977500.0,4496,953420.0,19584.0, ,SELL,44.24619527622506
10,2019-05-28,972500.0,3501,976001.0,0.0, ,BUY,39.76920681946512
11,2019-05-30,972500.0,4473,976001.0,-7974.0, ,SELL,20.54930823054299
12,2019-06-25,1000000.0,3600,1003600.0,0.0, ,BUY,69.58510897764835
13,2019-06-27,1015000.0,4669,1003600.0,6731.0, ,SELL,72.37510429242653
14,2019-07-02,1012500.0,3645,1016145.0,0.0, ,BUY,67.54016981069151
15,2019-07-04,1010000.0,4646,1016145.0,-10791.0, ,SELL,71.64667544233708
16,2019-07-05,1010000.0,3636,1013636.0,0.0, ,BUY,70.2805996474385
17,2019-07-12,1027500.0,4726,1013636.0,9138.0,SELL, ,82.29042180951792
18,2019-07-26,1057500.0,3807,1061307.0,0.0, ,BUY,81.47676877167055
19,2019-07-31,1070000.0,4922,1061307.0,3771.0, ,SELL,76.90057325826399
20,2019-08-16,1162500.0,4185,1166685.0,0.0, ,BUY,69.019197112328
21,2019-08-19,1152500.0,5301,1166685.0,-19486.0, ,SELL,69.60853135533361
22,2019-08-26,1175000.0,4230,1179230.0,0.0, ,BUY,63.89155593083633
23,2019-08-27,1175000.0,5405,1179230.0,-9635.0, ,SELL,65.37171388062964
24,2019-09-05,1200000.0,4320,1204320.0,0.0, ,BUY,78.3607381713788
25,2019-09-06,1190000.0,5474,1204320.0,-19794.0, ,SELL,74.81078087062228
26,2019-09-11,1195000.0,4302,1199302.0,0.0, ,BUY,69.48358094437215
27,2019-10-02,1220000.0,5612,1199302.0,15086.0, ,SELL,47.832687839387035
28,2019-10-03,1220000.0,4392,1224392.0,0.0, ,BUY,46.36214188745307
29,2019-10-04,1222500.0,5623,1224392.0,-7515.0, ,SELL,41.431388925865065
30,2019-10-09,1200000.0,4320,1204320.0,0.0, ,BUY,40.24301152965774
31,2019-12-02,1140000.0,5244,1204320.0,-69564.0, ,SELL,31.185566955483353
32,2019-12-04,1110000.0,3996,1113996.0,0.0, ,BUY,33.453187721653094
33,2019-12-11,1145000.0,5267,1113996.0,25737.0, ,SELL,52.471619952789325
34,2019-12-12,1137500.0,4095,1141595.0,0.0, ,BUY,50.73522554125198
