,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-02-07,1052500.0,3789,1056289.0,0.0, ,BUY, , ,64.69401016085385,10467.5,11062.5,9872.5,13.230900554844068,43.333333333333336
1,2019-03-15,1042500.0,4795,1056289.0,-18584.0, ,SELL,SELL, ,58.3060114319407,10352.5,10548.650452459331,10156.349547540669,73.24364723467957,76.92307692307692
2,2019-03-18,1037500.0,3735,1041235.0,0.0, ,BUY, , ,48.520003739773585,10343.75,10518.303000547112,10169.196999452888,31.105506515343123,61.53846153846154
3,2019-04-24,920000.0,4232,1041235.0,-125467.0, ,SELL,SELL, ,69.48713425644877,9123.75,9332.601023459309,8914.898976540691,69.20903954802199,55.55555555555556
4,2019-04-25,907500.0,3267,910767.0,0.0, ,BUY, , ,60.6077843152675,9113.75,9311.534605063185,8915.965394936815,2.6575550493556976,27.77777777777778
5,2019-04-29,930000.0,4278,910767.0,14955.0, ,SELL,SELL, ,71.23746657153194,9108.75,9293.327219612824,8924.172780387176,155.9428060768534,77.77777777777777
6,2019-05-14,965000.0,3474,968474.0,0.0, ,BUY, , ,57.96983681017168,9440.0,10002.449997777581,8877.550002222419,39.50380663365828,69.6969696969697
7,2019-05-15,952500.0,4381,968474.0,-20355.0, ,SELL,SELL, ,58.97353484188475,9462.5,10000.203449868048,8924.796550131952,28.704334014068365,54.54545454545455
8,2019-05-16,950000.0,3420,953420.0,0.0, ,BUY, , ,52.18670803340753,9482.5,9993.895150544078,8971.104849455922,8.181480104127933,46.666666666666664
9,2019-05-27,977500.0,4496,953420.0,19584.0, ,SELL,SELL,SELL,44.24619527622506,9628.75,9884.813956854534,9372.686043145466,96.37867122897003,84.84848484848484
10,2019-05-28,972500.0,3501,976001.0,0.0, ,BUY, , ,39.76920681946512,9628.75,9884.813956854534,9372.686043145466,70.23411371237354,78.78787878787878
11,2019-05-30,972500.0,4473,976001.0,-7974.0, ,SELL,SELL, ,20.54930823054299,9630.0,9887.681974534504,9372.318025465496,77.5193798449617,78.78787878787878
12,2019-06-25,1000000.0,3600,1003600.0,0.0, ,BUY, , ,69.58510897764835,9912.5,10210.199512932084,9614.800487067916,41.945288753799375,54.54545454545455
13,2019-06-27,1015000.0,4669,1003600.0,6731.0, ,SELL,SELL,SELL,72.37510429242653,9950.0,10239.827534923788,9660.172465076212,87.64940239043902,81.81818181818181
14,2019-07-02,1012500.0,3645,1016145.0,0.0, ,BUY, , ,67.54016981069151,10003.75,10274.985598696041,9732.514401303959,49.62583694367856,66.66666666666667
15,2019-07-04,1010000.0,4646,1016145.0,-10791.0, ,SELL,SELL, ,71.64667544233708,10035.0,10275.520269416114,9794.479730583886,57.17936431879813,60.0
16,2019-07-05,1010000.0,3636,1013636.0,0.0, ,BUY, , ,70.2805996474385,10050.0,10266.217483104398,9833.782516895602,47.07668944570932,60.0
17,2019-07-11,1025000.0,4715,1013636.0,6649.0, , ,SELL,SELL,78.67729172825304,10080.0,10234.596248337404,9925.403751662596,177.65567765567837,100.0
18,2019-07-26,1057500.0,3807,1061307.0,0.0, ,BUY, , ,81.47676877167055,10378.75,10911.965481770738,9845.534518229262,46.57441781977771,69.44444444444444
19,2019-07-31,1070000.0,4922,1061307.0,3771.0, ,SELL,SELL, ,76.90057325826399,10453.75,10965.432274463363,9942.067725536637,72.97464440321545,78.57142857142857
20,2019-08-16,1162500.0,4185,1166685.0,0.0, ,BUY, , ,69.019197112328,10950.0,11625.832819564128,10274.167180435872,88.95484799424344,82.53968253968254
21,2019-08-19,1152500.0,5301,1166685.0,-19486.0, ,SELL,SELL, ,69.60853135533361,10993.75,11698.887397958724,10288.612602041276,142.40274039637922,61.29032258064516
22,2019-08-26,1175000.0,4230,1179230.0,0.0, ,BUY, , ,63.89155593083633,11290.0,12110.883670199377,10469.116329800623,63.81192275398815,72.72727272727273
23,2019-08-27,1175000.0,5405,1179230.0,-9635.0, ,SELL,SELL, ,65.37171388062964,11346.25,12130.51318924198,10561.98681075802,95.6284153005465,72.72727272727273
24,2019-09-05,1200000.0,4320,1204320.0,0.0, ,BUY, , ,78.3607381713788,11723.75,12249.220027689496,11198.279972310504,54.85820548582038,85.71428571428571
25,2019-09-06,1190000.0,5474,1204320.0,-19794.0, ,SELL,SELL, ,74.81078087062228,11753.75,12246.516425398484,11260.983574601516,48.338753906000676,76.47058823529412
26,2019-09-11,1195000.0,4302,1199302.0,0.0, ,BUY, , ,69.48358094437215,11851.25,12167.2701734067,11535.2298265933,60.89937487396607,82.3529411764706
27,2019-09-26,1200000.0,5520,1199302.0,-4822.0, , ,SELL,SELL,40.96390842946954,11912.5,12116.522057631031,11708.477942368969,71.57217531162125,91.30434782608695
