,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,SO,MFII_14,CCI_20,SO_14
0,2019-02-12,1045000.0,3762,1048762.0,0.0, ,BUY,BUY,48.44762102084947,-11.695906432748108,13.043478260869565
1,2019-03-14,1037500.0,4772,1048762.0,-16034.0, ,SELL, ,46.61277179669567,27.85515320334261,61.53846153846154
2,2019-03-25,940000.0,3384,943384.0,0.0, , ,BUY,35.159324237086494,-516.8839852892022,12.0
3,2019-04-23,920000.0,4232,943384.0,-27616.0, ,SELL, ,71.22868365288294,18.364518364518844,55.55555555555556
4,2019-05-17,930000.0,3348,933348.0,0.0, ,BUY,BUY,46.82695838909021,-38.42536611581327,7.6923076923076925
5,2019-05-21,962500.0,4427,933348.0,24725.0, ,SELL, ,31.391294335113017,12.578616352201527,66.66666666666667
6,2019-05-22,950000.0,3420,953420.0,0.0, ,BUY, ,34.6912449649237,-14.34087148372863,51.515151515151516
7,2019-05-23,972500.0,4473,953420.0,14607.0, ,SELL, ,42.2327412411763,51.885764115979725,78.78787878787878
8,2019-07-08,1002500.0,3609,1006109.0,0.0, ,BUY, ,69.77779817180479,-2.9239766081871252,40.0
9,2019-07-10,1012500.0,4657,1006109.0,1734.0, ,SELL, ,64.32330019216408,50.193050193050055,66.66666666666667
10,2019-09-13,1160000.0,4176,1164176.0,0.0, ,BUY,BUY,65.87399958404863,-151.9519519519508,9.090909090909092
11,2019-09-17,1195000.0,5497,1164176.0,25327.0, ,SELL, ,60.78550513798997,47.42486029300668,76.0
12,2019-09-23,1187500.0,4275,1191775.0,0.0, ,BUY, ,41.70694207426951,-2.1030494216601725,64.0
13,2019-09-26,1200000.0,5520,1191775.0,2705.0, ,SELL,SELL,40.96390842946954,71.57217531162125,91.30434782608695
14,2019-10-10,1145000.0,4122,1149122.0,0.0, ,BUY,BUY,39.86537731640542,-167.53022452504212,8.333333333333334
15,2019-10-30,1167500.0,5370,1149122.0,13008.0, ,SELL, ,68.24020055178998,4.665629860031109,73.07692307692308
16,2019-10-31,1162500.0,4185,1166685.0,0.0, ,BUY, ,59.1929002498725,-6.9930069930074765,65.38461538461539
17,2019-11-01,1162500.0,5347,1166685.0,-9532.0, ,SELL, ,57.531903793846176,4.27350427350427,65.38461538461539
18,2019-11-04,1135000.0,4086,1139086.0,0.0, ,BUY, ,57.41573514058624,-65.19453207150346,23.076923076923077
19,2019-11-21,1140000.0,5244,1139086.0,-4330.0, ,SELL, ,30.87739353131613,4.474272930648118,72.22222222222223
20,2019-11-22,1142500.0,4113,1146613.0,0.0, ,BUY, ,31.599587425182648,-11.924850939362589,90.0
21,2019-11-25,1140000.0,5244,1146613.0,-11857.0, ,SELL,SELL,41.005756852771235,2.450980392157575,86.66666666666667
22,2019-12-04,1110000.0,3996,1113996.0,0.0, ,BUY,BUY,33.453187721653094,-124.62060346366694,0.0
23,2019-12-10,1137500.0,5232,1113996.0,18272.0, ,SELL, ,54.301856412582694,80.18867924528143,52.38095238095238
24,2019-12-16,1135000.0,4086,1139086.0,0.0, ,BUY, ,54.521019743379064,-18.678160919538083,47.61904761904762
25,2019-12-17,1150000.0,5290,1139086.0,5624.0, ,SELL, ,58.32626661741199,75.33759772565628,76.19047619047619
26,2019-12-26,1127500.0,4059,1131559.0,0.0, ,BUY, ,61.67220369016092,-105.51558752997572,31.25
