,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-08-06,37400.0,134,37534.0,0.0,BUY,BUY,BUY,396.3,439.49768512316376,353.10231487683626,-98.28645328160363,0.0
1,2019-08-14,41000.0,188,37534.0,3278.0, ,SELL,SELL,391.2,426.3545160683518,356.04548393164816,24.46043165467637,100.0
2,2019-08-15,38600.0,138,38738.0,0.0,BUY, , ,388.4,414.73932421304704,362.0606757869529,33.71212121212123,42.30769230769231
3,2019-08-16,38800.0,178,38738.0,-116.0,SELL,SELL, ,387.0,410.09978354876966,363.90021645123034,24.069780280446007,46.15384615384615
4,2019-08-20,38400.0,138,38538.0,0.0,BUY,BUY, ,385.3,404.61942028115783,365.9805797188422,-6.55737704918042,38.46153846153846
5,2019-08-27,41000.0,188,38538.0,2274.0, ,SELL,SELL,383.5,404.96159360345854,362.03840639654146,125.7966195622056,88.46153846153847
6,2019-09-10,41800.0,150,41950.0,0.0,BUY, , ,411.2,466.63139904422417,355.7686009557758,19.108589165332926,41.509433962264154
7,2019-09-11,41400.0,190,41950.0,-740.0, ,SELL, ,411.4,466.84150070118966,355.9584992988103,14.672575086164201,37.735849056603776
8,2019-09-12,41000.0,147,41147.0,0.0,BUY, , ,412.6,466.8158648367802,358.38413516321987,0.510073960724189,32.69230769230769
9,2019-09-13,42200.0,194,41147.0,859.0, ,SELL, ,414.3,467.44546076571373,361.1545392342863,23.410313192027765,44.23076923076923
10,2019-09-16,42000.0,151,42151.0,0.0,BUY, , ,415.9,467.69150509494796,364.108494905052,23.68245496998005,34.78260869565217
11,2019-09-17,43400.0,199,42151.0,1050.0, ,SELL, ,418.4,468.5932266346767,368.2067733653233,43.457667258732826,42.5
12,2019-09-18,40000.0,144,40144.0,0.0,BUY,BUY,BUY,419.6,466.7355492171251,372.46445078287496,-8.775376555337099,4.761904761904762
13,2019-10-15,38800.0,178,40144.0,-1522.0, ,SELL, ,387.3,403.99850292690894,370.6014970730911,4.237288135593697,55.55555555555556
14,2019-10-22,40600.0,146,40746.0,0.0,BUY, , ,388.3,406.37871676862017,370.22128323137986,111.11111111111107,85.71428571428571
15,2019-10-23,40200.0,184,40746.0,-730.0,SELL,SELL, ,389.3,408.07338541659414,370.5266145834059,132.9879101899829,71.42857142857143
16,2019-10-24,38400.0,138,38538.0,0.0,BUY,BUY, ,389.0,407.9103146457162,370.0896853542838,-10.938399539435668,28.571428571428573
17,2019-11-05,40000.0,184,38538.0,1278.0, ,SELL, ,387.2,405.721339044464,368.678660955536,80.48463868455222,68.18181818181819
18,2019-11-19,40800.0,146,40946.0,0.0,BUY, , ,403.7,445.46649374797937,361.9335062520206,9.889691898060185,42.22222222222222
19,2019-11-20,41000.0,188,40946.0,-134.0, ,SELL, ,404.1,445.9468636817624,362.25313631823764,16.720095543402905,44.44444444444444
20,2019-11-21,41600.0,149,41749.0,0.0,BUY, , ,405.7,446.79063153566767,364.6093684643323,30.65731358794496,48.83720930232558
21,2019-11-22,40600.0,186,41749.0,-1335.0, ,SELL, ,406.6,446.88101289689735,366.3189871031027,13.784461152882022,30.76923076923077
22,2019-11-25,40000.0,144,40144.0,0.0,BUY,BUY,BUY,407.4,446.471217027372,368.32878297262795,-24.231678486997776,3.225806451612903
