,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,SO,BB_MAVG_20
0,2019-08-06,37400.0,134,37534.0,0.0,BUY, ,396.3
1,2019-08-14,41000.0,188,37534.0,3278.0, ,SELL,391.2
2,2019-08-15,38600.0,138,38738.0,0.0,BUY, ,388.4
3,2019-08-16,38800.0,178,38738.0,-116.0,SELL, ,387.0
4,2019-08-20,38400.0,138,38538.0,0.0,BUY, ,385.3
5,2019-08-27,41000.0,188,38538.0,2274.0, ,SELL,383.5
6,2019-09-10,41800.0,150,41950.0,0.0,BUY, ,411.2
7,2019-10-16,39400.0,181,41950.0,-2731.0,SELL, ,387.0
8,2019-10-22,40600.0,146,40746.0,0.0,BUY, ,388.3
9,2019-10-23,40200.0,184,40746.0,-730.0,SELL, ,389.3
10,2019-10-24,38400.0,138,38538.0,0.0,BUY, ,389.0
11,2019-11-06,45000.0,207,38538.0,6255.0,SELL, ,390.9
12,2019-11-19,40800.0,146,40946.0,0.0,BUY, ,403.7
