,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,MFII_14
0,2019-08-06,37400.0,134,37534.0,0.0, ,BUY,61.18152339976089
1,2019-08-14,41000.0,188,37534.0,3278.0,SELL, ,81.38891707591449
2,2019-08-15,38600.0,138,38738.0,0.0, ,BUY,73.90394431693062
3,2019-08-16,38800.0,178,38738.0,-116.0, ,SELL,59.78005339142626
4,2019-08-20,38400.0,138,38538.0,0.0, ,BUY,49.843173864578596
5,2019-08-28,41400.0,190,38538.0,2672.0, ,SELL,69.99473883916536
6,2019-09-10,41800.0,150,41950.0,0.0, ,BUY,66.16025187846631
7,2019-10-16,39400.0,181,41950.0,-2731.0, ,SELL,58.49680067611848
8,2019-10-22,40600.0,146,40746.0,0.0, ,BUY,62.508635229438866
9,2019-10-23,40200.0,184,40746.0,-730.0, ,SELL,68.39433242031103
10,2019-10-24,38400.0,138,38538.0,0.0, ,BUY,62.1873236268747
11,2019-11-06,45000.0,207,38538.0,6255.0, ,SELL,63.442783206288624
12,2019-11-19,40800.0,146,40946.0,0.0, ,BUY,70.47659553404496
