,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,BB_MAVG_20,BB_atas_20,BB_bawah_20
0,2019-02-26,315000.0,1134,316134.0,0.0,BUY,3336.0,3944.9137870010863,2727.0862129989137
1,2019-04-15,271000.0,1246,316134.0,-46380.0,SELL,2614.5,2980.6953030829336,2248.3046969170664
2,2019-04-24,252000.0,907,252907.0,0.0,BUY,2583.0,2846.7498815165636,2319.2501184834364
3,2019-05-30,199500.0,917,252907.0,-54324.0,SELL,1969.5,2341.7485728649594,1597.2514271350403
4,2019-06-13,194500.0,700,195200.0,0.0,BUY,1967.0,2191.017856431132,1742.9821435688684
5,2019-06-21,237000.0,1090,195200.0,40710.0,SELL,2041.25,2239.3629728210635,1843.1370271789367
6,2019-07-23,274000.0,986,274986.0,0.0,BUY,2724.5,2891.2902874870174,2557.7097125129826
7,2019-07-24,273000.0,1255,274986.0,-3241.0,SELL,2725.5,2892.1703332930065,2558.8296667069935
8,2019-08-23,327000.0,1177,328177.0,0.0,BUY,3466.0,3851.4036844660473,3080.5963155339527
9,2019-08-28,364000.0,1674,328177.0,34149.0,SELL,3486.0,3872.0259058664387,3099.9740941335613
10,2019-09-03,349000.0,1256,350256.0,0.0,BUY,3566.0,3868.1522794883485,3263.8477205116515
11,2019-10-15,326000.0,1499,350256.0,-25755.0,SELL,2918.0,3329.3198268987317,2506.6801731012683
12,2019-11-13,331000.0,1191,332191.0,0.0,BUY,3270.0,3502.4650511367336,3037.5349488632664
13,2019-12-16,311000.0,1430,332191.0,-22621.0,SELL,3050.5,3213.2851344564465,2887.7148655435535
14,2019-12-18,300000.0,1080,301080.0,0.0,BUY,3038.5,3184.8249807790976,2892.1750192209024
