,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-02-26,315000.0,1134,316134.0,0.0,BUY,BUY,BUY,3336.0,3944.9137870010863,2727.0862129989137,-26.737967914438503,7.246376811594203
1,2019-04-15,271000.0,1246,316134.0,-46380.0,SELL,SELL,SELL,2614.5,2980.6953030829336,2248.3046969170664,37.24089471835092,83.6734693877551
2,2019-04-24,252000.0,907,252907.0,0.0,BUY,BUY,BUY,2583.0,2846.7498815165636,2319.2501184834364,-20.32935831913665,17.073170731707318
3,2019-05-31,205000.0,943,252907.0,-48850.0,SELL,SELL,SELL,1949.5,2252.9616944525274,1646.0383055474726,46.72179296010126,88.0952380952381
4,2019-06-14,195500.0,703,196203.0,0.0,BUY,BUY,BUY,1979.0,2171.187408536561,1786.8125914634386,-21.92230791202508,6.521739130434782
5,2019-06-28,263000.0,1209,196203.0,65588.0,SELL,SELL,SELL,2180.25,2641.8935313096026,1718.6064686903976,158.8447653429602,85.18518518518519
6,2019-09-13,333000.0,1198,334198.0,0.0,BUY,BUY,BUY,3525.5,3802.0845259590724,3248.9154740409276,-116.72447594631281,4.166666666666667
7,2019-10-16,331000.0,1522,334198.0,-4720.0,SELL,SELL,SELL,2920.5,3340.6178406114204,2500.3821593885796,157.5757575757575,82.3529411764706
8,2019-11-15,312000.0,1123,313123.0,0.0,BUY,BUY,BUY,3277.5,3503.8514965711606,3051.1485034288394,-72.38095238095264,4.444444444444445
9,2019-12-16,311000.0,1430,313123.0,-3553.0,SELL,SELL,SELL,3050.5,3213.2851344564465,2887.7148655435535,88.63198458574182,81.25
10,2019-12-20,291000.0,1047,292047.0,0.0,BUY,BUY,BUY,3027.0,3186.260792412958,2867.739207587042,-114.016364283173,9.375
