,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-02-26,315000.0,1134,316134.0,0.0,BUY,BUY,BUY,3336.0,3944.9137870010863,2727.0862129989137,-26.737967914438503,7.246376811594203
1,2019-04-12,275000.0,1265,316134.0,-42399.0, ,SELL,SELL,2624.5,3010.9440451087344,2238.0559548912656,24.366150806717172,95.74468085106383
2,2019-04-24,252000.0,907,252907.0,0.0,BUY,BUY,BUY,2583.0,2846.7498815165636,2319.2501184834364,-20.32935831913665,17.073170731707318
3,2019-05-30,199500.0,917,252907.0,-54324.0,SELL,SELL, ,1969.5,2341.7485728649594,1597.2514271350403,5.812365905987943,76.82926829268293
4,2019-06-13,194500.0,700,195200.0,0.0,BUY, ,BUY,1967.0,2191.017856431132,1742.9821435688684,6.398647832910894,18.181818181818183
5,2019-06-20,220000.0,1012,195200.0,23788.0, ,SELL,SELL,2019.0,2154.484316435517,1883.515683564483,154.39170758319705,92.85714285714286
6,2019-07-23,274000.0,986,274986.0,0.0,BUY, , ,2724.5,2891.2902874870174,2557.7097125129826,39.59753326841914,41.02564102564103
7,2019-07-24,273000.0,1255,274986.0,-3241.0,SELL,SELL, ,2725.5,2892.1703332930065,2558.8296667069935,27.379639838294395,31.428571428571427
8,2019-08-23,327000.0,1177,328177.0,0.0,BUY,BUY, ,3466.0,3851.4036844660473,3080.5963155339527,-45.42992768167197,26.881720430107528
9,2019-08-28,364000.0,1674,328177.0,34149.0,SELL,SELL, ,3486.0,3872.0259058664387,3099.9740941335613,41.89202478119774,65.1685393258427
10,2019-09-03,349000.0,1256,350256.0,0.0,BUY, , ,3566.0,3868.1522794883485,3263.8477205116515,1.1098305374142492,48.31460674157304
11,2019-10-15,326000.0,1499,350256.0,-25755.0,SELL,SELL, ,2918.0,3329.3198268987317,2506.6801731012683,124.57912457912472,78.3132530120482
12,2019-11-13,331000.0,1191,332191.0,0.0,BUY, , ,3270.0,3502.4650511367336,3037.5349488632664,48.49648112603957,46.666666666666664
13,2019-12-13,312000.0,1435,332191.0,-21626.0, ,SELL,SELL,3052.0,3217.481116747511,2886.518883252489,59.271492797504536,88.88888888888889
14,2019-12-18,300000.0,1080,301080.0,0.0,BUY,BUY, ,3038.5,3184.8249807790976,2892.1750192209024,-26.748971193415464,58.333333333333336
