,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,SO_14
0,2019-02-26,315000.0,1134,316134.0,0.0, ,BUY,BUY,65.3826474749624,3336.0,3944.9137870010863,2727.0862129989137,7.246376811594203
1,2019-04-15,271000.0,1246,316134.0,-46380.0, ,SELL,SELL,69.95872212274307,2614.5,2980.6953030829336,2248.3046969170664,83.6734693877551
2,2019-04-24,252000.0,907,252907.0,0.0, ,BUY,BUY,70.9250473776047,2583.0,2846.7498815165636,2319.2501184834364,17.073170731707318
3,2019-05-31,205000.0,943,252907.0,-48850.0, ,SELL,SELL,70.48635421648834,1949.5,2252.9616944525274,1646.0383055474726,88.0952380952381
4,2019-06-13,194500.0,700,195200.0,0.0, ,BUY,BUY,67.71548927343252,1967.0,2191.017856431132,1742.9821435688684,18.181818181818183
5,2019-06-21,237000.0,1090,195200.0,40710.0, ,SELL,SELL,76.37404292094206,2041.25,2239.3629728210635,1843.1370271789367,86.0
6,2019-09-13,333000.0,1198,334198.0,0.0, ,BUY,BUY,48.39879886487709,3525.5,3802.0845259590724,3248.9154740409276,4.166666666666667
7,2019-10-16,331000.0,1522,334198.0,-4720.0, ,SELL,SELL,79.48881133619365,2920.5,3340.6178406114204,2500.3821593885796,82.3529411764706
8,2019-11-15,312000.0,1123,313123.0,0.0, ,BUY,BUY,69.73036800401718,3277.5,3503.8514965711606,3051.1485034288394,4.444444444444445
9,2019-12-16,311000.0,1430,313123.0,-3553.0, ,SELL,SELL,57.57031961102977,3050.5,3213.2851344564465,2887.7148655435535,81.25
10,2019-12-20,291000.0,1047,292047.0,0.0, ,BUY,BUY,49.9575318245377,3027.0,3186.260792412958,2867.739207587042,9.375
