,Date,Close Price,Fee,Purchased Price,Capital Gain,SO,SO_14
0,2019-02-26,315000.0,1134,316134.0,0.0,BUY,7.246376811594203
1,2019-04-12,275000.0,1265,316134.0,-42399.0,SELL,95.74468085106383
2,2019-04-24,252000.0,907,252907.0,0.0,BUY,17.073170731707318
3,2019-05-31,205000.0,943,252907.0,-48850.0,SELL,88.0952380952381
4,2019-06-13,194500.0,700,195200.0,0.0,BUY,18.181818181818183
5,2019-06-20,220000.0,1012,195200.0,23788.0,SELL,92.85714285714286
6,2019-09-13,333000.0,1198,334198.0,0.0,BUY,4.166666666666667
7,2019-10-14,304000.0,1398,334198.0,-31596.0,SELL,93.47826086956522
8,2019-11-15,312000.0,1123,313123.0,0.0,BUY,4.444444444444445
9,2019-12-13,312000.0,1435,313123.0,-2558.0,SELL,88.88888888888889
10,2019-12-20,291000.0,1047,292047.0,0.0,BUY,9.375
