,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,BB_MAVG_20,BB_atas_20,BB_bawah_20
0,2019-01-29,161000.0,579,161579.0,0.0,BUY,1595.5,1655.5749531835022,1535.4250468164978
1,2019-03-18,154500.0,710,161579.0,-7789.0,SELL,1519.0,1553.4383507154469,1484.5616492845531
2,2019-03-20,152000.0,547,152547.0,0.0,BUY,1518.0,1551.376638536559,1484.623361463441
3,2019-04-04,153500.0,706,152547.0,247.0,SELL,1517.5,1550.1343377441633,1484.8656622558367
4,2019-04-05,151000.0,543,151543.0,0.0,BUY,1516.75,1549.349846625408,1484.150153374592
5,2019-05-01,154500.0,710,151543.0,2247.0,SELL,1508.75,1548.1041611522865,1469.3958388477135
6,2019-05-02,151000.0,543,151543.0,0.0,BUY,1507.5,1544.9833296279846,1470.0166703720154
7,2019-06-03,140500.0,646,151543.0,-11689.0,SELL,1377.25,1503.4036761255904,1251.0963238744096
8,2019-06-28,146000.0,525,146525.0,0.0,BUY,1446.25,1506.1561766431496,1386.3438233568504
9,2019-07-18,147500.0,678,146525.0,297.0,SELL,1449.75,1494.075500561192,1405.424499438808
10,2019-07-23,147000.0,529,147529.0,0.0,BUY,1452.0,1500.6209831245753,1403.3790168754247
11,2019-08-16,151000.0,694,147529.0,2777.0,SELL,1456.75,1515.5101055138623,1397.9898944861377
12,2019-09-16,168000.0,604,168604.0,0.0,BUY,1653.25,1723.198195116099,1583.301804883901
13,2019-09-17,168000.0,772,168604.0,-1376.0,SELL,1658.75,1718.1532827375715,1599.3467172624285
14,2019-09-20,166500.0,599,167099.0,0.0,BUY,1669.0,1705.9594372251504,1632.0405627748496
15,2019-10-30,164500.0,756,167099.0,-3355.0,SELL,1638.0,1684.9467783772209,1591.0532216227791
16,2019-10-31,159500.0,574,160074.0,0.0,BUY,1635.25,1685.3972830769515,1585.1027169230485
17,2019-12-03,160000.0,736,160074.0,-810.0,SELL,1537.5,1603.1124988092977,1471.8875011907023
18,2019-12-27,161500.0,581,162081.0,0.0,BUY,1582.75,1653.7764035412183,1511.7235964587817
19,2019-12-30,162000.0,745,162081.0,-826.0,SELL,1589.5,1646.3242905807015,1532.6757094192985
