,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,BB_MAVG_20
0,2019-01-29,161000.0,579,161579.0,0.0,BUY, ,1595.5
1,2019-01-30,161000.0,740,161579.0,-1319.0, ,SELL,1599.75
2,2019-01-31,160000.0,576,160576.0,0.0,BUY, ,1602.75
3,2019-02-01,161500.0,742,160576.0,182.0, ,SELL,1605.0
4,2019-02-04,160500.0,577,161077.0,0.0,BUY, ,1605.5
5,2019-02-05,160500.0,738,161077.0,-1315.0, ,SELL,1607.5
6,2019-02-06,159500.0,574,160074.0,0.0,BUY, ,1610.25
7,2019-03-15,154500.0,710,160074.0,-6284.0, ,SELL,1520.5
8,2019-03-20,152000.0,547,152547.0,0.0,BUY, ,1518.0
9,2019-03-29,152000.0,699,152547.0,-1246.0, ,SELL,1517.25
10,2019-04-01,149000.0,536,149536.0,0.0,BUY, ,1516.0
11,2019-04-04,153500.0,706,149536.0,3258.0,SELL, ,1517.5
12,2019-04-05,151000.0,543,151543.0,0.0,BUY, ,1516.75
13,2019-04-09,153000.0,703,151543.0,754.0, ,SELL,1518.25
14,2019-04-10,152500.0,549,153049.0,0.0,BUY, ,1519.25
15,2019-04-11,151500.0,696,153049.0,-2245.0, ,SELL,1520.0
16,2019-04-12,150000.0,540,150540.0,0.0,BUY, ,1517.75
17,2019-04-30,154500.0,710,150540.0,3250.0, ,SELL,1507.0
18,2019-05-02,151000.0,543,151543.0,0.0,BUY, ,1507.5
19,2019-05-31,140500.0,646,151543.0,-11689.0, ,SELL,1380.75
20,2019-06-28,146000.0,525,146525.0,0.0,BUY, ,1446.25
21,2019-07-01,145000.0,667,146525.0,-2192.0, ,SELL,1448.5
22,2019-07-02,145000.0,522,145522.0,0.0,BUY, ,1450.75
23,2019-07-17,145500.0,669,145522.0,-691.0, ,SELL,1449.5
24,2019-07-23,147000.0,529,147529.0,0.0,BUY, ,1452.0
25,2019-07-24,144000.0,662,147529.0,-4191.0, ,SELL,1450.5
26,2019-07-25,147500.0,531,148031.0,0.0,BUY, ,1451.5
27,2019-07-26,145000.0,667,148031.0,-3698.0, ,SELL,1451.0
28,2019-07-29,146000.0,525,146525.0,0.0,BUY, ,1451.5
29,2019-07-30,146000.0,671,146525.0,-1196.0, ,SELL,1452.0
30,2019-07-31,147000.0,529,147529.0,0.0,BUY, ,1453.25
31,2019-08-01,148500.0,683,147529.0,288.0, ,SELL,1455.5
32,2019-08-02,145500.0,523,146023.0,0.0,BUY, ,1456.25
33,2019-08-12,146500.0,673,146023.0,-196.0, ,SELL,1452.5
34,2019-08-13,146000.0,525,146525.0,0.0,BUY, ,1453.75
35,2019-08-14,148000.0,680,146525.0,795.0, ,SELL,1455.0
36,2019-08-15,149000.0,536,149536.0,0.0,BUY, ,1455.75
37,2019-08-16,151000.0,694,149536.0,770.0,SELL, ,1456.75
38,2019-09-16,168000.0,604,168604.0,0.0,BUY, ,1653.25
39,2019-09-17,168000.0,772,168604.0,-1376.0,SELL, ,1658.75
40,2019-09-20,166500.0,599,167099.0,0.0,BUY, ,1669.0
41,2019-09-27,167500.0,770,167099.0,-369.0, ,SELL,1673.0
42,2019-09-30,167500.0,603,168103.0,0.0,BUY, ,1673.0
43,2019-10-14,167000.0,768,168103.0,-1871.0, ,SELL,1664.25
44,2019-10-15,166000.0,597,166597.0,0.0,BUY, ,1663.25
45,2019-10-30,164500.0,756,166597.0,-2853.0,SELL, ,1638.0
46,2019-10-31,159500.0,574,160074.0,0.0,BUY, ,1635.25
47,2019-12-02,157000.0,722,160074.0,-3796.0, ,SELL,1538.0
48,2019-12-27,161500.0,581,162081.0,0.0,BUY, ,1582.75
49,2019-12-30,162000.0,745,162081.0,-826.0,SELL, ,1589.5
