,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,MFII_14
0,2019-01-29,161000.0,579,161579.0,0.0, ,BUY,57.62029755099162
1,2019-03-18,154500.0,710,161579.0,-7789.0, ,SELL,42.87744089560794
2,2019-03-20,152000.0,547,152547.0,0.0, ,BUY,51.74891541893714
3,2019-04-04,153500.0,706,152547.0,247.0, ,SELL,55.034411199424994
4,2019-04-05,151000.0,543,151543.0,0.0, ,BUY,47.44792790760784
5,2019-05-01,154500.0,710,151543.0,2247.0, ,SELL,52.312490450126404
6,2019-05-02,151000.0,543,151543.0,0.0, ,BUY,46.79762157912549
7,2019-06-03,140500.0,646,151543.0,-11689.0, ,SELL,40.252980361825244
8,2019-06-28,146000.0,525,146525.0,0.0, ,BUY,43.28400764981406
9,2019-07-18,147500.0,678,146525.0,297.0, ,SELL,45.64424780010607
10,2019-07-23,147000.0,529,147529.0,0.0, ,BUY,55.554663041576994
11,2019-08-16,151000.0,694,147529.0,2777.0, ,SELL,70.80042962861846
12,2019-09-16,168000.0,604,168604.0,0.0, ,BUY,75.6766298328471
13,2019-09-17,168000.0,772,168604.0,-1376.0, ,SELL,71.87205473387803
14,2019-09-20,166500.0,599,167099.0,0.0, ,BUY,64.39126315044048
15,2019-10-30,164500.0,756,167099.0,-3355.0, ,SELL,61.48950961559002
16,2019-10-31,159500.0,574,160074.0,0.0, ,BUY,56.10208408249778
17,2019-12-03,160000.0,736,160074.0,-810.0, ,SELL,59.538976459673535
18,2019-12-27,161500.0,581,162081.0,0.0, ,BUY,56.12319022751114
19,2019-12-30,162000.0,745,162081.0,-826.0, ,SELL,54.59256595082255
