,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-01-29,161000.0,579,161579.0,0.0, ,BUY, , ,57.62029755099162,1595.5,1655.5749531835022,1535.4250468164978,36.476256022023406,72.22222222222223
1,2019-01-30,161000.0,740,161579.0,-1319.0, , ,SELL, ,51.13662118555206,1599.75,1650.5904366621685,1548.9095633378315,31.04148534957893,66.66666666666667
2,2019-01-31,160000.0,576,160576.0,0.0, ,BUY, , ,44.31194469573991,1602.75,1645.5839818368543,1559.9160181631457,23.892100192677667,22.22222222222222
3,2019-02-01,161500.0,742,160576.0,182.0, , ,SELL, ,44.3547199081025,1605.0,1645.3732584763723,1564.6267415236277,35.08771929824522,55.55555555555556
4,2019-02-04,160500.0,577,161077.0,0.0, ,BUY, , ,34.06823750467197,1605.5,1645.6123422402627,1565.3876577597373,22.6077812828599,37.5
5,2019-02-05,160500.0,738,161077.0,-1315.0, , ,SELL, ,38.12977598035244,1607.5,1643.0668384875569,1571.9331615124431,0.0,37.5
6,2019-02-06,159500.0,574,160074.0,0.0, ,BUY,BUY,BUY,35.04428814291576,1610.25,1629.084808201836,1591.415191798164,-107.69230769230778,14.285714285714286
7,2019-03-15,154500.0,710,160074.0,-6284.0, , ,SELL,SELL,34.07505017825521,1520.5,1561.3533964316325,1479.6466035683675,63.149933824919906,92.85714285714286
8,2019-03-20,152000.0,547,152547.0,0.0, ,BUY, , ,51.74891541893714,1518.0,1551.376638536559,1484.623361463441,45.94467885607156,37.5
9,2019-03-29,152000.0,699,152547.0,-1246.0, , ,SELL, ,52.249022584659706,1517.25,1546.9947474354738,1487.5052525645262,19.241652518392137,33.333333333333336
10,2019-04-01,149000.0,536,149536.0,0.0, ,BUY,BUY,BUY,52.86697525304197,1516.0,1548.031234756096,1483.968765243904,-107.02341137123724,5.882352941176471
11,2019-04-04,153500.0,706,149536.0,3258.0, ,SELL,SELL, ,55.034411199424994,1517.5,1550.1343377441633,1484.8656622558367,81.68642951251645,58.8235294117647
12,2019-04-05,151000.0,543,151543.0,0.0, ,BUY,BUY, ,47.44792790760784,1516.75,1549.349846625408,1484.150153374592,-4.287245444803666,33.333333333333336
13,2019-04-09,153000.0,703,151543.0,754.0, , ,SELL,SELL,50.96772203441901,1518.25,1550.3864279284448,1486.1135720715552,25.49498237049153,81.81818181818181
14,2019-04-10,152500.0,549,153049.0,0.0, ,BUY, , ,62.52041447087106,1519.25,1550.9162280671399,1487.5837719328601,41.53182308522163,72.72727272727273
15,2019-04-11,151500.0,696,153049.0,-2245.0, , ,SELL, ,62.92208081834705,1520.0,1550.4959013639557,1489.5040986360443,2.9112081513817625,54.54545454545455
16,2019-04-12,150000.0,540,150540.0,0.0, ,BUY,BUY, ,44.749236292312936,1517.75,1547.1566319050673,1488.3433680949327,-125.73099415204689,27.272727272727273
17,2019-04-30,154500.0,710,150540.0,3250.0, , ,SELL,SELL,51.30531142432874,1507.0,1542.6931365951516,1471.3068634048484,129.36732766761224,100.0
18,2019-05-02,151000.0,543,151543.0,0.0, ,BUY,BUY, ,46.79762157912549,1507.5,1544.9833296279846,1470.0166703720154,-5.347593582887726,53.333333333333336
19,2019-05-31,140500.0,646,151543.0,-11689.0, , ,SELL,SELL,36.489173286006405,1380.75,1513.5007062128122,1247.9992937871878,8.946521913952639,82.85714285714286
20,2019-06-28,146000.0,525,146525.0,0.0, ,BUY, , ,43.28400764981406,1446.25,1506.1561766431496,1386.3438233568504,47.69392033542999,63.1578947368421
21,2019-07-01,145000.0,667,146525.0,-2192.0, , ,SELL, ,37.906305102878854,1448.5,1505.3418859644914,1391.6581140355086,32.52032520325251,52.63157894736842
22,2019-07-02,145000.0,522,145522.0,0.0, ,BUY, , ,35.08822944919176,1450.75,1503.9735849976328,1397.5264150023672,20.833333333332405,52.63157894736842
23,2019-07-15,146000.0,671,145522.0,-193.0, , , ,SELL,28.310763907526166,1452.5,1498.3802789878205,1406.6197210121795,-83.33333333333326,83.33333333333333
24,2019-07-16,143500.0,516,144016.0,0.0, ,BUY,BUY, ,33.18684271330687,1450.75,1496.4965845719682,1405.0034154280318,-49.910873440285,65.21739130434783
25,2019-07-17,145500.0,669,144016.0,815.0, , ,SELL,SELL,39.4443741661111,1449.5,1493.3063922276217,1405.6936077723783,0.47892720306469766,82.6086956521739
26,2019-07-23,147000.0,529,147529.0,0.0, ,BUY, , ,55.554663041576994,1452.0,1500.6209831245753,1403.3790168754247,89.41176470588238,81.48148148148148
27,2019-07-24,144000.0,662,147529.0,-4191.0, , ,SELL, ,57.41151724936813,1450.5,1498.6559965113406,1402.3440034886594,15.320910973084516,59.25925925925926
28,2019-07-25,147500.0,531,148031.0,0.0, ,BUY, , ,65.26855592781843,1451.5,1500.8051721424865,1402.1948278575135,62.601626016259814,85.18518518518519
29,2019-07-26,145000.0,667,148031.0,-3698.0, , ,SELL, ,60.92343929901643,1451.0,1500.1528229097805,1401.8471770902195,38.21138211382078,66.66666666666667
30,2019-07-29,146000.0,525,146525.0,0.0, ,BUY, , ,54.24830737392664,1451.5,1500.8051721424865,1402.1948278575135,6.584362139917322,74.07407407407408
31,2019-07-30,146000.0,671,146525.0,-1196.0, , ,SELL, ,53.59038064892333,1452.0,1501.4368283772355,1402.5631716227645,30.081300813008482,74.07407407407408
