,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,SO_14
0,2019-01-29,161000.0,579,161579.0,0.0, ,BUY, ,57.62029755099162,1595.5,1655.5749531835022,1535.4250468164978,72.22222222222223
1,2019-03-15,154500.0,710,161579.0,-7789.0, , ,SELL,34.07505017825521,1520.5,1561.3533964316325,1479.6466035683675,92.85714285714286
2,2019-03-20,152000.0,547,152547.0,0.0, ,BUY, ,51.74891541893714,1518.0,1551.376638536559,1484.623361463441,37.5
3,2019-04-04,153500.0,706,152547.0,247.0, ,SELL, ,55.034411199424994,1517.5,1550.1343377441633,1484.8656622558367,58.8235294117647
4,2019-04-05,151000.0,543,151543.0,0.0, ,BUY, ,47.44792790760784,1516.75,1549.349846625408,1484.150153374592,33.333333333333336
5,2019-04-09,153000.0,703,151543.0,754.0, , ,SELL,50.96772203441901,1518.25,1550.3864279284448,1486.1135720715552,81.81818181818181
6,2019-04-10,152500.0,549,153049.0,0.0, ,BUY, ,62.52041447087106,1519.25,1550.9162280671399,1487.5837719328601,72.72727272727273
7,2019-04-30,154500.0,710,153049.0,741.0, , ,SELL,51.30531142432874,1507.0,1542.6931365951516,1471.3068634048484,100.0
8,2019-05-02,151000.0,543,151543.0,0.0, ,BUY, ,46.79762157912549,1507.5,1544.9833296279846,1470.0166703720154,53.333333333333336
9,2019-05-31,140500.0,646,151543.0,-11689.0, , ,SELL,36.489173286006405,1380.75,1513.5007062128122,1247.9992937871878,82.85714285714286
10,2019-06-28,146000.0,525,146525.0,0.0, ,BUY, ,43.28400764981406,1446.25,1506.1561766431496,1386.3438233568504,63.1578947368421
11,2019-07-15,146000.0,671,146525.0,-1196.0, , ,SELL,28.310763907526166,1452.5,1498.3802789878205,1406.6197210121795,83.33333333333333
12,2019-07-16,143500.0,516,144016.0,0.0, ,BUY, ,33.18684271330687,1450.75,1496.4965845719682,1405.0034154280318,65.21739130434783
13,2019-07-17,145500.0,669,144016.0,815.0, , ,SELL,39.4443741661111,1449.5,1493.3063922276217,1405.6936077723783,82.6086956521739
14,2019-07-23,147000.0,529,147529.0,0.0, ,BUY, ,55.554663041576994,1452.0,1500.6209831245753,1403.3790168754247,81.48148148148148
15,2019-07-25,147500.0,678,147529.0,-707.0, , ,SELL,65.26855592781843,1451.5,1500.8051721424865,1402.1948278575135,85.18518518518519
16,2019-07-26,145000.0,522,145522.0,0.0, ,BUY, ,60.92343929901643,1451.0,1500.1528229097805,1401.8471770902195,66.66666666666667
17,2019-07-31,147000.0,676,145522.0,802.0, , ,SELL,64.70776863174603,1453.25,1503.1774473611483,1403.3225526388517,81.48148148148148
18,2019-08-01,148500.0,534,149034.0,0.0, ,BUY, ,74.87108776980003,1455.5,1506.8711981561676,1404.1288018438324,90.9090909090909
19,2019-08-12,146500.0,673,149034.0,-3207.0, , ,SELL,60.92760373429153,1452.5,1506.0256947642927,1398.9743052357073,84.0
20,2019-08-13,146000.0,525,146525.0,0.0, ,BUY, ,58.38783094242434,1453.75,1506.7476414569576,1400.7523585430424,80.0
21,2019-08-14,148000.0,680,146525.0,795.0, , ,SELL,59.40120873241194,1455.0,1509.221766846906,1400.778233153094,96.0
22,2019-08-15,149000.0,536,149536.0,0.0, ,BUY, ,65.31488573714397,1455.75,1511.4523338828835,1400.0476661171165,100.0
23,2019-08-16,151000.0,694,149536.0,770.0, ,SELL,SELL,70.80042962861846,1456.75,1515.5101055138623,1397.9898944861377,100.0
24,2019-09-16,168000.0,604,168604.0,0.0, ,BUY, ,75.6766298328471,1653.25,1723.198195116099,1583.301804883901,84.61538461538461
25,2019-09-17,168000.0,772,168604.0,-1376.0, ,SELL,SELL,71.87205473387803,1658.75,1718.1532827375715,1599.3467172624285,81.81818181818181
26,2019-09-20,166500.0,599,167099.0,0.0, ,BUY, ,64.39126315044048,1669.0,1705.9594372251504,1632.0405627748496,54.54545454545455
27,2019-10-14,167000.0,768,167099.0,-867.0, , ,SELL,72.742976746036,1664.25,1689.7989725820794,1638.7010274179206,83.33333333333333
28,2019-10-15,166000.0,597,166597.0,0.0, ,BUY, ,61.364881503042945,1663.25,1687.8009673943786,1638.6990326056214,66.66666666666667
29,2019-10-30,164500.0,756,166597.0,-2853.0, ,SELL, ,61.48950961559002,1638.0,1684.9467783772209,1591.0532216227791,73.91304347826087
30,2019-10-31,159500.0,574,160074.0,0.0, ,BUY, ,56.10208408249778,1635.25,1685.3972830769515,1585.1027169230485,30.434782608695652
31,2019-12-02,157000.0,722,160074.0,-3796.0, , ,SELL,51.1290475247884,1538.0,1605.6313536756443,1470.3686463243557,100.0
32,2019-12-27,161500.0,581,162081.0,0.0, ,BUY, ,56.12319022751114,1582.75,1653.7764035412183,1511.7235964587817,73.6842105263158
33,2019-12-30,162000.0,745,162081.0,-826.0, ,SELL, ,54.59256595082255,1589.5,1646.3242905807015,1532.6757094192985,78.94736842105263
