,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,MFII_14
0,2019-02-06,159500.0,574,160074.0,0.0, ,BUY,35.04428814291576
1,2019-03-15,154500.0,710,160074.0,-6284.0, ,SELL,34.07505017825521
2,2019-03-21,150500.0,541,151041.0,0.0, ,BUY,42.025021078019336
3,2019-03-29,152000.0,699,151041.0,260.0, ,SELL,52.249022584659706
4,2019-04-01,149000.0,536,149536.0,0.0, ,BUY,52.86697525304197
5,2019-04-04,153500.0,706,149536.0,3258.0, ,SELL,55.034411199424994
6,2019-04-05,151000.0,543,151543.0,0.0, ,BUY,47.44792790760784
7,2019-04-09,153000.0,703,151543.0,754.0, ,SELL,50.96772203441901
8,2019-04-12,150000.0,540,150540.0,0.0, ,BUY,44.749236292312936
9,2019-04-30,154500.0,710,150540.0,3250.0, ,SELL,51.30531142432874
10,2019-05-02,151000.0,543,151543.0,0.0, ,BUY,46.79762157912549
11,2019-05-31,140500.0,646,151543.0,-11689.0, ,SELL,36.489173286006405
12,2019-07-03,144500.0,520,145020.0,0.0, ,BUY,35.568988472506376
13,2019-07-17,145500.0,669,145020.0,-189.0, ,SELL,39.4443741661111
14,2019-08-05,141000.0,507,141507.0,0.0, ,BUY,55.802383988340004
15,2019-08-12,146500.0,673,141507.0,4320.0, ,SELL,60.92760373429153
16,2019-09-20,166500.0,599,167099.0,0.0, ,BUY,64.39126315044048
17,2019-09-27,167500.0,770,167099.0,-369.0, ,SELL,62.9787941480806
18,2019-10-01,167500.0,603,168103.0,0.0, ,BUY,65.56995282325303
19,2019-10-14,167000.0,768,168103.0,-1871.0, ,SELL,72.742976746036
20,2019-10-15,166000.0,597,166597.0,0.0, ,BUY,61.364881503042945
21,2019-10-30,164500.0,756,166597.0,-2853.0, ,SELL,61.48950961559002
22,2019-10-31,159500.0,574,160074.0,0.0, ,BUY,56.10208408249778
23,2019-12-02,157000.0,722,160074.0,-3796.0, ,SELL,51.1290475247884
