,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-01-18,57500.0,207,57707.0,0.0, , ,BUY,,,,,8.333333333333334
1,2019-01-30,57500.0,264,57707.0,-471.0,SELL,SELL, ,574.75,587.1898553046248,562.3101446953752,1.0582010582015404,50.0
2,2019-02-15,58500.0,210,58710.0,0.0,BUY,BUY, ,587.0,617.2324329156619,556.7675670843381,-3.472222222222622,41.666666666666664
3,2019-02-19,60500.0,278,58710.0,1512.0,SELL,SELL, ,590.0,618.1069386451104,561.8930613548896,80.29878618113926,70.0
4,2019-02-28,60000.0,216,60216.0,0.0,BUY,BUY, ,601.75,621.0567345763078,582.4432654236922,-1.4214641080319164,50.0
5,2019-03-04,63000.0,289,60216.0,2495.0, ,SELL,SELL,604.75,626.0748681121361,583.4251318878639,166.6666666666657,90.9090909090909
6,2019-03-08,60500.0,217,60717.0,0.0,BUY, ,BUY,606.5,627.5,585.5,24.573919936582737,14.285714285714286
7,2019-03-11,61000.0,280,60717.0,3.0,SELL,SELL, ,606.75,627.7916254125008,585.7083745874992,39.215686274509395,28.571428571428573
8,2019-03-12,60500.0,217,60717.0,0.0,BUY,BUY,BUY,607.0,627.8326666559997,586.1673333440003,-8.740564163686559,14.285714285714286
9,2019-03-14,61000.0,280,60717.0,3.0,SELL,SELL, ,608.0,627.8494332412791,588.1505667587209,15.653775322283153,28.571428571428573
10,2019-03-15,60500.0,217,60717.0,0.0,BUY,BUY,BUY,609.0,625.9115345252877,592.0884654747123,-40.22988505747062,14.285714285714286
11,2019-04-01,65500.0,301,60717.0,4482.0,SELL, ,SELL,612.75,637.1374967965144,588.3625032034856,354.67980295566434,100.0
12,2019-04-18,65000.0,234,65234.0,0.0,BUY,BUY, ,648.75,703.2362367942584,594.2637632057416,-0.773096250482834,23.076923076923077
13,2019-04-26,68000.0,312,65234.0,2454.0,SELL,SELL, ,663.25,689.759432283623,636.740567716377,75.55555555555553,75.0
14,2019-05-13,66500.0,239,66739.0,0.0,BUY,BUY,BUY,682.5,734.3169856321264,630.6830143678736,-12.515964240102283,17.647058823529413
15,2019-06-14,62000.0,285,66739.0,-5024.0, ,SELL,SELL,620.75,653.9576798346405,587.5423201653595,2.949852507374631,83.33333333333333
16,2019-06-17,61500.0,221,61721.0,0.0,BUY,BUY, ,620.75,653.9576798346405,587.5423201653595,-73.26540514313463,75.0
17,2019-07-08,61000.0,280,61721.0,-1001.0, ,SELL,SELL,607.0,624.146428199482,589.853571800518,29.914529914530235,85.71428571428571
18,2019-07-09,60500.0,217,60717.0,0.0,BUY,BUY, ,606.75,623.8599386322684,589.6400613677316,-30.905077262693496,60.0
19,2019-07-15,61500.0,282,60717.0,501.0, ,SELL,SELL,604.5,617.1095202129181,591.8904797870819,108.52713178294721,83.33333333333333
20,2019-07-26,61000.0,219,61219.0,0.0,BUY,BUY, ,609.0,618.7979589711323,599.2020410288677,-16.620498614960944,50.0
21,2019-07-30,62000.0,285,61219.0,496.0, ,SELL,SELL,610.0,620.954451150103,599.045548849897,175.43859649122783,83.33333333333333
