,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,BB_MAVG_20
0,2019-01-28,57500.0,207,57707.0,0.0,BUY, ,576.25
1,2019-01-30,57500.0,264,57707.0,-471.0,SELL, ,574.75
2,2019-02-01,59000.0,212,59212.0,0.0,BUY, ,575.25
3,2019-02-04,59000.0,271,59212.0,-483.0, ,SELL,575.25
4,2019-02-15,58500.0,210,58710.0,0.0,BUY, ,587.0
5,2019-02-18,59000.0,271,58710.0,19.0, ,SELL,588.25
6,2019-02-28,60000.0,216,60216.0,0.0,BUY, ,601.75
7,2019-03-01,61000.0,280,60216.0,504.0, ,SELL,602.75
8,2019-03-04,63000.0,226,63226.0,0.0,BUY, ,604.75
9,2019-03-05,61000.0,280,63226.0,-2506.0,SELL, ,605.75
10,2019-03-06,62000.0,223,62223.0,0.0,BUY, ,606.75
11,2019-03-07,62000.0,285,62223.0,-508.0,SELL, ,607.25
12,2019-03-08,60500.0,217,60717.0,0.0,BUY, ,606.5
13,2019-03-11,61000.0,280,60717.0,3.0,SELL, ,606.75
14,2019-03-12,60500.0,217,60717.0,0.0,BUY, ,607.0
15,2019-03-14,61000.0,280,60717.0,3.0,SELL, ,608.0
16,2019-03-15,60500.0,217,60717.0,0.0,BUY, ,609.0
17,2019-03-18,61000.0,280,60717.0,3.0, ,SELL,610.0
18,2019-03-19,61000.0,219,61219.0,0.0,BUY, ,610.25
19,2019-03-20,61000.0,280,61219.0,-499.0, ,SELL,610.25
20,2019-03-21,60500.0,217,60717.0,0.0,BUY, ,610.0
21,2019-03-28,61000.0,280,60717.0,3.0, ,SELL,610.25
22,2019-04-12,66000.0,237,66237.0,0.0,BUY, ,640.0
23,2019-04-15,65000.0,299,66237.0,-1536.0, ,SELL,642.0
24,2019-04-18,65000.0,234,65234.0,0.0,BUY, ,648.75
25,2019-04-25,66500.0,305,65234.0,961.0, ,SELL,661.0
26,2019-05-13,66500.0,239,66739.0,0.0,BUY, ,682.5
27,2019-06-14,62000.0,285,66739.0,-5024.0, ,SELL,620.75
28,2019-06-17,61500.0,221,61721.0,0.0,BUY, ,620.75
29,2019-07-02,61000.0,280,61721.0,-1001.0, ,SELL,608.0
30,2019-07-03,61000.0,219,61219.0,0.0,BUY, ,608.0
31,2019-07-08,61000.0,280,61219.0,-499.0, ,SELL,607.0
32,2019-07-09,60500.0,217,60717.0,0.0,BUY, ,606.75
33,2019-07-10,61000.0,280,60717.0,3.0, ,SELL,606.25
34,2019-07-11,61000.0,219,61219.0,0.0,BUY, ,605.75
35,2019-07-15,61500.0,282,61219.0,-1.0, ,SELL,604.5
36,2019-07-16,61500.0,221,61721.0,0.0,BUY, ,604.5
37,2019-07-17,61000.0,280,61721.0,-1001.0, ,SELL,605.5
38,2019-07-18,61000.0,219,61219.0,0.0,BUY, ,606.0
39,2019-07-19,61500.0,282,61219.0,-1.0, ,SELL,606.75
40,2019-07-22,61000.0,219,61219.0,0.0,BUY, ,607.25
41,2019-07-23,61500.0,282,61219.0,-1.0, ,SELL,607.75
42,2019-07-25,61000.0,219,61219.0,0.0,BUY, ,608.75
43,2019-07-29,61500.0,282,61219.0,-1.0, ,SELL,609.5
44,2019-07-30,62000.0,223,62223.0,0.0,BUY, ,610.0
45,2019-07-31,64000.0,294,62223.0,1483.0,SELL, ,611.5
46,2019-08-05,61500.0,221,61721.0,0.0,BUY, ,616.5
47,2019-08-07,63500.0,292,61721.0,1487.0,SELL, ,618.75
48,2019-08-15,64000.0,230,64230.0,0.0,BUY, ,628.0
49,2019-08-16,64000.0,294,64230.0,-524.0, ,SELL,629.25
50,2019-08-19,64500.0,232,64732.0,0.0,BUY, ,631.0
51,2019-08-20,65000.0,299,64732.0,-31.0,SELL, ,632.75
52,2019-08-26,64000.0,230,64230.0,0.0,BUY, ,641.25
53,2019-08-27,65000.0,299,64230.0,471.0, ,SELL,642.75
54,2019-08-28,65000.0,234,65234.0,0.0,BUY, ,643.25
55,2019-08-29,65000.0,299,65234.0,-533.0, ,SELL,643.0
56,2019-08-30,65000.0,234,65234.0,0.0,BUY, ,643.5
57,2019-09-02,64500.0,296,65234.0,-1030.0, ,SELL,645.0
58,2019-09-03,64500.0,232,64732.0,0.0,BUY, ,646.0
59,2019-09-06,65000.0,299,64732.0,-31.0, ,SELL,647.0
60,2019-09-09,65000.0,234,65234.0,0.0,BUY, ,647.0
61,2019-09-10,65000.0,299,65234.0,-533.0, ,SELL,647.25
