,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,SO,BB_MAVG_20
0,2019-01-18,57500.0,207,57707.0,0.0, ,BUY,
1,2019-01-30,57500.0,264,57707.0,-471.0,SELL, ,574.75
2,2019-02-01,59000.0,212,59212.0,0.0,BUY, ,575.25
3,2019-02-04,59000.0,271,59212.0,-483.0, ,SELL,575.25
4,2019-02-15,58500.0,210,58710.0,0.0,BUY, ,587.0
5,2019-02-19,60500.0,278,58710.0,1512.0,SELL, ,590.0
6,2019-02-28,60000.0,216,60216.0,0.0,BUY, ,601.75
7,2019-03-04,63000.0,289,60216.0,2495.0, ,SELL,604.75
8,2019-03-06,62000.0,223,62223.0,0.0,BUY, ,606.75
9,2019-03-07,62000.0,285,62223.0,-508.0,SELL, ,607.25
10,2019-03-08,60500.0,217,60717.0,0.0,BUY, ,606.5
11,2019-03-11,61000.0,280,60717.0,3.0,SELL, ,606.75
12,2019-03-12,60500.0,217,60717.0,0.0,BUY, ,607.0
13,2019-03-14,61000.0,280,60717.0,3.0,SELL, ,608.0
14,2019-03-15,60500.0,217,60717.0,0.0,BUY, ,609.0
15,2019-03-29,63500.0,292,60717.0,2491.0,SELL, ,611.5
16,2019-04-12,66000.0,237,66237.0,0.0,BUY, ,640.0
17,2019-04-16,65500.0,301,66237.0,-1038.0,SELL, ,644.25
18,2019-04-18,65000.0,234,65234.0,0.0,BUY, ,648.75
19,2019-04-26,68000.0,312,65234.0,2454.0,SELL, ,663.25
20,2019-05-13,66500.0,239,66739.0,0.0,BUY, ,682.5
21,2019-06-14,62000.0,285,66739.0,-5024.0, ,SELL,620.75
22,2019-06-17,61500.0,221,61721.0,0.0,BUY, ,620.75
23,2019-07-08,61000.0,280,61721.0,-1001.0, ,SELL,607.0
24,2019-07-09,60500.0,217,60717.0,0.0,BUY, ,606.75
25,2019-07-15,61500.0,282,60717.0,501.0, ,SELL,604.5
26,2019-07-16,61500.0,221,61721.0,0.0,BUY, ,604.5
27,2019-07-24,61000.0,280,61721.0,-1001.0,SELL, ,608.25
28,2019-07-25,61000.0,219,61219.0,0.0,BUY, ,608.75
29,2019-07-30,62000.0,285,61219.0,496.0, ,SELL,610.0
30,2019-08-05,61500.0,221,61721.0,0.0,BUY, ,616.5
31,2019-08-07,63500.0,292,61721.0,1487.0,SELL, ,618.75
32,2019-08-15,64000.0,230,64230.0,0.0,BUY, ,628.0
33,2019-08-20,65000.0,299,64230.0,471.0,SELL, ,632.75
34,2019-08-26,64000.0,230,64230.0,0.0,BUY, ,641.25
35,2019-09-11,65500.0,301,64230.0,969.0,SELL, ,648.5
36,2019-09-12,64000.0,230,64230.0,0.0,BUY, ,648.5
37,2019-09-13,66500.0,305,64230.0,1965.0,SELL, ,649.75
38,2019-09-16,64000.0,230,64230.0,0.0,BUY, ,649.5
39,2019-09-18,65500.0,301,64230.0,969.0,SELL, ,649.25
40,2019-09-24,64500.0,232,64732.0,0.0,BUY, ,649.75
41,2019-10-01,66000.0,303,64732.0,965.0,SELL, ,651.75
42,2019-10-03,65500.0,235,65735.0,0.0,BUY, ,653.25
43,2019-10-04,65500.0,301,65735.0,-536.0,SELL, ,653.5
44,2019-10-07,65500.0,235,65735.0,0.0,BUY, ,653.75
45,2019-10-10,65500.0,301,65735.0,-536.0,SELL, ,654.5
46,2019-10-11,66000.0,237,66237.0,0.0,BUY, ,654.25
47,2019-10-16,67000.0,308,66237.0,455.0, ,SELL,656.5
48,2019-10-21,65500.0,235,65735.0,0.0,BUY, ,657.75
49,2019-10-24,66000.0,303,65735.0,-38.0,SELL, ,659.0
50,2019-10-25,66500.0,239,66739.0,0.0,BUY, ,659.5
51,2019-10-30,67000.0,308,66739.0,-47.0,SELL, ,660.75
52,2019-11-01,66500.0,239,66739.0,0.0,BUY, ,662.0
53,2019-11-06,67000.0,308,66739.0,-47.0, ,SELL,664.0
54,2019-11-07,66500.0,239,66739.0,0.0,BUY, ,664.5
55,2019-12-11,62500.0,287,66739.0,-4526.0, ,SELL,632.25
56,2019-12-12,62500.0,225,62725.0,0.0,BUY, ,631.0
57,2019-12-13,63000.0,289,62725.0,-14.0, ,SELL,630.25
58,2019-12-16,63000.0,226,63226.0,0.0,BUY, ,629.5
59,2019-12-17,63000.0,289,63226.0,-515.0, ,SELL,628.75
60,2019-12-18,63000.0,226,63226.0,0.0,BUY, ,628.0
61,2019-12-19,63000.0,289,63226.0,-515.0, ,SELL,628.0
62,2019-12-20,62500.0,225,62725.0,0.0,BUY, ,627.75
63,2019-12-23,63000.0,289,62725.0,-14.0, ,SELL,627.75
64,2019-12-30,61000.0,219,61219.0,0.0,BUY, ,627.0
