,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20
0,2019-01-28,57500.0,207,57707.0,0.0, ,BUY,BUY,27.51635928241295,576.25,597.900635094611,554.599364905389,-22.408963585433863
1,2019-01-30,57500.0,264,57707.0,-471.0, ,SELL,SELL,21.647268695699196,574.75,587.1898553046248,562.3101446953752,1.0582010582015404
2,2019-02-15,58500.0,210,58710.0,0.0, ,BUY,BUY,55.885074031640045,587.0,617.2324329156619,556.7675670843381,-3.472222222222622
3,2019-02-18,59000.0,271,58710.0,19.0, , ,SELL,67.8832706131322,588.25,616.7587705802969,559.7412294197031,24.896265560166615
4,2019-02-28,60000.0,216,60216.0,0.0, ,BUY,BUY,44.40985511621232,601.75,621.0567345763078,582.4432654236922,-1.4214641080319164
5,2019-03-01,61000.0,280,60216.0,504.0, , ,SELL,56.10538078750872,602.75,621.5848082018373,583.9151917981627,64.77093206950941
6,2019-03-12,60500.0,217,60717.0,0.0, ,BUY,BUY,48.28480281245871,607.0,627.8326666559997,586.1673333440003,-8.740564163686559
7,2019-03-14,61000.0,280,60717.0,3.0, ,SELL,SELL,51.7735556316406,608.0,627.8494332412791,588.1505667587209,15.653775322283153
8,2019-03-15,60500.0,217,60717.0,0.0, ,BUY,BUY,49.06568882040926,609.0,625.9115345252877,592.0884654747123,-40.22988505747062
9,2019-03-18,61000.0,280,60717.0,3.0, , ,SELL,43.82087883319208,610.0,624.4913767461894,595.5086232538106,68.2414698162718
10,2019-03-21,60500.0,217,60717.0,0.0, ,BUY,BUY,53.539306375549884,610.0,624.4913767461894,595.5086232538106,-66.66666666666711
11,2019-03-28,61000.0,280,60717.0,3.0, , ,SELL,79.20027903553952,610.25,623.4693040664022,597.0306959335978,4.4742729306487625
12,2019-04-18,65000.0,234,65234.0,0.0, ,BUY,BUY,80.28354545389107,648.75,703.2362367942584,594.2637632057416,-0.773096250482834
13,2019-04-25,66500.0,305,65234.0,961.0, , ,SELL,50.82503182443098,661.0,689.0356915377523,632.9643084622477,33.50970017636652
14,2019-05-13,66500.0,239,66739.0,0.0, ,BUY,BUY,79.87307825592603,682.5,734.3169856321264,630.6830143678736,-12.515964240102283
15,2019-06-14,62000.0,285,66739.0,-5024.0, , ,SELL,48.355463792302444,620.75,653.9576798346405,587.5423201653595,2.949852507374631
16,2019-06-17,61500.0,221,61721.0,0.0, ,BUY,BUY,43.482208158694014,620.75,653.9576798346405,587.5423201653595,-73.26540514313463
17,2019-07-02,61000.0,280,61721.0,-1001.0, , ,SELL,33.50219051431027,608.0,624.2480768092717,591.7519231907283,14.583333333332835
18,2019-07-03,61000.0,219,61219.0,0.0, ,BUY,BUY,29.488202798472784,608.0,624.2480768092717,591.7519231907283,-24.223275408110464
19,2019-07-08,61000.0,280,61219.0,-499.0, , ,SELL,52.36653683406095,607.0,624.146428199482,589.853571800518,29.914529914530235
20,2019-07-09,60500.0,217,60717.0,0.0, ,BUY,BUY,72.4484419768456,606.75,623.8599386322684,589.6400613677316,-30.905077262693496
21,2019-07-10,61000.0,280,60717.0,3.0, , ,SELL,73.26411001836016,606.25,622.3357079421452,590.1642920578548,41.29793510324407
22,2019-07-12,60000.0,216,60216.0,0.0, ,BUY,BUY,65.30244354804034,604.75,618.3422772190678,591.1577227809322,-17.418844022168674
23,2019-07-15,61500.0,282,60216.0,1002.0, , ,SELL,66.49764213251612,604.5,617.1095202129181,591.8904797870819,108.52713178294721
24,2019-07-26,61000.0,219,61219.0,0.0, ,BUY,BUY,50.91058151891716,609.0,618.7979589711323,599.2020410288677,-16.620498614960944
25,2019-07-29,61500.0,282,61219.0,-1.0, , ,SELL,52.92828907707703,609.5,619.4498743710658,599.5501256289342,88.23529411764463
26,2019-08-06,62500.0,225,62725.0,0.0, ,BUY,BUY,82.1258374673045,617.5,643.0929677841393,591.9070322158607,-1.0482180293498709
27,2019-08-07,63500.0,292,62725.0,483.0,SELL,SELL,SELL,82.14561404581582,618.75,645.1838797757724,592.3161202242276,95.50827423167884
28,2019-09-04,64500.0,232,64732.0,0.0, ,BUY,BUY,51.71100586848274,646.5,662.3429795177545,630.6570204822455,-40.81632653061375
29,2019-09-06,65000.0,299,64732.0,-31.0, , ,SELL,55.38707912456299,647.0,661.2828568570853,632.7171431429147,22.946859903382304
30,2019-09-16,64000.0,230,64230.0,0.0, ,BUY,BUY,47.89002498235317,649.5,663.6067359796656,635.3932640203344,-30.662710187933087
31,2019-09-17,65500.0,301,64230.0,969.0, , ,SELL,58.3536602909337,649.75,664.0590880212538,635.4409119787462,25.415444770283123
32,2019-09-24,64500.0,232,64732.0,0.0, ,BUY,BUY,68.28530894793688,649.75,662.1898553046243,637.3101446953757,-18.962075848303744
33,2019-09-25,65500.0,301,64732.0,467.0, , ,SELL,70.6368283964643,650.0,662.6491106406731,637.3508893593269,36.14457831325425
34,2019-10-03,65500.0,235,65735.0,0.0, ,BUY,BUY,83.14966845716044,653.25,665.1978031453482,641.3021968546518,-11.605415860733226
35,2019-10-04,65500.0,301,65735.0,-536.0,SELL,SELL,SELL,89.48904413810267,653.5,665.3743420870376,641.6256579129624,8.196721311475418
36,2019-10-07,65500.0,235,65735.0,0.0, ,BUY,BUY,82.85723378127375,653.75,665.5292189893894,641.9707810106106,-79.0960451977412
37,2019-10-10,65500.0,301,65735.0,-536.0,SELL,SELL,SELL,80.71131930196361,654.5,664.4498743710658,644.5501256289342,13.888888888888099
38,2019-10-22,66000.0,237,66237.0,0.0, ,BUY,BUY,41.562417788485924,658.5,669.0356537528523,647.9643462471477,-32.52032520325208
39,2019-10-23,66000.0,303,66237.0,-540.0, , ,SELL,53.240372263239756,658.75,669.1783268073067,648.3216731926933,17.906336088154905
40,2019-10-29,66500.0,239,66739.0,0.0,BUY,BUY,BUY,4.5863415759361885,660.25,670.9621426428139,649.5378573571861,-26.66666666666787
41,2019-10-30,67000.0,308,66739.0,-47.0, ,SELL,SELL,7.838726034456087,660.75,672.2717186218025,649.2282813781975,171.35709818636624
42,2019-11-01,66500.0,239,66739.0,0.0,BUY,BUY,BUY,8.224730994936905,662.0,673.5758369027898,650.4241630972102,-40.935672514619355
43,2019-11-04,66500.0,305,66739.0,-544.0, , ,SELL,8.558766140368789,662.5,673.6803398874986,651.3196601125014,22.90076335877706
44,2019-11-05,66500.0,239,66739.0,0.0,BUY,BUY, ,8.351203908530607,663.25,672.8806801421287,653.6193198578713,40.81632653061418
45,2019-11-06,67000.0,308,66739.0,-47.0, , ,SELL,7.810285839057542,664.0,673.2736184954952,654.7263815045048,86.11111111111049
46,2019-11-07,66500.0,239,66739.0,0.0,BUY,BUY,BUY,7.807591560198418,664.5,672.8066238629175,656.1933761370825,-3.0030030030023247
47,2019-12-16,63000.0,289,66739.0,-4028.0, , ,SELL,69.4688254212721,629.5,641.7065556157334,617.2934443842666,12.02185792349675
48,2019-12-18,63000.0,226,63226.0,0.0, ,BUY,BUY,75.69747666557777,628.0,634.6332495807102,621.3667504192898,-39.999999999997684
49,2019-12-19,63000.0,289,63226.0,-515.0, , ,SELL,75.90030218204119,628.0,634.6332495807102,621.3667504192898,0.0
50,2019-12-30,61000.0,219,61219.0,0.0, ,BUY,BUY,31.056172366567168,627.0,637.1980390271851,616.8019609728149,-172.83950617284177
