,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,SO,MFII_14,CCI_20,SO_14
0,2019-03-12,60500.0,217,60717.0,0.0, ,BUY,BUY,48.28480281245871,-8.740564163686559,14.285714285714286
1,2019-03-29,63500.0,292,60717.0,2491.0,SELL, , ,90.48605639942376,280.4054054054054,70.0
2,2019-04-22,65000.0,234,65234.0,0.0,BUY,BUY, ,6.2168429021697875,-11.67315175097276,23.076923076923077
3,2019-04-29,69500.0,319,65234.0,3947.0, ,SELL,SELL,77.79013607420147,133.33333333333366,92.3076923076923
4,2019-05-13,66500.0,239,66739.0,0.0, ,BUY,BUY,79.87307825592603,-12.515964240102283,17.647058823529413
5,2019-06-14,62000.0,285,66739.0,-5024.0, ,SELL,SELL,48.355463792302444,2.949852507374631,83.33333333333333
6,2019-09-16,64000.0,230,64230.0,0.0, ,BUY,BUY,47.89002498235317,-30.662710187933087,9.090909090909092
7,2019-10-02,66000.0,303,64230.0,1467.0,SELL,SELL, ,89.1847982775559,161.72193135543895,50.0
8,2019-10-29,66500.0,239,66739.0,0.0,BUY,BUY, ,4.5863415759361885,-26.66666666666787,75.0
9,2019-10-30,67000.0,308,66739.0,-47.0, ,SELL,SELL,7.838726034456087,171.35709818636624,87.5
10,2019-10-31,67000.0,241,67241.0,0.0,BUY, , ,8.278214549425442,167.81609195402254,87.5
11,2019-11-06,67000.0,308,67241.0,-549.0, ,SELL,SELL,7.810285839057542,86.11111111111049,87.5
12,2019-11-07,66500.0,239,66739.0,0.0,BUY,BUY, ,7.807591560198418,-3.0030030030023247,75.0
13,2019-12-16,63000.0,289,66739.0,-4028.0, ,SELL,SELL,69.4688254212721,12.02185792349675,100.0
14,2019-12-30,61000.0,219,61219.0,0.0, ,BUY,BUY,31.056172366567168,-172.83950617284177,0.0
