,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,SO,MFII_14,CCI_20,SO_14
0,2019-01-18,57500.0,207,57707.0,0.0, , ,BUY,31.825127875863316,,8.333333333333334
1,2019-01-30,57500.0,264,57707.0,-471.0, ,SELL, ,21.647268695699196,1.0582010582015404,50.0
2,2019-02-15,58500.0,210,58710.0,0.0, ,BUY, ,55.885074031640045,-3.472222222222622,41.666666666666664
3,2019-02-18,59000.0,271,58710.0,19.0, ,SELL, ,67.8832706131322,24.896265560166615,40.0
4,2019-02-28,60000.0,216,60216.0,0.0, ,BUY, ,44.40985511621232,-1.4214641080319164,50.0
5,2019-03-01,61000.0,280,60216.0,504.0, ,SELL, ,56.10538078750872,64.77093206950941,75.0
6,2019-03-08,60500.0,217,60717.0,0.0, , ,BUY,63.59031718260507,24.573919936582737,14.285714285714286
7,2019-03-11,61000.0,280,60717.0,3.0, ,SELL, ,60.22360091106295,39.215686274509395,28.571428571428573
8,2019-03-12,60500.0,217,60717.0,0.0, ,BUY,BUY,48.28480281245871,-8.740564163686559,14.285714285714286
9,2019-03-14,61000.0,280,60717.0,3.0, ,SELL, ,51.7735556316406,15.653775322283153,28.571428571428573
10,2019-03-15,60500.0,217,60717.0,0.0, ,BUY,BUY,49.06568882040926,-40.22988505747062,14.285714285714286
11,2019-03-18,61000.0,280,60717.0,3.0, ,SELL, ,43.82087883319208,68.2414698162718,28.571428571428573
12,2019-03-21,60500.0,217,60717.0,0.0, ,BUY,BUY,53.539306375549884,-66.66666666666711,14.285714285714286
13,2019-03-28,61000.0,280,60717.0,3.0, ,SELL, ,79.20027903553952,4.4742729306487625,40.0
14,2019-04-18,65000.0,234,65234.0,0.0, ,BUY, ,80.28354545389107,-0.773096250482834,23.076923076923077
15,2019-04-25,66500.0,305,65234.0,961.0, ,SELL, ,50.82503182443098,33.50970017636652,50.0
16,2019-05-13,66500.0,239,66739.0,0.0, ,BUY,BUY,79.87307825592603,-12.515964240102283,17.647058823529413
17,2019-06-14,62000.0,285,66739.0,-5024.0, ,SELL,SELL,48.355463792302444,2.949852507374631,83.33333333333333
18,2019-06-17,61500.0,221,61721.0,0.0, ,BUY, ,43.482208158694014,-73.26540514313463,75.0
19,2019-07-02,61000.0,280,61721.0,-1001.0, ,SELL, ,33.50219051431027,14.583333333332835,66.66666666666667
20,2019-07-03,61000.0,219,61219.0,0.0, ,BUY, ,29.488202798472784,-24.223275408110464,66.66666666666667
21,2019-07-08,61000.0,280,61219.0,-499.0, ,SELL,SELL,52.36653683406095,29.914529914530235,85.71428571428571
22,2019-07-09,60500.0,217,60717.0,0.0, ,BUY, ,72.4484419768456,-30.905077262693496,60.0
23,2019-07-10,61000.0,280,60717.0,3.0, ,SELL, ,73.26411001836016,41.29793510324407,66.66666666666667
24,2019-07-12,60000.0,216,60216.0,0.0, ,BUY, ,65.30244354804034,-17.418844022168674,33.333333333333336
25,2019-07-15,61500.0,282,60216.0,1002.0, ,SELL,SELL,66.49764213251612,108.52713178294721,83.33333333333333
26,2019-07-26,61000.0,219,61219.0,0.0, ,BUY, ,50.91058151891716,-16.620498614960944,50.0
27,2019-07-29,61500.0,282,61219.0,-1.0, ,SELL, ,52.92828907707703,88.23529411764463,66.66666666666667
28,2019-08-06,62500.0,225,62725.0,0.0, ,BUY, ,82.1258374673045,-1.0482180293498709,43.75
29,2019-08-07,63500.0,292,62725.0,483.0,SELL,SELL, ,82.14561404581582,95.50827423167884,56.25
30,2019-09-04,64500.0,232,64732.0,0.0, ,BUY, ,51.71100586848274,-40.81632653061375,44.44444444444444
31,2019-09-06,65000.0,299,64732.0,-31.0, ,SELL, ,55.38707912456299,22.946859903382304,42.857142857142854
32,2019-09-12,64000.0,230,64230.0,0.0, , ,BUY,56.41966912692991,80.00000000000189,9.090909090909092
33,2019-09-13,66500.0,305,64230.0,1965.0, ,SELL, ,60.29347101484012,183.71212121212258,54.54545454545455
34,2019-09-16,64000.0,230,64230.0,0.0, ,BUY,BUY,47.89002498235317,-30.662710187933087,9.090909090909092
35,2019-09-17,65500.0,301,64230.0,969.0, ,SELL, ,58.3536602909337,25.415444770283123,36.36363636363637
36,2019-09-24,64500.0,232,64732.0,0.0, ,BUY,BUY,68.28530894793688,-18.962075848303744,18.181818181818183
37,2019-09-25,65500.0,301,64732.0,467.0, ,SELL, ,70.6368283964643,36.14457831325425,36.36363636363637
38,2019-10-03,65500.0,235,65735.0,0.0, ,BUY, ,83.14966845716044,-11.605415860733226,42.857142857142854
39,2019-10-04,65500.0,301,65735.0,-536.0,SELL,SELL, ,89.48904413810267,8.196721311475418,42.857142857142854
40,2019-10-07,65500.0,235,65735.0,0.0, ,BUY, ,82.85723378127375,-79.0960451977412,42.857142857142854
41,2019-10-08,65000.0,299,65735.0,-1034.0,SELL, , ,82.43473309005401,-84.79532163742557,28.571428571428573
42,2019-10-09,65500.0,235,65735.0,0.0, ,BUY, ,82.49636091369584,-19.147084421235125,42.857142857142854
43,2019-10-10,65500.0,301,65735.0,-536.0,SELL,SELL, ,80.71131930196361,13.888888888888099,42.857142857142854
44,2019-10-22,66000.0,237,66237.0,0.0, ,BUY, ,41.562417788485924,-32.52032520325208,57.142857142857146
45,2019-10-23,66000.0,303,66237.0,-540.0, ,SELL, ,53.240372263239756,17.906336088154905,57.142857142857146
46,2019-10-29,66500.0,239,66739.0,0.0,BUY,BUY, ,4.5863415759361885,-26.66666666666787,75.0
47,2019-10-30,67000.0,308,66739.0,-47.0, ,SELL,SELL,7.838726034456087,171.35709818636624,87.5
48,2019-10-31,67000.0,241,67241.0,0.0,BUY, , ,8.278214549425442,167.81609195402254,87.5
49,2019-11-04,66500.0,305,67241.0,-1046.0, ,SELL, ,8.558766140368789,22.90076335877706,75.0
50,2019-11-05,66500.0,239,66739.0,0.0,BUY, , ,8.351203908530607,40.81632653061418,75.0
51,2019-11-06,67000.0,308,66739.0,-47.0, ,SELL,SELL,7.810285839057542,86.11111111111049,87.5
52,2019-11-07,66500.0,239,66739.0,0.0,BUY,BUY, ,7.807591560198418,-3.0030030030023247,75.0
53,2019-12-11,62500.0,287,66739.0,-4526.0, , ,SELL,36.94213422477787,-33.61344537815213,80.0
54,2019-12-12,62500.0,225,62725.0,0.0, ,BUY, ,57.509300250089005,-88.7290167865709,80.0
55,2019-12-13,63000.0,289,62725.0,-14.0, , ,SELL,69.93251808889335,-36.190476190477,100.0
56,2019-12-18,63000.0,226,63226.0,0.0, ,BUY, ,75.69747666557777,-39.999999999997684,100.0
57,2019-12-19,63000.0,289,63226.0,-515.0, ,SELL,SELL,75.90030218204119,0.0,100.0
58,2019-12-30,61000.0,219,61219.0,0.0, ,BUY,BUY,31.056172366567168,-172.83950617284177,0.0
