,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,SO,BB_MAVG_20
0,2019-01-18,485000.0,1746,486746.0,0.0, ,BUY,
1,2019-03-05,600000.0,2760,486746.0,110494.0,SELL, ,4888.5
2,2019-03-22,597500.0,2151,599651.0,0.0,BUY, ,5670.25
3,2019-03-26,592500.0,2725,599651.0,-9876.0,SELL, ,5779.75
4,2019-03-29,592500.0,2133,594633.0,0.0,BUY, ,5944.0
5,2019-04-12,590000.0,2714,594633.0,-7347.0, ,SELL,5837.5
6,2019-04-25,580000.0,2088,582088.0,0.0,BUY, ,5800.0
7,2019-04-26,580000.0,2668,582088.0,-4756.0,SELL, ,5793.75
8,2019-04-29,555000.0,1998,556998.0,0.0,BUY, ,5802.5
9,2019-05-09,612500.0,2817,556998.0,52685.0, ,SELL,5750.0
10,2019-05-29,595000.0,2142,597142.0,0.0, ,BUY,5877.5
11,2019-05-30,595000.0,2737,597142.0,-4879.0,SELL, ,5898.75
12,2019-05-31,595000.0,2142,597142.0,0.0, ,BUY,5920.0
13,2019-06-03,595000.0,2737,597142.0,-4879.0,SELL, ,5942.5
14,2019-06-04,595000.0,2142,597142.0,0.0,BUY, ,5962.5
15,2019-06-18,602500.0,2771,597142.0,2587.0, ,SELL,5902.5
16,2019-06-26,597500.0,2151,599651.0,0.0,BUY, ,5943.75
17,2019-07-08,667500.0,3070,599651.0,64779.0, ,SELL,5933.75
18,2019-07-10,580000.0,2088,582088.0,0.0,BUY, ,5928.75
19,2019-07-31,580000.0,2668,582088.0,-4756.0, ,SELL,5632.5
20,2019-08-02,550000.0,1980,551980.0,0.0,BUY, ,5612.5
21,2019-08-07,580000.0,2668,551980.0,25352.0,SELL, ,5513.75
22,2019-08-09,560000.0,2016,562016.0,0.0,BUY, ,5498.75
23,2019-08-12,580000.0,2668,562016.0,15316.0,SELL, ,5508.75
24,2019-08-26,585000.0,2106,587106.0,0.0,BUY, ,5736.25
25,2019-09-02,590000.0,2714,587106.0,180.0,SELL, ,5796.25
26,2019-09-04,620000.0,2232,622232.0,0.0,BUY, ,5831.25
27,2019-09-05,620000.0,2852,622232.0,-5084.0,SELL, ,5861.25
28,2019-09-17,585000.0,2106,587106.0,0.0,BUY, ,5973.75
29,2019-10-22,562500.0,2587,587106.0,-27193.0, ,SELL,5642.5
30,2019-10-23,562500.0,2025,564525.0,0.0,BUY, ,5641.25
31,2019-10-25,570000.0,2622,564525.0,2853.0, ,SELL,5618.75
32,2019-10-29,560000.0,2016,562016.0,0.0,BUY, ,5597.5
33,2019-10-30,570000.0,2622,562016.0,5362.0, ,SELL,5602.5
34,2019-10-31,600000.0,2160,602160.0,0.0,BUY, ,5622.5
35,2019-11-04,575000.0,2645,602160.0,-29805.0,SELL, ,5637.5
36,2019-11-19,575000.0,2070,577070.0,0.0,BUY, ,5811.25
37,2019-11-29,600000.0,2760,577070.0,20170.0,SELL, ,5862.5
38,2019-12-05,575000.0,2070,577070.0,0.0,BUY, ,5870.0
39,2019-12-09,590000.0,2714,577070.0,10216.0,SELL, ,5865.0
40,2019-12-12,575000.0,2070,577070.0,0.0,BUY, ,5850.0
41,2019-12-13,675000.0,3105,577070.0,94825.0,SELL, ,5890.0
