,Date,Close Price,Fee,Purchased Price,Capital Gain,CCI,CCI_20
0,2019-01-28,483000.0,1738,484738.0,0.0,BUY,-107.86224821312541
1,2019-03-11,600000.0,2760,484738.0,112502.0,SELL,135.79006141820216
2,2019-03-22,597500.0,2151,599651.0,0.0,BUY,-10.673476737714166
3,2019-03-25,592500.0,2725,599651.0,-9876.0,SELL,10.397553516819528
4,2019-03-29,592500.0,2133,594633.0,0.0,BUY,-2.52869091616417
5,2019-04-15,590000.0,2714,594633.0,-7347.0,SELL,59.09181043029913
6,2019-04-29,555000.0,1998,556998.0,0.0,BUY,-150.90655509065516
7,2019-05-09,612500.0,2817,556998.0,52685.0,SELL,93.67894497498864
8,2019-06-04,595000.0,2142,597142.0,0.0,BUY,-7.857358718646569
9,2019-06-18,602500.0,2771,597142.0,2587.0,SELL,22.11690363349131
10,2019-06-27,585000.0,2106,587106.0,0.0,BUY,-20.23809523809496
11,2019-07-04,590000.0,2714,587106.0,180.0,SELL,3.0406689471685198
12,2019-07-10,580000.0,2088,582088.0,0.0,BUY,-32.94663573085847
13,2019-07-31,580000.0,2668,582088.0,-4756.0,SELL,25.502143985556152
14,2019-08-02,550000.0,1980,551980.0,0.0,BUY,-14.836434391341276
15,2019-08-07,580000.0,2668,551980.0,25352.0,SELL,96.12724757952968
16,2019-08-28,565000.0,2034,567034.0,0.0,BUY,-32.631144155307545
17,2019-08-30,590000.0,2714,567034.0,20252.0,SELL,57.68383971818538
18,2019-09-17,585000.0,2106,587106.0,0.0,BUY,-44.31645468362506
19,2019-10-28,570000.0,2622,587106.0,-19728.0,SELL,127.88259958071438
20,2019-10-29,560000.0,2016,562016.0,0.0,BUY,-8.032128514057458
21,2019-10-30,570000.0,2622,562016.0,5362.0,SELL,26.49364693160332
22,2019-11-20,575000.0,2070,577070.0,0.0,BUY,-36.46514873942237
23,2019-11-29,600000.0,2760,577070.0,20170.0,SELL,85.01118568232621
24,2019-12-05,575000.0,2070,577070.0,0.0,BUY,-99.0301174068404
25,2019-12-09,590000.0,2714,577070.0,10216.0,SELL,27.39018087855317
26,2019-12-12,575000.0,2070,577070.0,0.0,BUY,-59.611703582170975
27,2019-12-18,675000.0,3105,577070.0,94825.0,SELL,164.64237516869076
