,Date,Close Price,Fee,Purchased Price,Capital Gain,CCI,SO,CCI_20,SO_14
0,2019-01-28,483000.0,1738,484738.0,0.0,BUY,BUY,-107.86224821312541,0.0
1,2019-04-15,590000.0,2714,484738.0,102548.0,SELL,SELL,59.09181043029913,98.11320754716981
2,2019-05-02,552500.0,1989,554489.0,0.0,BUY,BUY,-116.33986928104576,16.666666666666668
3,2019-05-09,612500.0,2817,554489.0,55194.0,SELL,SELL,93.67894497498864,87.5
4,2019-06-04,595000.0,2142,597142.0,0.0,BUY,BUY,-7.857358718646569,0.0
5,2019-06-18,602500.0,2771,597142.0,2587.0,SELL,SELL,22.11690363349131,80.43478260869566
6,2019-07-12,570000.0,2052,572052.0,0.0,BUY,BUY,-77.54010695187124,12.0
7,2019-07-31,580000.0,2668,572052.0,5280.0,SELL,SELL,25.502143985556152,88.57142857142857
8,2019-08-05,510000.0,1836,511836.0,0.0,BUY,BUY,-135.68878030445407,9.67741935483871
9,2019-08-07,580000.0,2668,511836.0,65496.0,SELL,SELL,96.12724757952968,100.0
10,2019-08-29,570000.0,2052,572052.0,0.0,BUY,BUY,-5.4473077728890225,13.043478260869565
11,2019-09-04,620000.0,2852,572052.0,45096.0,SELL,SELL,199.99999999999986,100.0
12,2019-09-19,560000.0,2016,562016.0,0.0,BUY,BUY,-113.85169524704389,0.0
13,2019-10-28,570000.0,2622,562016.0,5362.0,SELL,SELL,127.88259958071438,100.0
