,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,MFII_14
0,2019-01-18,485000.0,1746,486746.0,0.0,BUY, ,0.0
1,2019-03-05,600000.0,2760,486746.0,110494.0,SELL, ,100.0
2,2019-03-22,597500.0,2151,599651.0,0.0, ,BUY,59.65103098798153
3,2019-03-25,592500.0,2725,599651.0,-9876.0, ,SELL,51.23126904576019
4,2019-03-28,592500.0,2133,594633.0,0.0,BUY, ,18.087527389321764
5,2019-04-15,590000.0,2714,594633.0,-7347.0, ,SELL,12.201934516112345
6,2019-04-16,590000.0,2124,592124.0,0.0,BUY, ,12.201934516112345
7,2019-04-17,590000.0,2714,592124.0,-4838.0, ,SELL,12.201934516112345
8,2019-04-18,590000.0,2124,592124.0,0.0,BUY, ,12.201934516112345
9,2019-04-19,590000.0,2714,592124.0,-4838.0, ,SELL,15.554017077110743
10,2019-04-22,590000.0,2124,592124.0,0.0,BUY, ,0.0
11,2019-04-23,590000.0,2714,592124.0,-4838.0, ,SELL,0.0
12,2019-04-24,582500.0,2097,584597.0,0.0,BUY, ,0.0
13,2019-04-25,580000.0,2668,584597.0,-7265.0, ,SELL,0.0
14,2019-04-26,580000.0,2088,582088.0,0.0,BUY, ,0.0
15,2019-05-09,612500.0,2817,582088.0,27595.0, ,SELL,37.07984978905562
16,2019-05-29,595000.0,2142,597142.0,0.0,BUY, ,0.0
17,2019-05-30,595000.0,2737,597142.0,-4879.0, ,SELL,0.0
18,2019-05-31,595000.0,2142,597142.0,0.0,BUY, ,0.0
19,2019-06-03,595000.0,2737,597142.0,-4879.0, ,SELL,0.0
20,2019-06-04,595000.0,2142,597142.0,0.0,BUY, ,0.0
21,2019-06-18,602500.0,2771,597142.0,2587.0,SELL, ,83.55501813784764
22,2019-06-27,585000.0,2106,587106.0,0.0, ,BUY,47.39397863386209
23,2019-07-04,590000.0,2714,587106.0,180.0, ,SELL,38.84191544780605
24,2019-07-09,600000.0,2160,602160.0,0.0,BUY, ,9.649754725395354
25,2019-07-31,580000.0,2668,602160.0,-24828.0, ,SELL,58.14195000054089
26,2019-08-02,550000.0,1980,551980.0,0.0, ,BUY,63.40706659588273
27,2019-08-07,580000.0,2668,551980.0,25352.0, ,SELL,68.54771212225647
28,2019-08-28,565000.0,2034,567034.0,0.0, ,BUY,25.384772194475588
29,2019-08-30,590000.0,2714,567034.0,20252.0, ,SELL,65.28246125866707
30,2019-09-17,585000.0,2106,587106.0,0.0, ,BUY,61.13645511874413
31,2019-10-09,560000.0,2576,587106.0,-29682.0,SELL, ,88.82779188704303
32,2019-10-10,560000.0,2016,562016.0,0.0, ,BUY,88.82779188704303
33,2019-10-11,560000.0,2576,562016.0,-4592.0,SELL, ,88.82779188704303
34,2019-10-14,562500.0,2025,564525.0,0.0, ,BUY,89.00077992384273
35,2019-10-15,562500.0,2587,564525.0,-4612.0,SELL, ,89.00077992384273
36,2019-10-16,562500.0,2025,564525.0,0.0, ,BUY,89.00077992384273
37,2019-10-17,562500.0,2587,564525.0,-4612.0,SELL, ,89.00077992384273
38,2019-10-18,562500.0,2025,564525.0,0.0,BUY, ,12.340036563071294
39,2019-10-22,562500.0,2587,564525.0,-4612.0,SELL, ,100.0
40,2019-10-23,562500.0,2025,564525.0,0.0, ,BUY,100.0
41,2019-10-28,570000.0,2622,564525.0,2853.0, ,SELL,68.24798766912143
42,2019-10-29,560000.0,2016,562016.0,0.0, ,BUY,37.84784879855638
43,2019-10-30,570000.0,2622,562016.0,5362.0, ,SELL,52.900532604001725
44,2019-11-20,575000.0,2070,577070.0,0.0, ,BUY,25.551232166018153
45,2019-11-29,600000.0,2760,577070.0,20170.0, ,SELL,28.37642524490124
46,2019-12-05,575000.0,2070,577070.0,0.0, ,BUY,36.891751984355224
47,2019-12-09,590000.0,2714,577070.0,10216.0, ,SELL,44.92120096629472
48,2019-12-12,575000.0,2070,577070.0,0.0, ,BUY,57.28795438346401
49,2019-12-13,675000.0,3105,577070.0,94825.0,SELL, ,83.9386223532565
