,Date,Close Price,Fee,Purchased Price,Capital Gain,SO,SO_14
0,2019-01-18,485000.0,1746,486746.0,0.0,BUY,0.0
1,2019-03-05,600000.0,2760,486746.0,110494.0,SELL,97.90794979079497
2,2019-05-02,552500.0,1989,554489.0,0.0,BUY,16.666666666666668
3,2019-05-09,612500.0,2817,554489.0,55194.0,SELL,87.5
4,2019-05-29,595000.0,2142,597142.0,0.0,BUY,0.0
5,2019-06-18,602500.0,2771,597142.0,2587.0,SELL,80.43478260869566
6,2019-07-12,570000.0,2052,572052.0,0.0,BUY,12.0
7,2019-07-31,580000.0,2668,572052.0,5280.0,SELL,88.57142857142857
8,2019-08-05,510000.0,1836,511836.0,0.0,BUY,9.67741935483871
9,2019-08-07,580000.0,2668,511836.0,65496.0,SELL,100.0
10,2019-08-29,570000.0,2052,572052.0,0.0,BUY,13.043478260869565
11,2019-09-04,620000.0,2852,572052.0,45096.0,SELL,100.0
12,2019-09-19,560000.0,2016,562016.0,0.0,BUY,0.0
13,2019-10-22,562500.0,2587,562016.0,-2103.0,SELL,100.0
14,2019-10-24,515000.0,1854,516854.0,0.0,BUY,0.0
15,2019-10-25,570000.0,2622,516854.0,50524.0,SELL,100.0
