,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-01-31,91000.0,327,91327.0,0.0,BUY, , ,914.75,933.0461744635321,896.4538255364679,6.256517205422322,44.44444444444444
1,2019-02-04,92500.0,425,91327.0,748.0,SELL,SELL, ,916.5,934.1351920885486,898.8648079114514,77.78989458378754,77.77777777777777
2,2019-02-18,94500.0,340,94840.0,0.0,BUY, , ,926.0,942.0000000000005,909.9999999999995,178.34394904458586,88.88888888888889
3,2019-02-19,93500.0,430,94840.0,-1770.0,SELL,SELL, ,927.5,940.7287565553236,914.2712434446764,172.66187050359656,66.66666666666667
4,2019-03-22,109500.0,394,109894.0,0.0,BUY, , ,1091.75,1146.5473539507166,1036.9526460492834,23.415421881307285,46.15384615384615
5,2019-04-02,114000.0,524,109894.0,3582.0, ,SELL,SELL,1091.25,1148.9453204341573,1033.5546795658427,65.808297567954,96.0
6,2019-04-04,110000.0,396,110396.0,0.0,BUY, , ,1094.75,1156.026014883477,1033.473985116523,31.193326079071472,61.53846153846154
7,2019-04-09,114000.0,524,110396.0,3080.0,SELL,SELL,SELL,1095.75,1159.253936885835,1032.246063114165,106.01719197707749,92.3076923076923
8,2019-04-26,123500.0,444,123944.0,0.0,BUY, , ,1149.75,1240.7156528586484,1058.7843471413516,94.45651299380498,83.87096774193549
9,2019-04-29,128500.0,591,123944.0,3965.0,SELL, ,SELL,1162.0,1256.466925428957,1067.533074571043,202.89855072463746,97.29729729729729
10,2019-05-10,124000.0,446,124446.0,0.0,BUY, , ,1232.75,1342.5441255259136,1122.9558744740864,5.614035087718979,57.4468085106383
11,2019-05-23,133500.0,614,124446.0,8440.0,SELL,SELL, ,1260.5,1334.5202674947889,1186.4797325052111,181.4865481076153,62.7906976744186
12,2019-06-13,109000.0,392,109392.0,0.0,BUY, ,BUY,1352.0,1531.28747864812,1172.71252135188,-235.7778276145626,0.0
13,2019-09-06,74000.0,340,109392.0,-35732.0, ,SELL,SELL,670.0,761.4877040918627,578.5122959081373,42.09864907320146,100.0
14,2019-09-23,70000.0,252,70252.0,0.0,BUY, , ,694.25,822.2451170943651,566.2548829056349,11.011769460019101,49.056603773584904
15,2019-10-15,70000.0,322,70252.0,-574.0,SELL,SELL, ,685.5,736.185303589899,634.814696410101,34.159779614325195,63.1578947368421
16,2019-10-18,68500.0,246,68746.0,0.0,BUY, , ,680.25,719.4258854399009,641.0741145600991,20.159888773027635,47.36842105263158
17,2019-10-21,69500.0,319,68746.0,435.0,SELL,SELL, ,680.0,718.7298334620772,641.2701665379228,44.923629829290526,57.89473684210526
18,2019-11-05,72500.0,261,72761.0,0.0,BUY, , ,692.5,723.5644491340219,661.4355508659781,136.21262458471756,90.0
19,2019-11-06,73000.0,335,72761.0,-96.0,SELL, , ,696.25,726.3954805899696,666.1045194100304,275.0865051903128,62.5
20,2019-11-11,70000.0,252,70252.0,0.0,BUY, ,BUY,700.75,722.9479728804283,678.5520271195717,11.928429423459216,14.285714285714286
21,2019-12-23,66500.0,305,70252.0,-4057.0,SELL,SELL, ,663.75,680.7426454679733,646.7573545320267,44.5075757575754,44.44444444444444
22,2019-12-26,66000.0,237,66237.0,0.0,BUY,BUY, ,663.0,679.248076809279,646.751923190721,-5.167958656330291,33.333333333333336
