,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,SO,BB_MAVG_20
0,2019-01-18,90000.0,324,90324.0,0.0, ,BUY,
1,2019-01-23,92500.0,425,90324.0,1751.0, ,SELL,
2,2019-01-31,91000.0,327,91327.0,0.0,BUY, ,914.75
3,2019-02-04,92500.0,425,91327.0,748.0,SELL, ,916.5
4,2019-02-18,94500.0,340,94840.0,0.0,BUY, ,926.0
5,2019-02-19,93500.0,430,94840.0,-1770.0,SELL, ,927.5
6,2019-03-22,109500.0,394,109894.0,0.0,BUY, ,1091.75
7,2019-04-02,114000.0,524,109894.0,3582.0, ,SELL,1091.25
8,2019-04-04,110000.0,396,110396.0,0.0,BUY, ,1094.75
9,2019-04-09,114000.0,524,110396.0,3080.0,SELL, ,1095.75
10,2019-04-26,123500.0,444,123944.0,0.0,BUY, ,1149.75
11,2019-04-29,128500.0,591,123944.0,3965.0,SELL, ,1162.0
12,2019-05-10,124000.0,446,124446.0,0.0,BUY, ,1232.75
13,2019-05-23,133500.0,614,124446.0,8440.0,SELL, ,1260.5
14,2019-06-13,109000.0,392,109392.0,0.0,BUY, ,1352.0
15,2019-09-06,74000.0,340,109392.0,-35732.0, ,SELL,670.0
16,2019-09-23,70000.0,252,70252.0,0.0,BUY, ,694.25
17,2019-10-15,70000.0,322,70252.0,-574.0,SELL, ,685.5
18,2019-10-18,68500.0,246,68746.0,0.0,BUY, ,680.25
19,2019-10-21,69500.0,319,68746.0,435.0,SELL, ,680.0
20,2019-10-31,69000.0,248,69248.0,0.0, ,BUY,685.25
21,2019-11-01,69500.0,319,69248.0,-67.0,SELL, ,687.0
22,2019-11-05,72500.0,261,72761.0,0.0,BUY, ,692.5
23,2019-11-06,73000.0,335,72761.0,-96.0,SELL, ,696.25
24,2019-11-11,70000.0,252,70252.0,0.0,BUY, ,700.75
25,2019-12-23,66500.0,305,70252.0,-4057.0,SELL, ,663.75
26,2019-12-26,66000.0,237,66237.0,0.0,BUY, ,663.0
