,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-01-18,90000.0,324,90324.0,0.0, , , ,BUY,56.67113203987245,,,,,0.0
1,2019-01-23,92500.0,425,90324.0,1751.0, , , ,SELL,59.85624155472675,,,,,87.5
2,2019-03-25,105500.0,379,105879.0,0.0, ,BUY,BUY,BUY,83.13090317955981,1089.75,1146.8004162999719,1032.6995837000281,-93.73703857320619,15.384615384615385
3,2019-04-02,114000.0,524,105879.0,7597.0, , ,SELL,SELL,63.94891756537732,1091.25,1148.9453204341573,1033.5546795658427,65.808297567954,96.0
4,2019-05-13,122000.0,439,122439.0,0.0, ,BUY,BUY, ,59.4364809501418,1236.25,1339.5396413005683,1132.9603586994317,-5.658436213991886,48.93617021276596
5,2019-05-21,125500.0,577,122439.0,2484.0, , ,SELL, ,48.48856610248971,1250.5,1324.6552425658501,1176.3447574341499,10.622710622710459,39.285714285714285
6,2019-06-13,109000.0,392,109392.0,0.0, ,BUY, ,BUY,82.9753744223868,1352.0,1531.28747864812,1172.71252135188,-235.7778276145626,0.0
7,2019-09-06,74000.0,340,109392.0,-35732.0, , ,SELL,SELL,61.064845739534135,670.0,761.4877040918627,578.5122959081373,42.09864907320146,100.0
8,2019-09-24,68500.0,246,68746.0,0.0, ,BUY,BUY, ,84.23295467614709,694.75,822.5183450624615,566.9816549375385,-11.939384662482917,43.39622641509434
9,2019-09-26,72500.0,333,68746.0,3421.0, , ,SELL, ,74.46722915667294,700.25,824.8082193193217,575.6917806806783,10.735198438516736,35.294117647058826
10,2019-09-30,68500.0,246,68746.0,0.0, ,BUY,BUY,BUY,39.6471131211868,707.0,821.3415934819882,592.6584065180118,-28.957528957528982,14.285714285714286
11,2019-10-14,68500.0,315,68746.0,-561.0, , ,SELL, ,67.81843371993881,686.5,739.0452186216808,633.9547813783192,37.648866692277814,47.36842105263158
12,2019-10-31,69000.0,248,69248.0,0.0, , , ,BUY,62.08404892463339,685.25,722.5963518968083,647.9036481031917,35.2391226177632,18.181818181818183
13,2019-11-01,69500.0,319,69248.0,-67.0, ,SELL,SELL, ,45.89318168376116,687.0,722.6931365951527,651.3068634048473,24.006296733569677,30.0
14,2019-11-11,70000.0,252,70252.0,0.0, ,BUY, ,BUY,64.56049510135321,700.75,722.9479728804283,678.5520271195717,11.928429423459216,14.285714285714286
15,2019-12-20,67000.0,308,70252.0,-3560.0, , ,SELL, ,47.652375323698394,664.5,682.9119526395283,646.0880473604717,36.34751773049597,55.55555555555556
16,2019-12-26,66000.0,237,66237.0,0.0, ,BUY,BUY, ,42.08035248417999,663.0,679.248076809279,646.751923190721,-5.167958656330291,33.333333333333336
17,2019-12-27,66500.0,305,66237.0,-42.0, , ,SELL, ,42.010507887894875,663.5,679.3429795177622,647.6570204822378,11.982570806099682,44.44444444444444
