,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,MFII_14
0,2019-01-31,91000.0,327,91327.0,0.0, ,BUY,44.985707614480965
1,2019-02-04,92500.0,425,91327.0,748.0, ,SELL,64.5184676529349
2,2019-02-18,94500.0,340,94840.0,0.0, ,BUY,77.55060223164818
3,2019-02-19,93500.0,430,94840.0,-1770.0, ,SELL,77.55060223164818
4,2019-03-22,109500.0,394,109894.0,0.0, ,BUY,84.14493868589187
5,2019-03-25,105500.0,485,109894.0,-4879.0,SELL, ,83.13090317955981
6,2019-03-26,103000.0,370,103370.0,0.0, ,BUY,78.8903699640269
7,2019-04-03,114000.0,524,103370.0,10106.0, ,SELL,70.43098620414895
8,2019-04-04,110000.0,396,110396.0,0.0, ,BUY,63.306044988576204
9,2019-04-09,114000.0,524,110396.0,3080.0, ,SELL,66.24545139526363
10,2019-04-26,123500.0,444,123944.0,0.0, ,BUY,84.71877715352014
11,2019-04-29,128500.0,591,123944.0,3965.0,SELL, ,85.75500373436134
12,2019-05-10,124000.0,446,124446.0,0.0, ,BUY,61.08635248523784
13,2019-05-23,133500.0,614,124446.0,8440.0, ,SELL,66.83532818724237
14,2019-06-13,109000.0,392,109392.0,0.0, ,BUY,82.9753744223868
15,2019-09-09,77500.0,356,109392.0,-32248.0, ,SELL,75.64112586822131
16,2019-09-23,70000.0,252,70252.0,0.0, ,BUY,80.67471905817598
17,2019-09-24,68500.0,315,70252.0,-2067.0,SELL, ,84.23295467614709
18,2019-09-25,68000.0,244,68244.0,0.0, ,BUY,82.40365908467759
19,2019-10-15,70000.0,322,68244.0,1434.0, ,SELL,66.36782881031951
20,2019-10-18,68500.0,246,68746.0,0.0, ,BUY,57.81132280611766
21,2019-10-21,69500.0,319,68746.0,435.0, ,SELL,57.5264507006752
22,2019-11-05,72500.0,261,72761.0,0.0, ,BUY,51.55393774622195
23,2019-11-06,73000.0,335,72761.0,-96.0, ,SELL,73.68936635313673
24,2019-11-11,70000.0,252,70252.0,0.0, ,BUY,64.56049510135321
25,2019-12-23,66500.0,305,70252.0,-4057.0, ,SELL,41.53924292404155
26,2019-12-26,66000.0,237,66237.0,0.0, ,BUY,42.08035248417999
