,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20
0,2019-03-25,105500.0,379,105879.0,0.0, ,BUY,BUY,83.13090317955981,1089.75,1146.8004162999719,1032.6995837000281,-93.73703857320619
1,2019-04-03,114000.0,524,105879.0,7597.0, ,SELL,SELL,70.43098620414895,1094.0,1155.3677439702658,1032.6322560297342,134.920634920635
2,2019-05-13,122000.0,439,122439.0,0.0, ,BUY,BUY,59.4364809501418,1236.25,1339.5396413005683,1132.9603586994317,-5.658436213991886
3,2019-05-23,133500.0,614,122439.0,10447.0, ,SELL,SELL,66.83532818724237,1260.5,1334.5202674947889,1186.4797325052111,181.4865481076153
4,2019-06-18,84500.0,304,84804.0,0.0, ,BUY,BUY,61.953757732657245,1297.25,1686.3704826271678,908.1295173728322,-196.86057248384128
5,2019-09-09,77500.0,356,84804.0,-7660.0, ,SELL,SELL,75.64112586822131,672.25,771.4203080563948,573.0796919436052,198.88268156424598
6,2019-09-24,68500.0,246,68746.0,0.0, ,BUY,BUY,84.23295467614709,694.75,822.5183450624615,566.9816549375385,-11.939384662482917
7,2019-09-25,68000.0,312,68746.0,-1058.0,SELL, , ,82.40365908467759,696.0,822.6728068687207,569.3271931312793,-23.41726245984877
8,2019-09-30,68500.0,246,68746.0,0.0, ,BUY,BUY,39.6471131211868,707.0,821.3415934819882,592.6584065180118,-28.957528957528982
9,2019-10-15,70000.0,322,68746.0,932.0, ,SELL,SELL,66.36782881031951,685.5,736.185303589899,634.814696410101,34.159779614325195
10,2019-11-12,70000.0,252,70252.0,0.0, ,BUY,BUY,60.87841558887999,700.75,722.9479728804283,678.5520271195717,-16.12903225806449
11,2019-12-23,66500.0,305,70252.0,-4057.0, ,SELL,SELL,41.53924292404155,663.75,680.7426454679733,646.7573545320267,44.5075757575754
12,2019-12-26,66000.0,237,66237.0,0.0, ,BUY,BUY,42.08035248417999,663.0,679.248076809279,646.751923190721,-5.167958656330291
