,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,BB_MAVG_20,BB_atas_20,BB_bawah_20
0,2019-01-28,435000.0,1566,436566.0,0.0,BUY,4363.0,4508.753216088016,4217.246783911984
1,2019-03-25,414000.0,1904,436566.0,-24470.0,SELL,4041.5,4133.646622292965,3949.3533777070356
2,2019-03-28,416000.0,1497,417497.0,0.0,BUY,4056.0,4181.602547744869,3930.3974522551307
3,2019-03-29,421000.0,1936,417497.0,1567.0,SELL,4064.5,4206.552807082444,3922.4471929175556
4,2019-04-04,404000.0,1454,405454.0,0.0,BUY,4088.0,4243.512057410357,3932.487942589644
5,2019-06-03,306000.0,1407,405454.0,-100861.0,SELL,2973.0,3276.2556677129082,2669.7443322870918
6,2019-06-10,294000.0,1058,295058.0,0.0,BUY,2946.0,3153.7883538603687,2738.2116461396313
7,2019-06-26,299000.0,1375,295058.0,2567.0,SELL,2961.5,3135.0828332526057,2787.9171667473943
8,2019-06-27,296000.0,1065,297065.0,0.0,BUY,2959.5,3132.181788269643,2786.818211730357
9,2019-07-01,306000.0,1407,297065.0,7528.0,SELL,2957.5,3129.1828471338995,2785.8171528661005
10,2019-07-09,293000.0,1054,294054.0,0.0,BUY,2947.0,3099.590956481706,2794.409043518294
11,2019-09-06,260000.0,1196,294054.0,-35250.0,SELL,2444.0,2533.532117142408,2354.467882857592
12,2019-09-19,246000.0,885,246885.0,0.0,BUY,2518.0,2708.6410239166844,2327.3589760833156
13,2019-10-21,235000.0,1081,246885.0,-12966.0,SELL,2264.0,2358.106322848159,2169.893677151841
14,2019-10-31,225000.0,810,225810.0,0.0,BUY,2296.0,2445.9866660740277,2146.0133339259723
15,2019-11-06,246000.0,1131,225810.0,19059.0,SELL,2324.0,2475.5783625719773,2172.4216374280227
16,2019-11-07,239000.0,860,239860.0,0.0,BUY,2330.5,2481.6919310016306,2179.3080689983694
17,2019-11-08,258000.0,1186,239860.0,16954.0,SELL,2346.0,2529.3466661818584,2162.6533338181416
18,2019-11-14,246000.0,885,246885.0,0.0,BUY,2408.0,2629.594223751437,2186.405776248563
19,2019-11-15,251000.0,1154,246885.0,2961.0,SELL,2416.0,2640.178500307237,2191.821499692763
20,2019-11-20,245000.0,882,245882.0,0.0,BUY,2430.0,2654.8555091608873,2205.1444908391127
21,2019-11-25,250000.0,1150,245882.0,2968.0,SELL,2439.0,2661.7913822390847,2216.2086177609153
22,2019-11-28,247000.0,889,247889.0,0.0,BUY,2476.0,2687.981131235782,2264.018868764218
23,2019-12-06,255000.0,1173,247889.0,5938.0,SELL,2509.5,2642.3871701858457,2376.6128298141543
24,2019-12-12,247000.0,889,247889.0,0.0,BUY,2504.5,2625.409056732744,2383.590943267256
25,2019-12-16,269000.0,1237,247889.0,19874.0,SELL,2517.0,2665.3374531263157,2368.6625468736843
