,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,BB_MAVG_20
0,2019-01-28,435000.0,1566,436566.0,0.0,BUY, ,4363.0
1,2019-01-29,438000.0,2014,436566.0,-580.0, ,SELL,4367.0
2,2019-01-30,430000.0,1548,431548.0,0.0,BUY, ,4370.0
3,2019-03-22,408000.0,1876,431548.0,-25424.0, ,SELL,4041.0
4,2019-03-28,416000.0,1497,417497.0,0.0,BUY, ,4056.0
5,2019-03-29,421000.0,1936,417497.0,1567.0,SELL, ,4064.5
6,2019-04-04,404000.0,1454,405454.0,0.0,BUY, ,4088.0
7,2019-04-24,413000.0,1899,405454.0,5647.0, ,SELL,4059.5
8,2019-04-25,403000.0,1450,404450.0,0.0,BUY, ,4053.0
9,2019-05-31,306000.0,1407,404450.0,-99857.0, ,SELL,3009.5
10,2019-06-10,294000.0,1058,295058.0,0.0,BUY, ,2946.0
11,2019-06-25,306000.0,1407,295058.0,9535.0, ,SELL,2962.0
12,2019-06-27,296000.0,1065,297065.0,0.0,BUY, ,2959.5
13,2019-07-01,306000.0,1407,297065.0,7528.0,SELL, ,2957.5
14,2019-07-09,293000.0,1054,294054.0,0.0,BUY, ,2947.0
15,2019-09-04,244000.0,1122,294054.0,-51176.0, ,SELL,2446.0
16,2019-09-05,247000.0,889,247889.0,0.0,BUY, ,2441.0
17,2019-09-06,260000.0,1196,247889.0,10915.0,SELL, ,2444.0
18,2019-09-19,246000.0,885,246885.0,0.0,BUY, ,2518.0
19,2019-10-18,235000.0,1081,246885.0,-12966.0, ,SELL,2266.5
20,2019-10-31,225000.0,810,225810.0,0.0,BUY, ,2296.0
21,2019-11-05,243000.0,1117,225810.0,16073.0, ,SELL,2313.0
22,2019-11-07,239000.0,860,239860.0,0.0,BUY, ,2330.5
23,2019-11-08,258000.0,1186,239860.0,16954.0,SELL, ,2346.0
24,2019-11-14,246000.0,885,246885.0,0.0,BUY, ,2408.0
25,2019-11-15,251000.0,1154,246885.0,2961.0,SELL, ,2416.0
26,2019-11-20,245000.0,882,245882.0,0.0,BUY, ,2430.0
27,2019-11-25,250000.0,1150,245882.0,2968.0,SELL, ,2439.0
28,2019-11-28,247000.0,889,247889.0,0.0,BUY, ,2476.0
29,2019-12-02,253000.0,1163,247889.0,3948.0, ,SELL,2499.0
30,2019-12-03,250000.0,900,250900.0,0.0,BUY, ,2502.5
31,2019-12-05,256000.0,1177,250900.0,3923.0, ,SELL,2511.0
32,2019-12-12,247000.0,889,247889.0,0.0,BUY, ,2504.5
33,2019-12-13,258000.0,1186,247889.0,8925.0, ,SELL,2508.0
