,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,SO,BB_MAVG_20
0,2019-01-28,435000.0,1566,436566.0,0.0,BUY, ,4363.0
1,2019-03-22,408000.0,1876,436566.0,-30442.0, ,SELL,4041.0
2,2019-03-28,416000.0,1497,417497.0,0.0,BUY, ,4056.0
3,2019-03-29,421000.0,1936,417497.0,1567.0,SELL, ,4064.5
4,2019-04-04,404000.0,1454,405454.0,0.0,BUY, ,4088.0
5,2019-04-24,413000.0,1899,405454.0,5647.0, ,SELL,4059.5
6,2019-04-25,403000.0,1450,404450.0,0.0,BUY, ,4053.0
7,2019-05-31,306000.0,1407,404450.0,-99857.0, ,SELL,3009.5
8,2019-06-10,294000.0,1058,295058.0,0.0,BUY, ,2946.0
9,2019-06-25,306000.0,1407,295058.0,9535.0, ,SELL,2962.0
10,2019-06-27,296000.0,1065,297065.0,0.0,BUY, ,2959.5
11,2019-07-01,306000.0,1407,297065.0,7528.0,SELL, ,2957.5
12,2019-07-09,293000.0,1054,294054.0,0.0,BUY, ,2947.0
13,2019-09-06,260000.0,1196,294054.0,-35250.0,SELL, ,2444.0
14,2019-09-19,246000.0,885,246885.0,0.0,BUY, ,2518.0
15,2019-10-18,235000.0,1081,246885.0,-12966.0, ,SELL,2266.5
16,2019-10-31,225000.0,810,225810.0,0.0,BUY, ,2296.0
17,2019-11-05,243000.0,1117,225810.0,16073.0, ,SELL,2313.0
18,2019-11-07,239000.0,860,239860.0,0.0,BUY, ,2330.5
19,2019-11-08,258000.0,1186,239860.0,16954.0,SELL, ,2346.0
20,2019-11-14,246000.0,885,246885.0,0.0,BUY, ,2408.0
21,2019-11-15,251000.0,1154,246885.0,2961.0,SELL, ,2416.0
22,2019-11-20,245000.0,882,245882.0,0.0,BUY, ,2430.0
23,2019-11-25,250000.0,1150,245882.0,2968.0,SELL, ,2439.0
24,2019-11-28,247000.0,889,247889.0,0.0,BUY, ,2476.0
25,2019-12-06,255000.0,1173,247889.0,5938.0,SELL, ,2509.5
26,2019-12-12,247000.0,889,247889.0,0.0,BUY, ,2504.5
27,2019-12-16,269000.0,1237,247889.0,19874.0,SELL, ,2517.0
