,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,MFII_14
0,2019-01-28,435000.0,1566,436566.0,0.0, ,BUY,66.45678135971076
1,2019-03-25,414000.0,1904,436566.0,-24470.0, ,SELL,59.18017797737972
2,2019-03-28,416000.0,1497,417497.0,0.0, ,BUY,56.79660546559119
3,2019-03-29,421000.0,1936,417497.0,1567.0, ,SELL,63.67182421304728
4,2019-04-04,404000.0,1454,405454.0,0.0, ,BUY,54.588441274383115
5,2019-06-03,306000.0,1407,405454.0,-100861.0, ,SELL,69.65928322674294
6,2019-06-10,294000.0,1058,295058.0,0.0, ,BUY,68.37172345449854
7,2019-06-26,299000.0,1375,295058.0,2567.0, ,SELL,42.91202039861514
8,2019-06-27,296000.0,1065,297065.0,0.0, ,BUY,40.09533600368117
9,2019-07-01,306000.0,1407,297065.0,7528.0, ,SELL,49.511673121607025
10,2019-07-09,293000.0,1054,294054.0,0.0, ,BUY,61.900683032894406
11,2019-09-06,260000.0,1196,294054.0,-35250.0, ,SELL,62.86841222340362
12,2019-09-19,246000.0,885,246885.0,0.0, ,BUY,52.82305684600751
13,2019-10-21,235000.0,1081,246885.0,-12966.0, ,SELL,62.59060502082787
14,2019-10-31,225000.0,810,225810.0,0.0, ,BUY,55.66953266729937
15,2019-11-06,246000.0,1131,225810.0,19059.0, ,SELL,72.31956078134233
16,2019-11-07,239000.0,860,239860.0,0.0, ,BUY,60.24317062662836
17,2019-11-08,258000.0,1186,239860.0,16954.0, ,SELL,66.81096593845146
18,2019-11-14,246000.0,885,246885.0,0.0, ,BUY,62.57939526238753
19,2019-11-15,251000.0,1154,246885.0,2961.0, ,SELL,65.56660951820373
20,2019-11-20,245000.0,882,245882.0,0.0, ,BUY,65.6186417824715
21,2019-11-25,250000.0,1150,245882.0,2968.0, ,SELL,62.70988087145303
22,2019-11-28,247000.0,889,247889.0,0.0, ,BUY,63.22314915350527
23,2019-12-06,255000.0,1173,247889.0,5938.0, ,SELL,66.92828058040776
24,2019-12-12,247000.0,889,247889.0,0.0, ,BUY,70.33483130325618
25,2019-12-16,269000.0,1237,247889.0,19874.0, ,SELL,68.47462430171839
