,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20
0,2019-01-30,430000.0,1548,431548.0,0.0, ,BUY,BUY,71.58082305868221,4370.0,4504.461890511772,4235.538109488228,-62.125748502994185
1,2019-03-25,414000.0,1904,431548.0,-19452.0, ,SELL,SELL,59.18017797737972,4041.5,4133.646622292965,3949.3533777070356,172.6998491704372
2,2019-04-05,402000.0,1447,403447.0,0.0, ,BUY,BUY,47.45689796589399,4089.0,4242.479640343604,3935.5203596563965,-54.98981670061097
3,2019-06-03,306000.0,1407,403447.0,-98854.0, ,SELL,SELL,69.65928322674294,2973.0,3276.2556677129082,2669.7443322870918,42.82308059132077
4,2019-06-11,293000.0,1054,294054.0,0.0, ,BUY,BUY,60.05160294339515,2940.0,3142.286924935849,2737.713075064151,-8.506113769271542
5,2019-06-26,299000.0,1375,294054.0,3571.0, ,SELL,SELL,42.91202039861514,2961.5,3135.0828332526057,2787.9171667473943,66.7124646973511
6,2019-06-28,296000.0,1065,297065.0,0.0, ,BUY,BUY,38.04363763911853,2957.5,3129.1828471338995,2785.8171528661005,-9.613869188337132
7,2019-07-01,306000.0,1407,297065.0,7528.0, ,SELL,SELL,49.511673121607025,2957.5,3129.1828471338995,2785.8171528661005,63.80952380952381
8,2019-07-09,293000.0,1054,294054.0,0.0, ,BUY,BUY,61.900683032894406,2947.0,3099.590956481706,2794.409043518294,-8.384622246008552
9,2019-09-12,262000.0,1205,294054.0,-33259.0, ,SELL,SELL,67.4455138741727,2491.5,2685.5386559425774,2297.4613440574226,134.49149475208128
10,2019-09-19,246000.0,885,246885.0,0.0, ,BUY,BUY,52.82305684600751,2518.0,2708.6410239166844,2327.3589760833156,-26.350461133069945
11,2019-10-21,235000.0,1081,246885.0,-12966.0, ,SELL,SELL,62.59060502082787,2264.0,2358.106322848159,2169.893677151841,163.3901266928791
12,2019-10-31,225000.0,810,225810.0,0.0, ,BUY,BUY,55.66953266729937,2296.0,2445.9866660740277,2146.0133339259723,-10.45146920243328
13,2019-11-06,246000.0,1131,225810.0,19059.0, ,SELL,SELL,72.31956078134233,2324.0,2475.5783625719773,2172.4216374280227,133.8582677165354
14,2019-11-21,238000.0,856,238856.0,0.0, ,BUY,BUY,64.0939030039819,2428.5,2654.2675796034537,2202.7324203965463,-25.278810408921924
15,2019-11-25,250000.0,1150,238856.0,9994.0, ,SELL,SELL,62.70988087145303,2439.0,2661.7913822390847,2216.2086177609153,34.516191584254734
16,2019-11-29,242000.0,871,242871.0,0.0, ,BUY,BUY,58.27141839379447,2487.5,2656.8369422187666,2318.1630577812334,-44.2773600668336
17,2019-12-06,255000.0,1173,242871.0,10956.0, ,SELL,SELL,66.92828058040776,2509.5,2642.3871701858457,2376.6128298141543,54.50292397660838
18,2019-12-12,247000.0,889,247889.0,0.0, ,BUY,BUY,70.33483130325618,2504.5,2625.409056732744,2383.590943267256,-27.82152230971104
19,2019-12-17,265000.0,1219,247889.0,15892.0, ,SELL,SELL,58.44548204827412,2525.5,2683.547461226057,2367.452538773943,164.47105788423178
