,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,SO_14
0,2019-01-30,430000.0,1548,431548.0,0.0, ,BUY,BUY,71.58082305868221,4370.0,4504.461890511772,4235.538109488228,8.695652173913043
1,2019-03-25,414000.0,1904,431548.0,-19452.0, ,SELL,SELL,59.18017797737972,4041.5,4133.646622292965,3949.3533777070356,90.0
2,2019-04-04,404000.0,1454,405454.0,0.0, ,BUY,BUY,54.588441274383115,4088.0,4243.512057410357,3932.487942589644,15.384615384615385
3,2019-06-03,306000.0,1407,405454.0,-100861.0, ,SELL,SELL,69.65928322674294,2973.0,3276.2556677129082,2669.7443322870918,91.89189189189189
4,2019-06-12,288000.0,1036,289036.0,0.0, ,BUY,BUY,46.79403472543513,2939.0,3142.263375943631,2735.736624056369,16.0
5,2019-09-06,260000.0,1196,289036.0,-30232.0, ,SELL,SELL,62.86841222340362,2444.0,2533.532117142408,2354.467882857592,91.30434782608695
6,2019-09-19,246000.0,885,246885.0,0.0, ,BUY,BUY,52.82305684600751,2518.0,2708.6410239166844,2327.3589760833156,11.428571428571429
7,2019-10-21,235000.0,1081,246885.0,-12966.0, ,SELL,SELL,62.59060502082787,2264.0,2358.106322848159,2169.893677151841,82.75862068965517
8,2019-10-31,225000.0,810,225810.0,0.0, ,BUY,BUY,55.66953266729937,2296.0,2445.9866660740277,2146.0133339259723,17.24137931034483
9,2019-11-06,246000.0,1131,225810.0,19059.0, ,SELL,SELL,72.31956078134233,2324.0,2475.5783625719773,2172.4216374280227,81.81818181818181
10,2019-11-29,242000.0,871,242871.0,0.0, ,BUY,BUY,58.27141839379447,2487.5,2656.8369422187666,2318.1630577812334,19.35483870967742
11,2019-12-09,259000.0,1191,242871.0,14938.0, ,SELL,SELL,73.16874633977798,2509.0,2640.590273196775,2377.409726803225,85.18518518518519
