,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,BB_MAVG_20,BB_atas_20,BB_bawah_20
0,2019-01-29,38100.0,137,38237.0,0.0,BUY,385.35,406.2140839722237,364.48591602777634
1,2019-03-07,36100.0,166,38237.0,-2303.0,SELL,355.75,370.23965147958955,341.26034852041045
2,2019-03-08,36300.0,130,36430.0,0.0,BUY,355.7,370.08193311067646,341.3180668893235
3,2019-04-10,35300.0,162,36430.0,-1292.0,SELL,337.6,361.12360516587387,314.0763948341262
4,2019-04-23,33600.0,120,33720.0,0.0,BUY,336.25,356.66445566259176,315.83554433740824
5,2019-04-24,34200.0,157,33720.0,323.0,SELL,336.65,357.1855788815393,316.11442111846065
6,2019-05-06,36000.0,129,36129.0,0.0,BUY,350.3,372.49098916226933,328.1090108377307
7,2019-05-07,35500.0,163,36129.0,-792.0,SELL,351.35,372.3097232806151,330.39027671938493
8,2019-05-08,34600.0,124,34724.0,0.0,BUY,351.0,372.07130750570445,329.92869249429555
9,2019-06-03,33000.0,151,34724.0,-1875.0,SELL,316.45,347.7771447789274,285.1228552210726
10,2019-06-21,32000.0,115,32115.0,0.0,BUY,331.35,357.1823440670783,305.51765593292174
11,2019-09-05,25500.0,117,32115.0,-6732.0,SELL,243.2,258.2678465614621,228.13215343853787
12,2019-09-19,24700.0,88,24788.0,0.0,BUY,248.2,267.64839324982336,228.7516067501766
13,2019-10-18,24800.0,114,24788.0,-102.0,SELL,231.5,246.05335012977193,216.94664987022807
14,2019-10-31,24400.0,87,24487.0,0.0,BUY,242.15,274.966306922013,209.333693077987
15,2019-11-12,26600.0,122,24487.0,1991.0,SELL,249.75,274.5602801273943,224.9397198726057
16,2019-11-14,26400.0,95,26495.0,0.0,BUY,253.2,274.31492363234554,232.08507636765444
17,2019-11-19,26200.0,120,26495.0,-415.0,SELL,253.15,273.1827232297505,233.11727677024953
18,2019-11-21,25900.0,93,25993.0,0.0,BUY,252.85,272.3361489268604,233.36385107313956
19,2019-12-09,28000.0,128,25993.0,1879.0,SELL,253.2,275.79734497678396,230.60265502321602
