,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-01-29,38100.0,137,38237.0,0.0,BUY,BUY, ,385.35,406.2140839722237,364.48591602777634,-10.215053763441192,30.555555555555557
1,2019-03-04,36800.0,169,38237.0,-1606.0, ,SELL,SELL,356.2,371.5440542230524,340.8559457769476,59.02422381439777,90.0
2,2019-03-13,35500.0,127,35627.0,0.0,BUY,BUY, ,355.9,369.5513735572642,342.24862644273577,-8.77192982456166,44.0
3,2019-04-10,35300.0,162,35627.0,-489.0,SELL,SELL,SELL,337.6,361.12360516587387,314.0763948341262,81.37317228226324,84.21052631578948
4,2019-05-08,34600.0,124,34724.0,0.0,BUY,BUY, ,351.0,372.07130750570445,329.92869249429555,-28.861265895127936,33.333333333333336
5,2019-05-31,33000.0,151,34724.0,-1875.0, ,SELL,SELL,317.95,354.21279084681544,281.68720915318454,22.10846501966037,100.0
6,2019-06-21,32000.0,115,32115.0,0.0,BUY,BUY,BUY,331.35,357.1823440670783,305.51765593292174,-27.308192457737245,0.0
7,2019-07-31,31000.0,142,32115.0,-1257.0, , ,SELL,302.05,327.61149447899845,276.48850552100157,-6.4422970121069,96.55172413793103
8,2019-08-01,29400.0,105,29505.0,0.0,BUY,BUY, ,300.5,323.98190792929455,277.01809207070545,-16.899338721528377,41.37931034482759
9,2019-09-05,25500.0,117,29505.0,-4122.0,SELL,SELL,SELL,243.2,258.2678465614621,228.13215343853787,83.93021120293884,89.65517241379311
10,2019-09-20,24900.0,89,24989.0,0.0,BUY,BUY, ,249.05,267.0219225460099,231.07807745399015,-21.515972735484972,38.095238095238095
11,2019-10-18,24800.0,114,24989.0,-303.0,SELL,SELL,SELL,231.5,246.05335012977193,216.94664987022807,171.01051668952925,91.42857142857143
12,2019-11-01,23800.0,85,23885.0,0.0,BUY,BUY, ,242.15,274.966306922013,209.333693077987,-26.31377061756822,38.46153846153846
13,2019-11-12,26600.0,122,23885.0,2593.0,SELL,SELL,SELL,249.75,274.5602801273943,224.9397198726057,86.7671691792294,90.9090909090909
14,2019-11-22,24400.0,87,24487.0,0.0,BUY,BUY, ,252.15,271.85050760766796,232.44949239233208,-27.777777777777885,38.297872340425535
15,2019-12-09,28000.0,128,24487.0,3385.0,SELL,SELL,SELL,253.2,275.79734497678396,230.60265502321602,164.59096459096483,98.18181818181819
