,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,SO,BB_MAVG_20
0,2019-01-29,38100.0,137,38237.0,0.0,BUY, ,385.35
1,2019-03-04,36800.0,169,38237.0,-1606.0, ,SELL,356.2
2,2019-03-05,36200.0,130,36330.0,0.0,BUY, ,356.0
3,2019-03-07,36100.0,166,36330.0,-396.0,SELL, ,355.75
4,2019-03-08,36300.0,130,36430.0,0.0,BUY, ,355.7
5,2019-04-10,35300.0,162,36430.0,-1292.0,SELL, ,337.6
6,2019-04-23,33600.0,120,33720.0,0.0,BUY, ,336.25
7,2019-04-24,34200.0,157,33720.0,323.0,SELL, ,336.65
8,2019-05-06,36000.0,129,36129.0,0.0,BUY, ,350.3
9,2019-05-07,35500.0,163,36129.0,-792.0,SELL, ,351.35
10,2019-05-08,34600.0,124,34724.0,0.0,BUY, ,351.0
11,2019-05-31,33000.0,151,34724.0,-1875.0, ,SELL,317.95
12,2019-06-21,32000.0,115,32115.0,0.0,BUY, ,331.35
13,2019-07-31,31000.0,142,32115.0,-1257.0, ,SELL,302.05
14,2019-08-01,29400.0,105,29505.0,0.0,BUY, ,300.5
15,2019-09-05,25500.0,117,29505.0,-4122.0,SELL, ,243.2
16,2019-09-19,24700.0,88,24788.0,0.0,BUY, ,248.2
17,2019-10-18,24800.0,114,24788.0,-102.0,SELL, ,231.5
18,2019-10-31,24400.0,87,24487.0,0.0,BUY, ,242.15
19,2019-11-12,26600.0,122,24487.0,1991.0,SELL, ,249.75
20,2019-11-14,26400.0,95,26495.0,0.0,BUY, ,253.2
21,2019-11-19,26200.0,120,26495.0,-415.0,SELL, ,253.15
22,2019-11-21,25900.0,93,25993.0,0.0,BUY, ,252.85
23,2019-12-09,28000.0,128,25993.0,1879.0,SELL, ,253.2
