,Date,Close Price,Fee,Purchased Price,Capital Gain,CCI,SO,CCI_20
0,2019-01-29,38100.0,137,38237.0,0.0,BUY, ,-10.215053763441192
1,2019-03-04,36800.0,169,38237.0,-1606.0,SELL, ,59.02422381439777
2,2019-03-13,35500.0,127,35627.0,0.0,BUY, ,-8.77192982456166
3,2019-04-10,35300.0,162,35627.0,-489.0,SELL, ,81.37317228226324
4,2019-05-08,34600.0,124,34724.0,0.0,BUY, ,-28.861265895127936
5,2019-05-31,33000.0,151,34724.0,-1875.0,SELL, ,22.10846501966037
6,2019-06-21,32000.0,115,32115.0,0.0,BUY, ,-27.308192457737245
7,2019-07-31,31000.0,142,32115.0,-1257.0, ,SELL,-6.4422970121069
8,2019-08-01,29400.0,105,29505.0,0.0,BUY, ,-16.899338721528377
9,2019-09-02,24500.0,112,29505.0,-5117.0,SELL, ,18.914728682170786
10,2019-09-03,23400.0,84,23484.0,0.0,BUY, ,-70.53140096618395
11,2019-09-05,25500.0,117,23484.0,1899.0,SELL, ,83.93021120293884
12,2019-09-20,24900.0,89,24989.0,0.0,BUY, ,-21.515972735484972
13,2019-10-18,24800.0,114,24989.0,-303.0,SELL, ,171.01051668952925
14,2019-11-01,23800.0,85,23885.0,0.0,BUY, ,-26.31377061756822
15,2019-11-06,25400.0,116,23885.0,1399.0,SELL, ,33.32123119125401
16,2019-11-08,23500.0,84,23584.0,0.0,BUY, ,-60.234244283324095
17,2019-11-11,25500.0,117,23584.0,1799.0,SELL, ,3.3691303432299624
18,2019-11-22,24400.0,87,24487.0,0.0,BUY, ,-27.777777777777885
19,2019-12-06,26000.0,119,24487.0,1394.0,SELL, ,37.113402061855666
