,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,SO_14
0,2019-01-30,37500.0,135,37635.0,0.0, ,BUY,BUY,37.85475484167998,385.45,406.0943696924852,364.8056303075148,13.88888888888889
1,2019-03-04,36800.0,169,37635.0,-1004.0, , ,SELL,62.88856332159945,356.2,371.5440542230524,340.8559457769476,90.0
2,2019-03-18,34900.0,125,35025.0,0.0, ,BUY,BUY,36.719497279269696,356.25,369.39343942809387,343.10656057190613,16.666666666666668
3,2019-04-10,35300.0,162,35025.0,113.0, ,SELL,SELL,50.041958335091735,337.6,361.12360516587387,314.0763948341262,84.21052631578948
4,2019-05-09,33700.0,121,33821.0,0.0, ,BUY,BUY,46.27362436951835,350.55,372.399256280248,328.70074371975204,11.904761904761905
5,2019-05-31,33000.0,151,33821.0,-972.0, , ,SELL,57.889935071530026,317.95,354.21279084681544,281.68720915318454,100.0
6,2019-06-21,32000.0,115,32115.0,0.0, ,BUY,BUY,57.20802612467551,331.35,357.1823440670783,305.51765593292174,0.0
7,2019-07-31,31000.0,142,32115.0,-1257.0, , ,SELL,41.654604226931184,302.05,327.61149447899845,276.48850552100157,96.55172413793103
8,2019-08-02,27900.0,100,28000.0,0.0, ,BUY,BUY,37.4393177476041,298.5,322.1516384210453,274.8483615789547,3.0303030303030303
9,2019-09-05,25500.0,117,28000.0,-2617.0, ,SELL,SELL,52.8876242759133,243.2,258.2678465614621,228.13215343853787,89.65517241379311
10,2019-09-23,23800.0,85,23885.0,0.0, ,BUY,BUY,52.18480561336807,249.3,266.49418506355505,232.105814936445,9.75609756097561
11,2019-10-18,24800.0,114,23885.0,801.0, ,SELL,SELL,63.40596630391155,231.5,246.05335012977193,216.94664987022807,91.42857142857143
12,2019-11-28,23300.0,83,23383.0,0.0, ,BUY,BUY,68.95789930334084,250.3,271.8879596071463,228.71204039285377,13.043478260869565
13,2019-12-09,28000.0,128,23383.0,4489.0, ,SELL,SELL,73.78512660508957,253.2,275.79734497678396,230.60265502321602,98.18181818181819
