,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,SO,MFII_14,CCI_20,SO_14
0,2019-01-29,38100.0,137,38237.0,0.0, ,BUY, ,52.90588441130973,-10.215053763441192,30.555555555555557
1,2019-03-04,36800.0,169,38237.0,-1606.0, ,SELL,SELL,62.88856332159945,59.02422381439777,90.0
2,2019-03-13,35500.0,127,35627.0,0.0, ,BUY, ,36.620361866564856,-8.77192982456166,44.0
3,2019-04-10,35300.0,162,35627.0,-489.0, ,SELL,SELL,50.041958335091735,81.37317228226324,84.21052631578948
4,2019-05-08,34600.0,124,34724.0,0.0, ,BUY, ,53.964142972237774,-28.861265895127936,33.333333333333336
5,2019-05-31,33000.0,151,34724.0,-1875.0, ,SELL,SELL,57.889935071530026,22.10846501966037,100.0
6,2019-06-21,32000.0,115,32115.0,0.0, ,BUY,BUY,57.20802612467551,-27.308192457737245,0.0
7,2019-07-31,31000.0,142,32115.0,-1257.0, , ,SELL,41.654604226931184,-6.4422970121069,96.55172413793103
8,2019-08-01,29400.0,105,29505.0,0.0, ,BUY, ,39.682597282399314,-16.899338721528377,41.37931034482759
9,2019-09-02,24500.0,112,29505.0,-5117.0, ,SELL, ,57.99760139539439,18.914728682170786,55.172413793103445
10,2019-09-03,23400.0,84,23484.0,0.0, ,BUY,BUY,58.110993378583764,-70.53140096618395,17.24137931034483
11,2019-09-05,25500.0,117,23484.0,1899.0, ,SELL,SELL,52.8876242759133,83.93021120293884,89.65517241379311
12,2019-09-20,24900.0,89,24989.0,0.0, ,BUY, ,48.60232275531851,-21.515972735484972,38.095238095238095
13,2019-10-18,24800.0,114,24989.0,-303.0, ,SELL,SELL,63.40596630391155,171.01051668952925,91.42857142857143
14,2019-11-01,23800.0,85,23885.0,0.0, ,BUY, ,73.1969539699786,-26.31377061756822,38.46153846153846
15,2019-11-06,25400.0,116,23885.0,1399.0, ,SELL, ,72.48386396976584,33.32123119125401,60.0
16,2019-11-08,23500.0,84,23584.0,0.0, ,BUY, ,38.946389110700125,-60.234244283324095,20.454545454545453
17,2019-11-11,25500.0,117,23584.0,1799.0, ,SELL, ,40.19768480207906,3.3691303432299624,67.44186046511628
18,2019-11-22,24400.0,87,24487.0,0.0, ,BUY, ,43.27165923679717,-27.777777777777885,38.297872340425535
19,2019-12-06,26000.0,119,24487.0,1394.0, ,SELL, ,71.5488566414063,37.113402061855666,72.34042553191489
